"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Flower_eDNA","0.0","79.1461956234559","1","49.9523162738687","6.06672794868795e-07","36.5282889062609","9.92907840268106","27.3071515795599","0.0501521498545126","3623.56042194223","3594.49735030626","0.997782455122875","21.9461724872339","0.731831962466803","110.662360312692","0.000327060973106105","0.135393191594494","24.4614315062232","0.208079749784332","985.722504762081","0.130121457789687","874.79253288786","0.156943411787288","30.5450396549415","0.00993553122155671"
"Bee_Bimpatiens_hv3_1","0.0","79.6373700141769","1","58.3743995831221","0.00014446028206313","88.80548603969","0.0799886908336618","41.2492600495629","0.75583197255607","80.0775252214007","3562.88051862344","0.50000000966848","57.1134337748712","0.000271371168505751","95.4356782656753","0.0401882895728433","0.565593864562106","43.6377747608804","0.228963301967209","120.502600491448","0.606195652788644","6.61000231725318","1","49.1171452445924","0.0147888940261524"
"Bee_Bimpatiens_hv4_1","0.0","55.960357608823","1","51.0207915421989","0.00151430172437381","62.0990376229051","0.0865286810064385","38.5470198122436","0.774207781941842","55.4139154180135","1357.45562512866","0.500000007842979","54.1964224491621","0.000309480241557203","65.7835413708521","0.0458686170711678","0.557617200691817","41.1141784937198","0.21448953492427","67.5950369776216","944.46208082616","265204.523836304","0.692234818068071","47.3525635936206","0.00947890116795639"
"Bee_Bimpatiens_hv4_2","0.0","81.3797336301783","1","51.6238428690516","4.43595077636506e-08","85.6268331601202","0.125057706522066","18.0761356185131","0.854631287576692","80.9113535865278","1725.5770336186","0.500000004372729","47.2169451931721","4.01728265648474e-07","86.0527096113199","0.112487610348502","0.878299853667579","21.7304446039891","0.137485112784475","86.6366763789824","8.05721148901082","60.7135267496381","1","27.4480198438673","0.00788315355106039"
"Bee_Amellifera_hv13_1","0.0","85.1104584585476","1","51.8976680847191","4.81235055271502e-09","33.8878129993112","20.5300094066872","23.2686178005813","0.0079264100581496","4006.47363133932","3977.3416548919","0.998195740154216","13.7200207034754","0.938702664470914","74.1274956459643","0.000301478912031469","0.0904901020416147","19.5455529934468","0.0509952572255396","393.70754200611","0.223244690133205","280.931627876193","0.113241590142874","25.6784647816746","0.00237566343304631"
"Bee_Amellifera_hv13_2","0.0","122.179534941361","1","67.8957933764732","2.05217603896595e-06","142.356286186813","0.0722806441842997","47.3958443650534","0.0580392751609791","121.552444125549","3000.04327929177","0.500000011773534","70.0312377596057","7.05519069020812e-07","185.394967219537","0.0158944013439343","0.445558757296612","41.9134362105386","0.899936330185746","234.091401041902","12.1626428628882","6501.20474888223","0.519890350816377","48.0417149411027","0.0420216369581672"
"Bee_Amellifera_hv15_1","0.0","82.3323712401433","1","55.3857175119622","0.000169983122887547","88.4404762184108","0.0988335023782105","38.4187548655861","0.821740949830658","82.1887825728582","2980.81219033104","0.500000010421614","54.9308032919162","0.000213397423454946","90.6359736318888","0.0670619017159315","0.660871097507262","41.5762709611842","0.169468513990423","91.9350725307524","17.9698683982975","364.265102770786","0.80760883666716","47.5834388554924","0.0084071556325768"
"Bee_Amellifera_wild_1","0.0","161.834135644057","1","69.2465340510739","1.0726158661517e-07","175.874900151095","0.0986560088970159","37.7723596232643","0.732781261269525","161.799742696721","4632.74174145352","0.500000012147073","66.6874014444766","3.8561400765373e-07","178.998617267433","0.0767826449761773","0.766280141228452","39.9451147640053","0.247267234110549","185.422933166414","2.71410026669401","24.5225906056483","1","44.9794943944039","0.0199510117443313"
"Flower_eDNA","1.0","9.75652827864368","1","43.9118490064528","0.140911548029434","5.64136428949771","125.852649412542","40.2963699805446","0.859088451970566",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv3_1","1.0","12.9990053618024","1","5.39966115542422","0.451514433445275","12.4844911587854","0.548331835724347","7.64953467838288","0.146594544994962","12.4746993409442","23.8338655464285","0.500000000749365","11.9477924418223","0.0170908237541468","27.7936038248634","5.59851628422482e-06","0.0923051299727843","5.71942736996506","0.384800197805617",NA,NA,NA,NA,NA,"0"
