"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Flower_eDNA","0","103.272809","1"," 52.5191850","1.680617e-07"," 36.528278"," 16.23778218"," 27.307152","0.0501409122","4102.265965","4073.2024737","0.9968012"," 21.945520","7.319066e-01","116.823093","3.586093e-04","0.135398246"," 24.461274","0.20804954","632.501247","2.070838e-01","5.433632e+02","0.158287039"," 30.551200","0.009902758"
"Bee_Bimpatiens_hv3_1","0"," 80.328089","1"," 57.7456113","1.978133e-04"," 88.805477","  0.09544714"," 41.249260","0.7557753312","  80.159872","1748.5778121","0.5000000"," 56.960418","2.929261e-04"," 95.435299","4.795628e-02","0.565601946"," 43.637775","0.22894614","120.503887","6.061730e-01","5.539254e+00","1.000000000"," 49.117145","0.014787786"
"Bee_Bimpatiens_hv4_1","0"," 56.538668","1"," 50.3418620","2.124040e-03"," 62.099036","  0.10539982"," 38.547020","0.7733571500","  56.230215"," 160.8947296","0.6874553"," 52.305014","7.959204e-04"," 65.782975","5.587570e-02","0.557636495"," 41.114178","0.21425387"," 67.593972","1.113252e+03","2.763616e+05","0.692180266"," 47.352452","0.009469017"
"Bee_Bimpatiens_hv4_2","0"," 82.186184","1"," 50.4883978","7.825996e-08"," 85.626834","  0.15003823"," 18.076136","0.8546196986","  82.302523"," 189.2071713","0.7177417"," 40.125150","1.392805e-05"," 86.052714","1.349571e-01","0.878299251"," 21.730445","0.13748325"," 86.636678","8.057199e+00","5.060498e+01","1.000000000"," 27.448020","0.007883047"
"Bee_Amellifera_hv13_1","0"," 99.474207","1"," 53.0607631","2.688954e-09"," 33.887815"," 26.93610691"," 23.268618","0.0079225591","4535.060631","4505.9284969","0.9979089"," 13.718989","9.387309e-01"," 75.905747","3.042303e-04","0.090485047"," 19.545455","0.05097297","366.907643","2.445135e-01","2.568096e+02","0.113269546"," 25.679246","0.002373582"
"Bee_Amellifera_hv13_2","0","125.821603","1"," 65.8877456","5.600862e-06","142.356275","  0.11643890"," 47.395844","0.0580390383"," 122.368404"," 713.1846772","0.5000000"," 69.157274","1.092159e-06","185.394921","2.560475e-02","0.445558846"," 41.913436","0.89993266","234.080516","1.217954e+01","4.046454e+03","0.519884841"," 48.041708","0.042021612"
"Bee_Amellifera_hv15_1","0"," 83.786693","1"," 53.8129787","3.730401e-04"," 88.440476","  0.13853595"," 38.418755","0.8214265496","  82.687253"," 448.3584272","0.5820397"," 53.709767","3.927964e-04"," 90.635971","9.400141e-02","0.660871317"," 41.576271","0.16940367"," 91.935074","1.797343e+01","2.599451e+02","0.807601297"," 47.583439","0.008403939"
"Bee_Amellifera_wild_1","0","164.215370","1"," 67.8728287","2.131770e-07","175.874883","  0.12893272"," 37.772360","0.7327810740"," 162.198213","1830.5479147","0.5000000"," 66.031666","5.352342e-07","178.998675","1.003462e-01","0.766277933"," 39.945115","0.24726717","185.423091","2.714058e+00","1.876374e+01","1.000000000"," 44.979494","0.019951007"
"Flower_eDNA","1"," 12.321461","1"," 44.2324769","1.225981e-01","  5.641364","214.00926592"," 40.296370","0.8774018812",NA,NA,NA,NA,"0.000000e+00",NA,NA,NA,NA,"0.00000000",NA,NA,NA,NA,NA,"0.000000000"
"Bee_Bimpatiens_hv3_1","1"," 13.098793","1","  5.3239100","4.528690e-01"," 12.484496","  0.65427722","  7.649535","0.1415694808","  12.478592","  10.8019067","0.5173653"," 11.933513","1.662324e-02"," 27.682133","6.973382e-06","0.092301564","  5.719444","0.37160667","196.033344","1.245760e-01","5.232050e+02","0.120188593"," 11.850056","0.017331579"
"Bee_Bimpatiens_hv4_1","1"," 11.939077","1","-24.0382140","7.057173e-01"," 11.492103","  0.38655195","-17.188362","0.0229722843","  11.438422","  40.8603093","0.5036954","-10.027854","6.402058e-04"," 11.648523","1.195175e-01","0.202853520","-22.068881","0.26363043"," 11.697449","1.731004e+02","4.842807e+04","0.492229440","-14.822949","0.007039816"
