"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Flower_eDNA","0.0","103.272808968664","1","52.5191850039908","1.68061692635925e-07","36.5282780046206","16.2377821763648","27.3071515774104","0.0501409121883686","4102.26596466742","4073.20247371226","0.996801236023789","21.9455202705116","0.731906620968869","116.823093186138","0.000358609251529591","0.13539824591453","24.4612736912375","0.20804954084448","632.501246576896","0.207083750174447","543.363215393135","0.158287039004881","30.5511995525988","0.00990275793658908"
"Bee_Bimpatiens_hv3_1","0.0","109.48642607252","1","39.2253427409851","0.637377354766291","88.8054756583231","0.965397777217089","41.2492600492701","0.231690683127882","92.6830927956367","73.3152099488898","0.515131693002136","44.0817766216032","0.0562128249900249","95.4356929901672","0.485038812754074","0.565593548762655","43.6377747609336","0.0701857896476939","120.50330611449","0.606183205641252","0.547665335552478","1","49.1171452446049","0.00453334746810786"
"Bee_Bimpatiens_hv4_1","0.0","85.6465454087258","1","41.2283052923293","0.136807754671715","62.0990371107246","1.43494382566936","38.547019812236","0.522810690363013","65.1153019141464","48.3455783904009","0.398550188774315","40.5804907354482","0.189139335482701","65.7830050765544","0.760705489133124","0.557635434064571","41.1141784914005","0.14484150711809","67.5953037392542","864.713671967853","14067.201024068","0.692275838809473","47.3526400896433","0.006400712364481"
"Bee_Bimpatiens_hv4_2","0.0","114.262194484422","1","42.3370198399521","4.09017449741791e-06","85.6268326973399","1.4882159969708","18.0761356185113","0.758448170810812","85.9421939062381","80.6622230850108","0.24894015178266","21.8920722281067","0.112539712627831","86.0527114906789","1.3386284044929","0.878299571668708","21.7304446039358","0.122012069793818","86.6366713605643","8.05724714269556","5.10190065431198","1","27.4480198438925","0.0069959565930416"
"Bee_Amellifera_hv13_1","0.0","115.371158445426","1","53.9083919104293","1.76046580977559e-09","33.88783094682","34.082836918918","23.2686178062093","0.00792446597649483","4165.99259072532","4136.86056809622","0.997119560726379","13.7195132095505","0.938710599681834","72.41430722411","0.000648206219624823","0.0904917499084776","19.5456780998799","0.0509795609132002","435.560731497178","0.212692551169168","341.813312924292","0.111692814634254","25.6698177761749","0.00238537166800496"
"Bee_Amellifera_hv13_2","0.0","145.274285324936","1","54.3548141547012","0.000870719796409593","142.356283222596","0.394500173139102","47.3958443649819","0.0282487677636126","161.818723309089","120.389724406064","0.821822141749192","41.5997302647545","0.512400675212998","185.39484908697","0.0867501895279465","0.445558980538123","41.9134362105533","0.438015332235738","232.788682425802","14.4981990643299","1669.22252990986","0.519305450188442","48.0405601971169","0.0204645049912416"
"Bee_Amellifera_hv15_1","0.0","84.5745027862423","1","52.9452470680337","0.000575530385814123","88.4404916781027","0.160727949337279","38.4187548657335","0.821213272976654","82.7963523138586","385.276428613587","0.556152904763779","53.438450804709","0.000449749228491318","90.635972010349","0.109059551314251","0.66087123739581","41.5762709611811","0.169359690641823","91.9337903526443","18.0328020484031","225.061174374902","0.807526708920689","47.5834389156951","0.00840175676721758"
"Bee_Amellifera_wild_1","0.0","178.886552159479","1","58.1332805343949","2.3236776055516e-05","175.874908579269","0.336967721886438","37.7723596233993","0.613046858894846","178.043780819765","157.828452139033","0.748834003887989","40.4171537392993","0.163374370196601","178.99871120622","0.262256033658441","0.766276556605199","39.9451147640896","0.206864461736247","185.422935385895","2.71409977938429","7.17961866318568","1","44.9794943944033","0.0166910723962503"
"Flower_eDNA","1.0","12.3214614552669","1","44.2324768691381","0.122598118769391","5.64136432286416","214.009265917861","40.2963699613365","0.877401881230609",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
"Bee_Bimpatiens_hv3_1","1.0","17.4101986804196","1","21.1803366754073","4.02654984681546e-05","12.4844907438796","6.61793078539584","7.64953467805306","0.0349228277119975","971.72576668623","961.000508476193","0.999385662477611","1.22100703655707","0.869053358270132","26.9840640398622","9.31047315676146e-05","0.0923086660457774","5.71955404636013","0.0916641194139349","248.681568752511","0.115406593118263","370.288551516662","0.115421950201731","11.8295696031393","0.00431942910546792"
