Name	Group	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
Acidothermales	Bacteria	0	0	9	0	0	0	0
Actinomycetales	Bacteria	0	5790	0	0	0	0	0
Aeromonadales	Bacteria	0	0	7423	0	0	0	0
Araneae	Arthropods	0	166047	1	0	676	266	1410
Artiodactyla	Others	0	0	74	0	0	0	0
Asterales	Plants	406	0	0	10580	3192	21653	752
Bacillales	Bacteria	4	12476	24	0	4	7	0
Bifidobacteriales	Bacteria	3932947	115705	8641701	1140615	459531	1231786	41838
Brassicales	Plants	208	0	17998	0	0	0	0
Burkholderiales	Bacteria	58	5720	46	0	4486	8732	0
Caudovirales	Viruses	61378	0	36184	2264	0	0	1024
Caulobacterales	Bacteria	0	0	47	0	0	0	0
Coleoptera	Arthropods	332	9	49	70	589	515	0
Coriobacteriales	Bacteria	282	0	0	0	0	0	0
Corynebacteriales	Bacteria	144	16100	34	9	13	0	0
Diplostraca	Arthropods	2	0	0	0	0	0	1
Diptera	Arthropods	221	101078	0	0	0	0	698
Ectocarpales	Others	483	0	341	0	0	0	0
Eggerthellales	Bacteria	0	0	29	0	0	0	0
Enterobacterales	Bacteria	17024	103	31455	9816	14230	26684	590
Ephemeroptera	Arthropods	76	6	53	202	0	0	0
Erysipelotrichales	Bacteria	0	0	0	12	0	0	0
Eubacteriales	Bacteria	15	0	621	0	0	0	0
Eurotiales	Fungi	0	0	0	2684	0	0	0
Fabales	Plants	156192	734	1979	3786	0	794	1775
Flavobacteriales	Bacteria	10956	0	0	2036	0	0	1222
Glomerales	Fungi	4	8	2	0	0	0	0
Haemosporida	Others	0	3162	0	0	0	0	0
Hymenoptera	Arthropods	377506	955215	425647	1373646	568372	558604	360424
Hypocreales	Fungi	1	0	3	0	0	7	0
Lactobacillales	Bacteria	3821369	1260954	7403382	347550	94599	317031	100892
Lepidoptera	Arthropods	131	10108	0	464	0	426	272
Malasseziales	Fungi	0	6844	0	0	0	0	0
Malpighiales	Plants	105	0	0	0	0	0	0
Mesostigmata	Arthropods	0	27	1	1832	2447	1295	287
Methylococcales	Bacteria	0	0	8	0	0	0	0
Micrococcales	Bacteria	10	5656	0	0	0	0	0
Micromonosporales	Bacteria	0	0	189	0	0	0	0
Mycosphaerellales	Fungi	0	0	0	0	0	3	0
Neisseriales	Bacteria	884279	2279	812138	93158	44254	104233	12534
Oceanospirillales	Bacteria	0	0	13	0	0	0	0
Orbales	Bacteria	1800510	11868	3634412	406296	226541	277512	29762
Pasteurellales	Bacteria	0	0	97	0	0	0	0
Patellariales	Fungi	0	0	0	0	0	40	0
Piccovirales	Viruses	13630	1279352	0	0	0	5760	13722
Poales	Plants	50	0	26	76	35	0	0
Polyporales	Fungi	0	0	0	102	0	0	0
Primates	Others	0	30396	0	0	0	0	0
Propionibacteriales	Bacteria	0	22674	553	4	0	0	0
Pseudomonadales	Bacteria	22866	13233	264849	18940	15879	14504	370
Rhabditida	Others	0	141	0	0	0	80	0
Rhizobiales	Bacteria	1823939	11308	3751062	76622	15246	13140	12144
Rhodospirillales	Bacteria	327208	12584	214057	11714	2106	0	5074
Rosales	Plants	380	0	0	0	0	0	0
Saccharomycetales	Fungi	0	0	0	12064	3350	38147	0
Saprolegniales	Others	0	2	0	0	0	0	0
Solanales	Plants	540	174	0	0	0	308	0
Sporadotrichida	Others	33	380	12	8	0	0	17
Streptomycetales	Bacteria	70	0	0	0	0	0	0
Strongylida	Others	29	0	0	0	0	0	0
Thysanoptera	Arthropods	9	0	1	0	0	0	0
Trichinellida	Others	1037	116	1555	151	227	52	0
Ustilaginales	Fungi	0	0	0	0	0	4	0
Vibrionales	Bacteria	0	0	15	0	0	0	0
Xanthomonadales	Bacteria	0	0	0	0	2748	9098	0
Xylariales	Fungi	0	0	0	0	0	1	0
Zingiberales	Plants	19	0	9	0	0	0	0
