"Sample","q","m1_a","m1_b","m1_AIC","m1_weight","m2_a","m2_b","m2_AIC","m2_weight","m3_a","m3_b","m3_c","m3_AIC","m3_weight","m4_a","m4_b","m4_c","m4_AIC","m4_weight","m5_a","m5_b","m5_c","m5_d","m5_AIC","m5_weight"
"Flower_eDNA","0","9770.4750262958","1","144.406516828717","1.49275437577148e-05","3503.4165917993","13.3547231156196","122.932394128889","0.687123574584436","3635.84145385268","1538.21742211298","0.00789232322364177","125.974281529853","0.15014033917994","3764.85711803168","2.27791748584555","0.207306367501125","125.912702916068","0.154834957317503","4421.62354706579","0.667059624495341","0.0177254733291841","0.657341099569042","131.867193290703","0.00788620137436352"
"Bee_Bimpatiens_hv3_1","0","6294.94146854475","1","129.849167638765","0.000820304093447518","6244.31932687744","0.213965532497858","131.195549955275","0.000418419266162733","6076.59228305853","43551.6888871625","0.500000248844896","138.056317412778","1.35461209579272e-05","22199.1759556949","1.59136619707044e-05","0.168020510392105","115.715229514478","0.961879228169386","183110.457374293","0.0931728539639222","1740.4920665412","0.200800610418746","122.238292131805","0.0368685023500462"
"Bee_Bimpatiens_hv4_1","0","4965.1610117298","1","127.536554586391","6.9714617348091e-05","5041.75727192685","0.174616458833546","120.852536673416","0.00197124178392383","4835.82760624957","44345.6209563476","0.500000094722578","131.790972927061","8.30784993793962e-06","6741.95050487333","0.00978152716709428","0.225506634584724","108.497992078497","0.94950043538512","25877.4651048844","0.20881611584468","5.68149802594258","0.340906144466952","114.448786980536","0.0484503003636696"
"Bee_Bimpatiens_hv4_2","0","6862.83789537843","1","129.784253100434","1.16243395323124e-07","6893.78466342319","0.199485843633","121.107703516561","8.90137484151972e-06","6662.25526795956","49787.4373136278","0.500000103612806","134.254692979281","1.24343933329066e-08","7621.07586130845","0.0394800931404364","0.272688169596485","97.9837254559554","0.934899926148813","11501.2771257324","0.220135161177602","0.485560559239426","0.999975886836399","103.31303051398","0.0650910437985568"
"Bee_Amellifera_hv13_1","0","8372.91153927188","1","128.652043241072","5.68006025185963e-13","3219.24573037893","5.22687655216358","101.85927662794","3.73532410156249e-07",NA,NA,NA,NA,"0","3747.03747071717","1.81566892349281","0.496878346021152","73.4616287427605","0.548023494724436","10890.156693017","0.123792428427929","0.0399225783607278","0.950170559091395","73.8470063168704","0.451976131742586"
"Bee_Amellifera_hv13_2","0","8793.96440153026","1","132.249353108897","1.77421793412278e-13","8705.45733925492","0.253710589335355","128.74600426983","1.02270292804575e-12","9578.1894268109","4619.95147441575","0.929612564785983","83.8055651430359","0.00586734820731807","10610.3717166128","0.0229511553250804","0.226694183142227","73.559982358421","0.984559340122439","14472.2976937278","3.36764563090524","857.253184151436","0.32266859056439","82.8264123146442","0.00957331166904331"
"Bee_Amellifera_hv15_1","0","7823.87628073736","1","148.007755453539","2.00864909701096e-14","8791.19654602364","0.100258658691624","123.912167220864","3.42921391785503e-09","9691.13336155725","7126.5789705525","0.947935561461929","90.285711343024","0.0687205607385426","10491.5000941853","0.0294962932968985","0.460292577115256","85.0988714425051","0.919167517080294","11934.4967000614","14.6751926867704","2502.9137371893","0.564365229666324","93.7574282406073","0.0121119187519297"
"Bee_Amellifera_wild_1","0","6878.2787370903","1","119.231211305523","5.57116274060062e-07","6708.210460024","0.290636133904343","121.804594727688","1.53866025211782e-07","6606.82541649765","30545.7333955856","0.500000050506873","129.957427082723","2.61082452158368e-09","12995.5691488165","0.000265103601768974","0.134300032318381","90.5231717478034","0.954591203423028","52290.8915333956","0.26142468916877","213.124310636483","0.180389847674137","96.614357870008","0.0454080829838486"
"Flower_eDNA","1","4465.14090083922","1","132.858682870883","8.31799271301122e-09","1583.17701414144","40.1684051792612","96.1429825483838","0.781144825442913","1631.35238298395","99.5740405582868","0.236983268679726","100.166069093984","0.104503158492312","2006.67984412857","8.66027067479075e-06","0.0190952620707498","100.085272431556","0.108811347620822","1621.93069334612","1.09176674258042","0.0011473064016795","0.574497786560962","106.040276385552","0.00554066012595994"
"Bee_Bimpatiens_hv3_1","1","1572.7231918133","1","91.3545201582183","1",NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,"0"
