Sample	RawRead	CleanRead	MetagenomicRead	SubsamplePercent	AssemblySpeciesRichness	SpeciesRichness	Hill_0	Hill_1	Hill_2
LF_F18	1443107	882436	882436	0.1	6	29	2694.0	1547.344665472715	982.1578710564892
LF_F18	1443107	882436	882436	0.2	12	33	2523.0	1401.3310616691726	883.9190246732965
LF_F18	1443107	882436	882436	0.3	13	34	4059.0	1801.431916156629	1046.7833527762818
LF_F18	1443107	882436	882436	0.4	16	35	3095.0	1535.5393940150982	949.5961874151616
LF_F18	1443107	882436	882436	0.5	13	32	3257.0	1551.139035690774	948.5069360811677
LF_F18	1443107	882436	882436	0.6	17	37	3358.0	1569.9924826866493	960.8100960640205
LF_F18	1443107	882436	882436	0.7	15	34	3528.0	1583.4898356139156	957.8809960188622
LF_F18	1443107	882436	882436	0.8	18	38	3606.0	1592.4649559922318	966.3858653897811
LF_F18	1443107	882436	882436	0.9	19	39	3661.0	1596.2282927452668	963.6164631855559
LF_F18	1443107	882436	882436	1	23	43	3732.0	1605.8668441436205	968.3702543855641
PGcomcol3_Bimp	63973750	53612702	5300592	0.1	22	38	5047.0	1534.248013455115	836.0608280050394
PGcomcol3_Bimp	63973750	53612702	5300592	0.2	53	64	4840.0	1472.9900132350326	828.4185410914891
PGcomcol3_Bimp	63973750	53612702	5300592	0.3	55	63	5314.0	1487.4024799414697	826.8791283643823
PGcomcol3_Bimp	63973750	53612702	5300592	0.4	69	75	5690.0	1490.0786028638092	826.8987050078063
PGcomcol3_Bimp	63973750	53612702	5300592	0.5	75	81	5985.0	1495.90542699983	827.4908688261985
PGcomcol3_Bimp	63973750	53612702	5300592	0.6	73	79	6230.0	1494.272747882359	823.5361023511491
PGcomcol3_Bimp	63973750	53612702	5300592	0.7	88	94	6393.0	1492.4723485787233	820.1522777045744
PGcomcol3_Bimp	63973750	53612702	5300592	0.8	74	78	6574.0	1499.3571140755562	824.7702661142799
PGcomcol3_Bimp	63973750	53612702	5300592	0.9	85	90	6735.0	1500.036191409684	824.9512492754208
PGcomcol3_Bimp	63973750	53612702	5300592	1	92	96	6872.0	1506.1090475924564	822.9796240038087
PGcomcol4a_Bimp	58988182	48426748	3557052	0.1	20	33	3314.0	1375.5791658675178	791.7160089826242
PGcomcol4a_Bimp	58988182	48426748	3557052	0.2	25	35	4130.0	1437.6922880696347	820.9878929442115
PGcomcol4a_Bimp	58988182	48426748	3557052	0.3	41	49	4090.0	1404.4792876421268	803.5597189169798
PGcomcol4a_Bimp	58988182	48426748	3557052	0.4	39	47	4402.0	1413.1560793702904	806.217576559925
PGcomcol4a_Bimp	58988182	48426748	3557052	0.5	47	56	5028.0	1441.2532292985684	808.2694153416231
PGcomcol4a_Bimp	58988182	48426748	3557052	0.6	61	69	4817.0	1421.3935404244928	805.4331718371641
PGcomcol4a_Bimp	58988182	48426748	3557052	0.7	55	62	5053.0	1436.0125541808206	811.8743715889865
PGcomcol4a_Bimp	58988182	48426748	3557052	0.8	49	56	5194.0	1431.4419052141754	808.6036459381454
PGcomcol4a_Bimp	58988182	48426748	3557052	0.9	54	61	5302.0	1433.3034726559117	809.2609429980115
PGcomcol4a_Bimp	58988182	48426748	3557052	1	56	63	5427.0	1436.0678943215885	809.2262724284474
PGcomcol4b_Bimp	54955553	45805759	4618023	0.1	35	43	4622.0	1449.4835104891285	813.9045836312127
PGcomcol4b_Bimp	54955553	45805759	4618023	0.2	56	65	5636.0	1496.316125249139	823.9791664524645
PGcomcol4b_Bimp	54955553	45805759	4618023	0.3	68	75	5941.0	1497.6478899490694	821.5992254620819
