KEGG_KO	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
K00001	11601	6590	22291	3035	846	2443	224
K00002	115	37	291	23	0	18	0
K00003	5097	1935	11099	1419	623	1755	61
K00004	6449	297	12653	349	63	199	126
K00005	5429	337	10326	903	372	701	116
K00006	23	0	47	13	16	102	0
K00007	258	16	135	4	0	6	2
K00008	3510	657	6743	426	77	361	143
K00009	1914	57	2855	154	65	78	49
K00010	3661	64	7641	290	54	107	68
K00011	206	39	497	11	0	9	2
K00012	2548	164	8288	251	38	44	21
K00013	7590	2098	15852	1959	760	2143	163
K00014	7202	1476	14097	1739	683	1242	190
K00015	4452	194	8848	981	238	757	115
K00016	9900	2935	19575	2334	698	2508	297
K00018	2912	89	5461	458	172	397	46
K00019	233	38	1183	160	22	308	2
K00020	5074	135	9308	512	140	432	139
K00021	135	10	205	5	8	125	0
K00022	0	16	0	0	0	0	0
K00023	12	30	18	4	22	8	0
K00024	3460	350	7968	1123	504	1437	45
K00025	402	4	361	9	8	4	0
K00026	7	0	0	20	6	114	0
K00027	9227	6278	20250	909	181	542	251
K00028	0	5	0	0	0	2	0
K00029	8031	284	18268	583	115	263	85
K00030	265	28	257	43	6	151	9
K00031	5754	207	12508	1004	422	1370	117
K00032	26	12	5	14	5	24	0
K00033	13695	2970	26062	3873	1544	4182	273
K00034	1272	919	2019	91	41	224	20
K00035	8	12	0	0	0	0	0
K00036	11246	5133	22832	3113	1392	3083	280
K00038	91	21	228	0	0	13	0
K00039	1	0	0	8	0	0	0
K00040	7958	208	14010	547	267	1121	211
K00041	3639	21	7977	204	88	653	94
K00042	1851	32	3264	205	16	40	26
K00043	1053	10	943	20	0	12	0
K00045	154	44	92	9	0	0	0
K00046	1627	12	3539	71	40	33	20
K00048	1465	0	2716	123	43	521	24
K00049	4	30	6	2	0	0	0
K00050	8	20	15	0	20	6	0
K00052	8580	2105	21163	1543	673	1446	149
K00053	6100	1207	13294	1503	898	1810	137
K00054	7307	2784	13749	1444	508	1600	191
K00055	3146	24	6282	302	52	250	102
K00057	8313	2313	17008	2235	713	1965	173
K00058	7740	3128	16795	1289	543	831	200
K00059	11848	3613	23532	954	335	1426	240
K00060	300	1476	1032	200	30	344	16
K00062	0	0	0	2	0	30	0
K00063	0	0	0	0	0	4	0
K00064	4	6	1	0	0	0	0
K00065	1316	14	2683	222	42	350	25
K00066	118	10	313	16	0	0	0
K00067	2740	157	4209	1240	629	2152	53
K00068	1378	68	2833	160	105	142	10
K00069	0	0	4	0	0	0	0
K00070	2	21	0	0	0	0	0
K00073	1526	26	1633	40	28	10	19
K00074	6564	176	13989	595	91	1002	136
K00075	8689	2072	19296	2416	989	1978	173
K00076	2	1	9	0	3	0	0
K00077	5186	2893	8750	286	89	444	91
K00078	3	4	11	0	0	11	0
K00079	17	0	0	0	0	0	0
K00082	14	0	0	4	6	9	0
K00083	7	2	40	0	0	2	0
K00086	689	8	1585	43	18	163	10
K00087	4	0	0	4	0	0	0
K00088	15125	4459	32200	3665	1823	3931	301
K00090	399	61	683	262	33	247	0
K00091	1205	49	2509	46	20	18	8
K00094	328	0	645	23	4	2	8
K00096	1009	88	1273	50	25	28	21
K00097	2005	45	4735	192	77	453	24
K00098	641	254	1178	37	0	2	26
K00099	5627	135	10888	540	214	439	91
K00100	0	3	6	0	0	2	0
K00101	3019	92	5145	295	95	218	19
K00102	3857	69	8459	204	39	47	31
K00103	22	4	7	14	2	21	0
K00104	4123	142	9627	380	144	379	104
K00105	2254	62	5875	278	69	328	71
K00106	2	16	2	42	8	100	0
K00107	6	0	0	12	2	21	0
K00108	282	164	963	18	41	46	2
K00109	0	12	0	0	0	0	0
K00111	4475	273	9924	465	89	480	105
K00112	6	30	4	2	0	0	4
K00113	10	16	4	0	10	0	0
K00114	7	70	12	0	0	4	0
K00115	23	33	92	6	2	0	0
K00116	425	47	818	171	124	175	2
K00117	2023	150	3264	805	374	443	53
K00121	3739	163	6484	634	199	1028	84
K00122	8	10	0	22	3	3	0
K00123	10525	213	18770	2953	1535	2068	226
K00124	3360	38	7198	835	388	580	72
K00125	8	0	0	0	0	0	0
K00127	1308	46	2575	213	102	117	26
K00128	3891	927	10793	291	111	668	65
K00129	1	39	191	56	38	116	3
K00130	479	55	2678	52	60	38	4
K00131	34	7	8	6	12	4	0
K00132	3	13	12	0	1	0	0
K00133	11941	3879	24417	2952	1269	2409	250
K00134	11496	2390	23299	2885	1231	2836	351
K00135	15460	452	34187	1390	551	1765	300
K00137	34	4	16	0	8	6	0
K00138	87	94	389	19	12	16	0
K00139	10	6	12	0	0	0	0
K00140	1340	181	2321	173	34	54	61
K00141	280	20	226	2	4	5	8
K00142	0	12	4	0	0	0	0
K00143	0	0	4	59	5	59	0
K00145	4778	1451	10766	1180	464	1108	60
K00146	31	88	346	7	4	28	4
K00147	6242	1983	12303	1219	498	1456	116
K00148	784	60	991	71	47	72	4
K00149	4	0	4	0	0	0	0
K00151	431	30	2708	39	5	12	0
K00153	2702	80	5714	526	150	753	65
K00154	78	10	65	2	1	41	0
K00156	10786	1841	22087	3444	1299	3232	231
K00157	0	2	2	8	0	4	0
K00158	14140	4898	28569	4870	1646	3849	402
K00161	2428	231	4595	179	43	268	49
K00162	3974	125	8206	219	52	190	47
K00163	4323	267	9290	1343	812	957	101
K00164	5358	429	12589	545	140	473	74
K00166	5	144	4	0	20	12	0
K00167	28	86	0	0	0	0	0
K00169	931	103	606	43	12	0	12
K00170	0	24	3	0	0	0	0
K00174	23	190	12	0	0	8	0
K00175	8	56	0	0	0	0	0
K00179	4	9	0	0	16	20	0
K00182	6	0	0	0	1	0	0
K00184	56	0	7	7	2	0	10
K00185	48	8	15	7	4	0	8
K00187	4	0	0	0	0	0	0
K00196	4	16	14	345	110	232	0
K00197	8	0	8	0	0	0	0
K00198	0	24	0	0	0	0	0
K00201	0	0	4	0	0	0	0
K00207	50	12	363	82	0	0	0
K00208	3696	266	7804	428	137	234	54
K00209	12	8	18	44	24	27	1
K00210	3215	227	8827	1289	459	1122	58
K00211	0	2	0	38	4	43	0
K00213	1	0	4	0	0	0	0
K00215	8358	1989	15956	1816	542	1473	214
K00216	643	4	743	40	10	54	10
K00217	2	0	31	0	0	0	0
K00218	20	0	1	12	0	18	0
K00219	764	108	1007	36	115	64	17
K00220	1412	56	4164	96	52	16	4
K00222	8	8	0	8	0	14	0
K00223	0	4	0	29	8	48	0
K00226	3453	2809	6507	503	97	542	63
K00227	1	0	2	3	0	30	0
K00228	1357	29	4213	127	40	175	0
K00230	301	32	764	70	28	30	1
K00231	36	123	6	16	8	16	0
K00232	12	69	4	15	22	207	0
K00234	28	63	79	28	8	190	4
K00235	18	14	35	4	4	50	0
K00236	1	0	0	4	0	30	0
K00237	0	0	0	2	0	23	0
K00239	11331	1001	22571	1984	655	2056	207
K00240	3497	89	7601	787	254	606	43
K00241	626	117	1215	44	22	32	0
K00242	566	28	1212	49	29	26	8
K00243	1558	1478	3113	156	100	144	64
K00244	24838	1177	53180	4083	1534	3145	849
K00245	4	6	0	0	2	0	0
K00246	102	21	236	20	6	4	1
K00247	202	0	503	63	47	49	0
K00248	665	29	806	26	8	4	9
K00249	336	102	402	26	38	38	7
K00252	700	87	798	37	48	65	9
K00253	71	17	0	0	0	32	0
K00254	1387	2787	3986	99	32	112	16
K00255	36	4	4	0	0	0	0
K00256	12	14	0	0	4	41	0
K00257	12	10	0	0	0	0	0
K00259	9	142	37	4	0	0	0
K00260	6	24	0	4	8	10	0
K00261	53	38	20	19	15	46	0
K00262	3686	195	7114	1724	676	1972	45
K00263	0	44	0	0	0	4	0
K00264	13	13	34	55	9	295	0
K00265	25802	792	54771	6089	2568	6251	389
K00266	8629	342	19389	2709	1298	2769	159
K00271	2	0	0	0	0	0	0
K00272	1	0	8	6	0	52	0
K00273	5	16	33	6	2	58	0
K00274	12	117	2	0	12	2	4
K00275	1230	61	1976	87	23	196	20
K00276	7	39	0	59	0	9	0
K00277	0	4	0	0	0	0	0
K00278	5908	370	10909	1635	538	1893	98
K00279	22	0	4	0	0	0	0
K00280	3	4	0	0	0	0	0
K00281	3404	185	7793	200	67	252	17
K00282	31	33	0	0	0	0	0
K00283	3364	197	7686	166	57	137	17
K00284	9833	465	21243	4006	1535	4635	122
K00285	3233	285	9266	256	88	196	30
K00286	6239	1244	12194	1670	601	1490	91
K00287	3821	946	7833	920	358	1098	81
K00288	37	39	78	768	305	527	5
K00289	16	3	0	4	0	0	0
K00290	1304	80	3698	116	22	28	20
K00293	1	4	4	36	20	100	0
K00294	106	12	390	78	41	113	3
K00295	0	0	0	5	0	5	0
K00297	4591	2495	8573	1059	464	1160	58
K00298	4	0	0	0	0	0	0
K00299	67	71	429	379	163	479	1
K00301	16	1545	5	0	0	0	6
K00302	32	24	2	0	0	2	0
K00303	22	16	7	6	0	14	0
K00304	2	0	0	0	4	4	0
K00305	10	8	0	0	0	2	0
K00306	8	0	0	5	0	4	0
K00310	0	9	0	0	0	0	0
K00311	3292	139	5868	206	81	271	24
K00312	0	2	0	0	0	0	0
K00313	13	43	0	4	4	0	0
K00314	5	0	0	0	0	0	0
K00315	24	0	0	0	0	0	0
K00317	0	8	2	0	4	2	0
K00318	13	40	8	16	1	27	0
K00320	0	16	0	0	0	0	0
K00322	17	4	958	21	1	19	0
K00323	10	0	3	4	0	2	0
K00324	7568	129	15751	564	375	922	110
K00325	6427	171	13502	564	265	1090	92
K00326	59	5	69	28	8	66	0
K00327	4	0	0	19	4	39	0
K00329	1599	30	3451	98	33	12	4
K00330	459	9	633	26	22	32	8
K00331	1367	68	2500	78	62	97	24
K00332	1071	42	1755	109	40	71	13
K00333	2369	193	4371	207	123	186	34
K00334	1060	43	2046	71	14	17	9
K00335	3092	150	5881	384	74	144	20
K00336	4771	219	9205	476	186	281	90
K00337	1830	50	3396	156	80	134	42
K00338	813	86	2028	52	24	63	24
K00339	1232	15	2358	130	68	109	15
K00340	645	15	1123	62	64	93	2
K00341	4133	233	7696	545	228	284	53
K00342	3148	86	5444	345	200	335	62
K00343	3202	134	5233	423	230	275	43
K00344	4386	1730	8257	293	65	265	36
K00346	0	0	16	0	0	0	0
K00347	5	6	0	0	0	0	0
K00350	0	2	0	0	0	0	0
K00351	0	16	2	0	0	0	0
K00354	18	12	62	7	1	29	7
K00355	2892	365	6257	1204	366	913	61
K00356	1883	30	4053	128	35	12	24
K00362	3814	85	4040	458	259	545	77
K00363	518	10	438	238	98	153	10
K00364	5093	2815	10895	946	417	679	121
K00365	41	0	16	20	1	98	0
K00366	46	155	130	0	0	4	0
K00368	6294	274	13169	779	111	920	74
K00370	7949	306	17744	2295	1119	1403	151
K00371	2918	160	5866	834	382	522	23
K00372	127	97	37	3	4	29	9
K00373	1130	43	1886	294	201	293	2
K00374	1268	22	2108	330	198	224	12
K00375	766	174	1755	93	21	63	10
K00376	4	8	0	0	0	0	0
K00380	1264	69	2521	106	49	172	42
K00381	2859	117	4773	421	118	400	60
K00382	11610	793	23105	2284	935	2174	204
K00383	2817	6801	6154	307	99	300	115
K00384	14880	2375	29870	4599	1831	5026	238
K00387	6	0	12	0	0	0	0
K00389	0	10	0	0	0	0	0
K00390	1176	36	1940	108	45	249	44
K00392	25	186	31	0	16	22	0
K00394	0	14	0	0	0	0	0
K00404	8	39	8	0	0	1	0
K00405	21	67	2	0	0	4	0
K00406	15	18	4	0	2	4	8
K00407	4	0	0	0	0	0	8
K00408	6	0	0	0	1	0	0
K00410	983	12	2438	63	5	13	12
K00411	752	23	1548	65	4	76	8
K00412	1059	492	2552	70	22	34	21
K00413	867	43	1592	67	16	64	13
K00414	2	8	0	0	0	8	0
K00415	0	3	0	2	0	0	0
K00416	0	0	0	33	0	11	0
K00417	0	4	0	12	0	22	0
K00418	0	0	0	1	0	22	0
K00419	0	0	0	0	0	5	0
K00420	0	0	0	0	0	4	0
K00422	4	0	0	0	0	0	0
K00423	24	0	0	4	0	0	0
K00424	134	0	225	4	13	18	12
K00425	10491	2644	18707	2373	1038	2075	171
K00426	6849	1749	12081	1550	819	1721	128
K00427	1028	32	393	30	7	46	6
K00428	278	12	155	24	8	98	0
K00430	84	0	5	3	0	0	3
K00432	115	787	88	16	36	46	0
K00433	753	520	1546	54	8	22	8
K00434	5	0	0	0	0	4	0
K00435	1345	28	3385	74	23	197	12
K00441	66	0	8	0	0	0	0
K00444	6	0	0	0	1	0	0
K00445	0	0	0	0	0	1	0
K00446	0	3	0	0	0	0	0
K00448	466	28	1052	4	8	26	2
K00449	333	74	84	4	4	12	2
K00450	0	0	0	2	4	4	0
K00451	634	15	2563	84	10	9	4
K00452	0	0	0	0	0	4	4
K00453	17	0	0	18	0	2	0
