PathwayID	Naive	MinPath	TotalGene	GeneFound	Coverage	Description
map02030	1	1	26	23	0.8846153846153846	Bacterial chemotaxis
map00072	1	1	8	7	0.875	Synthesis and degradation of ketone bodies
map00473	1	1	6	5	0.8333333333333334	D-Alanine metabolism
map00550	1	1	51	42	0.8235294117647058	Peptidoglycan biosynthesis
map05033	1	1	27	22	0.8148148148148148	Nicotine addiction
map00710	1	1	36	29	0.8055555555555556	Carbon fixation in photosynthetic organisms
map00250	1	1	70	56	0.8	Alanine, aspartate and glutamate metabolism
map00983	1	1	32	25	0.78125	Drug metabolism - other enzymes
map00220	1	1	59	46	0.7796610169491526	Arginine biosynthesis
map02060	1	1	71	55	0.7746478873239436	Phosphotransferase system (PTS)
map04112	1	1	31	24	0.7741935483870968	Cell cycle - Caulobacter
map00280	1	1	70	53	0.7571428571428571	Valine, leucine and isoleucine degradation
map04922	1	1	57	43	0.7543859649122807	Glucagon signaling pathway
map00572	1	1	12	9	0.75	Arabinogalactan biosynthesis - Mycobacterium
map03430	1	1	44	33	0.75	Mismatch repair
map00500	1	1	105	78	0.7428571428571429	Starch and sucrose metabolism
map00010	1	1	105	78	0.7428571428571429	Glycolysis / Gluconeogenesis
map03010	1	1	143	106	0.7412587412587412	Ribosome
map00051	1	1	111	82	0.7387387387387387	Fructose and mannose metabolism
map00260	1	1	99	73	0.7373737373737373	Glycine, serine and threonine metabolism
map00240	1	1	102	75	0.7352941176470589	Pyrimidine metabolism
map00511	1	1	22	16	0.7272727272727273	Other glycan degradation
map04330	1	1	33	24	0.7272727272727273	Notch signaling pathway
map00020	1	1	62	45	0.7258064516129032	Citrate cycle (TCA cycle)
map00071	1	1	58	42	0.7241379310344828	Fatty acid degradation
map00620	1	1	126	91	0.7222222222222222	Pyruvate metabolism
map04970	1	1	64	46	0.71875	Salivary secretion
map04391	1	1	53	38	0.7169811320754716	Hippo signaling pathway - fly
map04964	1	1	14	10	0.7142857142857143	Proximal tubule bicarbonate reclamation
map00571	1	1	14	10	0.7142857142857143	Lipoarabinomannan (LAM) biosynthesis
map04931	1	1	74	52	0.7027027027027027	Insulin resistance
map04720	1	1	43	30	0.6976744186046512	Long-term potentiation
map00450	1	1	33	23	0.696969696969697	Selenocompound metabolism
map00650	1	1	99	69	0.696969696969697	Butanoate metabolism
map04961	1	1	33	23	0.696969696969697	Endocrine and other factor-regulated calcium reabsorption
map00780	1	1	23	16	0.6956521739130435	Biotin metabolism
map04960	1	1	26	18	0.6923076923076923	Aldosterone-regulated sodium reabsorption
map00061	1	1	39	27	0.6923076923076923	Fatty acid biosynthesis
map00630	1	1	100	69	0.69	Glyoxylate and dicarboxylate metabolism
map04122	1	1	29	20	0.6896551724137931	Sulfur relay system
map00281	1	1	16	11	0.6875	Geraniol degradation
map00290	1	1	19	13	0.6842105263157895	Valine, leucine and isoleucine biosynthesis
map04928	1	1	85	58	0.6823529411764706	Parathyroid hormone synthesis, secretion and action
map04724	1	1	88	60	0.6818181818181818	Glutamatergic synapse
map00770	1	1	44	30	0.6818181818181818	Pantothenate and CoA biosynthesis
map00410	1	1	44	30	0.6818181818181818	beta-Alanine metabolism
map00982	1	1	25	17	0.68	Drug metabolism - cytochrome P450
map02040	1	1	55	37	0.6727272727272727	Flagellar assembly
map04730	1	1	45	30	0.6666666666666666	Long-term depression
map03060	1	1	39	26	0.6666666666666666	Protein export
map00730	1	1	36	24	0.6666666666666666	Thiamine metabolism
map04972	1	1	69	46	0.6666666666666666	Pancreatic secretion
map00472	1	1	9	6	0.6666666666666666	D-Arginine and D-ornithine metabolism
map04921	1	1	112	74	0.6607142857142857	Oxytocin signaling pathway
map04918	1	1	53	35	0.660377358490566	Thyroid hormone synthesis
map04971	1	1	50	33	0.66	Gastric acid secretion
map04742	1	1	41	27	0.6585365853658537	Taste transduction
map03018	1	1	79	52	0.6582278481012658	RNA degradation
map00310	1	1	89	58	0.651685393258427	Lysine degradation
map03410	1	1	43	28	0.6511627906976745	Base excision repair
map04530	1	1	106	69	0.6509433962264151	Tight junction
map00521	1	1	20	13	0.65	Streptomycin biosynthesis
map00670	1	1	37	24	0.6486486486486487	One carbon pool by folate
map02010	1	1	512	332	0.6484375	ABC transporters
map00040	1	1	85	55	0.6470588235294118	Pentose and glucuronate interconversions
map05017	1	1	116	75	0.646551724137931	Spinocerebellar ataxia
map04114	1	1	79	51	0.6455696202531646	Oocyte meiosis
map00230	1	1	213	137	0.6431924882629108	Purine metabolism
map04320	1	1	28	18	0.6428571428571429	Dorso-ventral axis formation
map04392	1	1	25	16	0.64	Hippo signaling pathway - multiple species
map04740	1	1	25	16	0.64	Olfactory transduction
map04978	1	1	36	23	0.6388888888888888	Mineral absorption
map00340	1	1	47	30	0.6382978723404256	Histidine metabolism
map00930	1	1	22	14	0.6363636363636364	Caprolactam degradation
map00640	1	1	110	70	0.6363636363636364	Propanoate metabolism
map04974	1	1	66	42	0.6363636363636364	Protein digestion and absorption
map04973	1	1	22	14	0.6363636363636364	Carbohydrate digestion and absorption
map04216	1	1	33	21	0.6363636363636364	Ferroptosis
map00534	1	1	22	14	0.6363636363636364	Glycosaminoglycan biosynthesis - heparan sulfate / heparin
map03030	1	1	60	38	0.6333333333333333	DNA replication
map04360	1	1	128	81	0.6328125	Axon guidance
map00520	1	1	147	93	0.6326530612244898	Amino sugar and nucleotide sugar metabolism
map05230	1	1	49	31	0.6326530612244898	Central carbon metabolism in cancer
map04211	1	1	68	43	0.6323529411764706	Longevity regulating pathway
map05204	1	1	38	24	0.631578947368421	Chemical carcinogenesis
map00030	1	1	84	53	0.6309523809523809	Pentose phosphate pathway
map04152	1	1	84	53	0.6309523809523809	AMPK signaling pathway
map04925	1	1	65	41	0.6307692307692307	Aldosterone synthesis and secretion
