PathwayID	Naive	MinPath	TotalGene	GeneFound	Coverage	Description
map00072	1	1	8	8	1.0	Synthesis and degradation of ketone bodies
map02060	1	1	71	69	0.971830985915493	Phosphotransferase system (PTS)
map02030	1	1	26	22	0.8461538461538461	Bacterial chemotaxis
map00290	1	1	19	16	0.8421052631578947	Valine, leucine and isoleucine biosynthesis
map03430	1	1	44	37	0.8409090909090909	Mismatch repair
map04112	1	1	31	26	0.8387096774193549	Cell cycle - Caulobacter
map00473	1	1	6	5	0.8333333333333334	D-Alanine metabolism
map02040	1	1	55	45	0.8181818181818182	Flagellar assembly
map03010	1	1	143	117	0.8181818181818182	Ribosome
map00250	1	1	70	56	0.8	Alanine, aspartate and glutamate metabolism
map00550	1	1	51	40	0.7843137254901961	Peptidoglycan biosynthesis
map00983	1	1	32	25	0.78125	Drug metabolism - other enzymes
map00710	1	1	36	27	0.75	Carbon fixation in photosynthetic organisms
map03060	1	1	39	29	0.7435897435897436	Protein export
map04139	1	1	34	25	0.7352941176470589	Mitophagy - yeast
map00240	1	1	102	75	0.7352941176470589	Pyrimidine metabolism
map04122	1	1	29	21	0.7241379310344828	Sulfur relay system
map03420	1	1	47	34	0.723404255319149	Nucleotide excision repair
map03050	1	1	49	35	0.7142857142857143	Proteasome
map00770	1	1	44	31	0.7045454545454546	Pantothenate and CoA biosynthesis
map00450	1	1	33	23	0.696969696969697	Selenocompound metabolism
map03022	1	1	36	25	0.6944444444444444	Basal transcription factors
map00020	1	1	62	43	0.6935483870967742	Citrate cycle (TCA cycle)
map00051	1	1	111	76	0.6846846846846847	Fructose and mannose metabolism
map00220	1	1	59	40	0.6779661016949152	Arginine biosynthesis
map00540	1	1	62	42	0.6774193548387096	Lipopolysaccharide biosynthesis
map00670	1	1	37	25	0.6756756756756757	One carbon pool by folate
map03030	1	1	60	40	0.6666666666666666	DNA replication
map00400	1	1	71	47	0.6619718309859155	Phenylalanine, tyrosine and tryptophan biosynthesis
map00300	1	1	47	31	0.6595744680851063	Lysine biosynthesis
map03008	1	1	82	54	0.6585365853658537	Ribosome biogenesis in eukaryotes
map04136	1	1	23	15	0.6521739130434783	Autophagy - other
map00780	1	1	23	15	0.6521739130434783	Biotin metabolism
map01503	1	1	54	35	0.6481481481481481	Cationic antimicrobial peptide (CAMP) resistance
map00500	1	1	105	68	0.6476190476190476	Starch and sucrose metabolism
map03018	1	1	79	51	0.6455696202531646	RNA degradation
map00030	1	1	84	53	0.6309523809523809	Pentose phosphate pathway
map00900	1	1	59	37	0.6271186440677966	Terpenoid backbone biosynthesis
map00620	1	1	126	79	0.626984126984127	Pyruvate metabolism
map03440	1	1	72	45	0.625	Homologous recombination
map00430	1	1	24	15	0.625	Taurine and hypotaurine metabolism
map04138	1	1	82	51	0.6219512195121951	Autophagy - yeast
map00010	1	1	105	65	0.6190476190476191	Glycolysis / Gluconeogenesis
map00061	1	1	39	24	0.6153846153846154	Fatty acid biosynthesis
map00410	1	1	44	27	0.6136363636363636	beta-Alanine metabolism
map00730	1	1	36	22	0.6111111111111112	Thiamine metabolism
map00230	1	1	213	130	0.6103286384976526	Purine metabolism
map00270	1	1	117	71	0.6068376068376068	Cysteine and methionine metabolism
map00260	1	1	99	60	0.6060606060606061	Glycine, serine and threonine metabolism
map04111	1	1	126	76	0.6031746031746031	Cell cycle - yeast
map00521	1	1	20	12	0.6	Streptomycin biosynthesis
map00471	1	1	10	6	0.6	D-Glutamine and D-glutamate metabolism
map00052	1	1	77	46	0.5974025974025974	Galactose metabolism
map04011	1	1	91	54	0.5934065934065934	MAPK signaling pathway - yeast
map02010	1	1	512	301	0.587890625	ABC transporters
map00520	1	1	147	86	0.5850340136054422	Amino sugar and nucleotide sugar metabolism
map00640	1	1	110	64	0.5818181818181818	Propanoate metabolism
map03410	1	1	43	25	0.5813953488372093	Base excision repair
map03070	1	1	74	43	0.581081081081081	Bacterial secretion system
map00630	1	1	100	58	0.58	Glyoxylate and dicarboxylate metabolism
map01523	1	1	26	15	0.5769230769230769	Antifolate resistance
map00340	1	1	47	27	0.574468085106383	Histidine metabolism
map00790	1	1	82	47	0.573170731707317	Folate biosynthesis
map00040	1	1	85	48	0.5647058823529412	Pentose and glucuronate interconversions
map00791	1	1	16	9	0.5625	Atrazine degradation
map04146	1	1	73	41	0.5616438356164384	Peroxisome
map00100	1	1	34	19	0.5588235294117647	Steroid biosynthesis
map04113	1	1	103	57	0.5533980582524272	Meiosis - yeast
map00740	1	1	49	27	0.5510204081632653	Riboflavin metabolism
map05017	1	1	116	63	0.5431034482758621	Spinocerebellar ataxia
map01053	1	1	37	20	0.5405405405405406	Biosynthesis of siderophore group nonribosomal peptides
map03015	1	1	63	34	0.5396825396825397	mRNA surveillance pathway
map00960	1	1	26	14	0.5384615384615384	Tropane, piperidine and pyridine alkaloid biosynthesis
map00480	1	1	56	30	0.5357142857142857	Glutathione metabolism
map00650	1	1	99	53	0.5353535353535354	Butanoate metabolism
map01040	1	1	32	17	0.53125	Biosynthesis of unsaturated fatty acids
map05012	1	1	194	103	0.5309278350515464	Parkinson disease
map03020	1	1	51	27	0.5294117647058824	RNA polymerase
map02026	1	1	61	32	0.5245901639344263	Biofilm formation - Escherichia coli
map04392	1	1	25	13	0.52	Hippo signaling pathway - multiple species
map00563	1	1	27	14	0.5185185185185185	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map05016	1	1	229	118	0.5152838427947598	Huntington disease
map00970	1	1	66	34	0.5151515151515151	Aminoacyl-tRNA biosynthesis
map00564	1	1	113	58	0.5132743362831859	Glycerophospholipid metabolism
map00130	1	1	59	30	0.5084745762711864	Ubiquinone and other terpenoid-quinone biosynthesis
map05020	1	1	209	106	0.507177033492823	Prion disease
map01502	1	1	22	11	0.5	Vancomycin resistance
map00062	1	1	24	12	0.5	Fatty acid elongation
map00750	1	1	24	12	0.5	Vitamin B6 metabolism
map02020	1	1	495	244	0.49292929292929294	Two-component system
map00053	1	1	61	30	0.4918032786885246	Ascorbate and aldarate metabolism
map04922	1	1	57	28	0.49122807017543857	Glucagon signaling pathway
map00330	1	1	112	55	0.49107142857142855	Arginine and proline metabolism
map00190	1	1	218	107	0.4908256880733945	Oxidative phosphorylation
map05230	1	0	49	24	0.4897959183673469	Central carbon metabolism in cancer
map00860	1	1	131	64	0.48854961832061067	Porphyrin and chlorophyll metabolism
map04962	1	1	33	16	0.48484848484848486	Vasopressin-regulated water reabsorption
map03450	1	1	19	9	0.47368421052631576	Non-homologous end-joining
map00280	1	1	70	33	0.4714285714285714	Valine, leucine and isoleucine degradation
map00350	1	1	81	37	0.4567901234567901	Tyrosine metabolism
map05415	1	1	160	73	0.45625	Diabetic cardiomyopathy
map04114	1	1	79	36	0.45569620253164556	Oocyte meiosis
map00561	1	1	90	41	0.45555555555555555	Glycerolipid metabolism
map00511	1	1	22	10	0.45454545454545453	Other glycan degradation
map05014	1	1	280	127	0.45357142857142857	Amyotrophic lateral sclerosis
map03013	1	1	142	64	0.4507042253521127	RNA transport
map00660	1	1	29	13	0.4482758620689655	C5-Branched dibasic acid metabolism
map04213	1	1	58	26	0.4482758620689655	Longevity regulating pathway - multiple species
map00910	1	1	65	29	0.4461538461538462	Nitrogen metabolism
map04714	1	1	188	83	0.44148936170212766	Thermogenesis
map00310	1	1	89	39	0.43820224719101125	Lysine degradation
map00760	1	1	97	42	0.4329896907216495	Nicotinate and nicotinamide metabolism
map00071	1	1	58	25	0.43103448275862066	Fatty acid degradation
map00261	1	0	28	12	0.42857142857142855	Monobactam biosynthesis
map00965	1	1	7	3	0.42857142857142855	Betalain biosynthesis
map00966	1	1	21	9	0.42857142857142855	Glucosinolate biosynthesis
map04964	1	1	14	6	0.42857142857142855	Proximal tubule bicarbonate reclamation
map04960	1	0	26	11	0.4230769230769231	Aldosterone-regulated sodium reabsorption
map00510	1	1	45	19	0.4222222222222222	N-Glycan biosynthesis
map04070	1	1	55	23	0.41818181818181815	Phosphatidylinositol signaling system
map00903	1	0	12	5	0.4166666666666667	Limonene and pinene degradation
map04966	1	0	17	7	0.4117647058823529	Collecting duct acid secretion
map03040	1	1	123	50	0.4065040650406504	Spliceosome
map04141	1	1	144	58	0.4027777777777778	Protein processing in endoplasmic reticulum
map00643	1	1	25	10	0.4	Styrene degradation
map02025	1	1	90	36	0.4	Biofilm formation - Pseudomonas aeruginosa
map04721	1	1	55	22	0.4	Synaptic vesicle cycle
map04120	1	1	131	52	0.3969465648854962	Ubiquitin mediated proteolysis
map05022	1	1	368	145	0.39402173913043476	Pathways of neurodegeneration - multiple diseases
map04961	1	0	33	13	0.3939393939393939	Endocrine and other factor-regulated calcium reabsorption
map04152	1	1	84	33	0.39285714285714285	AMPK signaling pathway
map01524	1	1	46	18	0.391304347826087	Platinum drug resistance
map04110	1	0	110	43	0.39090909090909093	Cell cycle
map04914	1	1	64	25	0.390625	Progesterone-mediated oocyte maturation
map05010	1	1	287	112	0.3902439024390244	Alzheimer disease
map00360	1	1	77	30	0.38961038961038963	Phenylalanine metabolism
map04260	1	1	67	26	0.3880597014925373	Cardiac muscle contraction
map00720	1	1	106	41	0.3867924528301887	Carbon fixation pathways in prokaryotes
map00920	1	1	109	42	0.3853211009174312	Sulfur metabolism
map00513	1	1	52	20	0.38461538461538464	Various types of N-glycan biosynthesis
map00785	1	1	13	5	0.38461538461538464	Lipoic acid metabolism
map00600	1	1	47	18	0.3829787234042553	Sphingolipid metabolism
map04144	1	1	169	64	0.378698224852071	Endocytosis
map04071	1	0	82	31	0.3780487804878049	Sphingolipid signaling pathway
map00281	1	0	16	6	0.375	Geraniol degradation
map04720	1	0	43	16	0.37209302325581395	Long-term potentiation
map04925	1	0	65	24	0.36923076923076925	Aldosterone synthesis and secretion
map00562	1	1	76	28	0.3684210526315789	Inositol phosphate metabolism
map04212	1	1	57	21	0.3684210526315789	Longevity regulating pathway - worm
map05110	1	1	49	18	0.3673469387755102	Vibrio cholerae infection
map05171	1	0	205	75	0.36585365853658536	Coronavirus disease - COVID-19
map04973	1	1	22	8	0.36363636363636365	Carbohydrate digestion and absorption
map00930	1	1	22	8	0.36363636363636365	Caprolactam degradation
map00380	1	1	80	29	0.3625	Tryptophan metabolism
map04932	1	0	125	44	0.352	Non-alcoholic fatty liver disease
map04137	1	1	60	21	0.35	Mitophagy - animal
map01501	1	1	112	39	0.3482142857142857	beta-Lactam resistance
map04921	1	0	112	39	0.3482142857142857	Oxytocin signaling pathway
map04727	1	0	69	24	0.34782608695652173	GABAergic synapse
map05231	1	1	61	21	0.3442622950819672	Choline metabolism in cancer
map04971	1	0	50	17	0.34	Gastric acid secretion
map04391	1	1	53	18	0.33962264150943394	Hippo signaling pathway - fly
map05211	1	0	56	19	0.3392857142857143	Renal cell carcinoma
map04261	1	1	95	32	0.3368421052631579	Adrenergic signaling in cardiomyocytes
map04745	1	0	18	6	0.3333333333333333	Phototransduction - fly
map04710	1	1	24	8	0.3333333333333333	Circadian rhythm
map00572	1	1	12	4	0.3333333333333333	Arabinogalactan biosynthesis - Mycobacterium
map04972	1	0	69	23	0.3333333333333333	Pancreatic secretion
map04912	1	0	64	21	0.328125	GnRH signaling pathway
map04666	1	0	64	21	0.328125	Fc gamma R-mediated phagocytosis
map04723	1	1	119	39	0.3277310924369748	Retrograde endocannabinoid signaling
map05031	1	0	46	15	0.32608695652173914	Amphetamine addiction
map04211	1	0	68	22	0.3235294117647059	Longevity regulating pathway
map02024	1	1	282	91	0.32269503546099293	Quorum sensing
map04910	1	1	88	28	0.3181818181818182	Insulin signaling pathway
map04066	1	0	76	24	0.3157894736842105	HIF-1 signaling pathway
map04730	1	0	45	14	0.3111111111111111	Long-term depression
map04931	1	0	74	23	0.3108108108108108	Insulin resistance
map04341	1	1	26	8	0.3076923076923077	Hedgehog signaling pathway - fly
map04370	1	0	39	12	0.3076923076923077	VEGF signaling pathway
map04150	1	1	117	36	0.3076923076923077	mTOR signaling pathway
map04145	1	0	95	29	0.30526315789473685	Phagosome
map04713	1	0	79	24	0.3037974683544304	Circadian entrainment
map04214	1	1	56	17	0.30357142857142855	Apoptosis - fly
map05100	1	1	76	23	0.3026315789473684	Bacterial invasion of epithelial cells
map00541	1	1	96	29	0.3020833333333333	O-Antigen nucleotide sugar biosynthesis
map04918	1	1	53	16	0.3018867924528302	Thyroid hormone synthesis
map04520	1	1	63	19	0.30158730158730157	Adherens junction
map00401	1	0	30	9	0.3	Novobiocin biosynthesis
