txid	TxPath	TxGroup	KEGG_KO	ReadCount
-2	[no rank] unknown;[no rank] unknown;	Others	K00004	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00009	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00013	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00036	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00040	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00048	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00053	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00088	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00098	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00123	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00124	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00134	14
-2	[no rank] unknown;[no rank] unknown;	Others	K00147	14
-2	[no rank] unknown;[no rank] unknown;	Others	K00163	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00215	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00219	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00244	14
-2	[no rank] unknown;[no rank] unknown;	Others	K00246	1
-2	[no rank] unknown;[no rank] unknown;	Others	K00265	6
-2	[no rank] unknown;[no rank] unknown;	Others	K00274	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00284	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00324	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00333	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00355	1
-2	[no rank] unknown;[no rank] unknown;	Others	K00362	8
-2	[no rank] unknown;[no rank] unknown;	Others	K00364	1
-2	[no rank] unknown;[no rank] unknown;	Others	K00425	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00459	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00525	6
-2	[no rank] unknown;[no rank] unknown;	Others	K00537	12
-2	[no rank] unknown;[no rank] unknown;	Others	K00549	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00557	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00571	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00590	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00600	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00615	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00625	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00648	3
-2	[no rank] unknown;[no rank] unknown;	Others	K00655	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00656	6
-2	[no rank] unknown;[no rank] unknown;	Others	K00661	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00674	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00688	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00728	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00756	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00759	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00761	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00763	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00764	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00767	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00784	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00789	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00790	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00799	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00805	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00813	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00832	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00833	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00854	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00858	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00868	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00873	6
-2	[no rank] unknown;[no rank] unknown;	Others	K00901	1
-2	[no rank] unknown;[no rank] unknown;	Others	K00919	1
-2	[no rank] unknown;[no rank] unknown;	Others	K00925	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00927	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00930	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00937	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00939	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00942	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00945	2
-2	[no rank] unknown;[no rank] unknown;	Others	K00948	10
-2	[no rank] unknown;[no rank] unknown;	Others	K00950	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00963	12
-2	[no rank] unknown;[no rank] unknown;	Others	K00973	4
-2	[no rank] unknown;[no rank] unknown;	Others	K00995	10
-2	[no rank] unknown;[no rank] unknown;	Others	K01000	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01006	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01007	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01056	5
-2	[no rank] unknown;[no rank] unknown;	Others	K01095	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01104	28
-2	[no rank] unknown;[no rank] unknown;	Others	K01126	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01151	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01153	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01155	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01179	5
-2	[no rank] unknown;[no rank] unknown;	Others	K01193	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01206	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01207	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01209	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01223	9
-2	[no rank] unknown;[no rank] unknown;	Others	K01246	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01250	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01262	8
-2	[no rank] unknown;[no rank] unknown;	Others	K01265	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01278	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01284	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01338	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01358	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01361	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01372	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01439	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01447	3
-2	[no rank] unknown;[no rank] unknown;	Others	K01462	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01476	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01494	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01495	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01515	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01520	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01523	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01535	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01537	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01591	8
-2	[no rank] unknown;[no rank] unknown;	Others	K01595	8
-2	[no rank] unknown;[no rank] unknown;	Others	K01599	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01607	8
-2	[no rank] unknown;[no rank] unknown;	Others	K01624	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01626	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01629	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01649	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01657	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01662	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01681	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01682	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01689	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01696	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01703	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01704	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01706	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01710	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01738	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01752	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01779	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01784	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01791	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01802	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01803	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01808	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01810	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01819	3
-2	[no rank] unknown;[no rank] unknown;	Others	K01821	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01845	3
-2	[no rank] unknown;[no rank] unknown;	Others	K01868	12
-2	[no rank] unknown;[no rank] unknown;	Others	K01869	3
-2	[no rank] unknown;[no rank] unknown;	Others	K01870	12
-2	[no rank] unknown;[no rank] unknown;	Others	K01872	8
-2	[no rank] unknown;[no rank] unknown;	Others	K01873	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01874	8
-2	[no rank] unknown;[no rank] unknown;	Others	K01875	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01876	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01878	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01880	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01881	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01885	10
-2	[no rank] unknown;[no rank] unknown;	Others	K01887	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01889	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01914	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01915	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01916	1
-2	[no rank] unknown;[no rank] unknown;	Others	K01924	7
-2	[no rank] unknown;[no rank] unknown;	Others	K01925	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01928	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01937	6
-2	[no rank] unknown;[no rank] unknown;	Others	K01940	12
-2	[no rank] unknown;[no rank] unknown;	Others	K01951	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01952	5
-2	[no rank] unknown;[no rank] unknown;	Others	K01953	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01955	12
-2	[no rank] unknown;[no rank] unknown;	Others	K01956	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01961	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01962	2
-2	[no rank] unknown;[no rank] unknown;	Others	K01990	4
-2	[no rank] unknown;[no rank] unknown;	Others	K01992	11
-2	[no rank] unknown;[no rank] unknown;	Others	K02003	9
-2	[no rank] unknown;[no rank] unknown;	Others	K02004	27
-2	[no rank] unknown;[no rank] unknown;	Others	K02010	1
-2	[no rank] unknown;[no rank] unknown;	Others	K02012	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02013	2
-2	[no rank] unknown;[no rank] unknown;	Others	K02016	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02025	6
-2	[no rank] unknown;[no rank] unknown;	Others	K02026	9
-2	[no rank] unknown;[no rank] unknown;	Others	K02027	8
-2	[no rank] unknown;[no rank] unknown;	Others	K02028	16
-2	[no rank] unknown;[no rank] unknown;	Others	K02029	16
-2	[no rank] unknown;[no rank] unknown;	Others	K02030	4
-2	[no rank] unknown;[no rank] unknown;	Others	K02031	10
-2	[no rank] unknown;[no rank] unknown;	Others	K02032	15
-2	[no rank] unknown;[no rank] unknown;	Others	K02035	12
