"Sample","q","Asymptote","OptDepth_0.5","OptDiversity_0.5","OptCov_0.5","OptDepth_0.1","OptDiversity_0.1","OptCov_0.1","OptDepth_0.05","OptDiversity_0.05","OptCov_0.05","OptDepth_0.01","OptDiversity_0.01","OptCov_0.01"
"Flower_eDNA","0","3034.875697"," 922.36","2870.430352","0.9458148","1428.16","2996.003505","0.9871915","1648.07","3011.858240","0.9924157","2173.39","3024.819959","0.9966866"
"Bee_Bimpatiens_hv3_1","0","  90.787889","  30.80","  83.689422","0.9218126","  52.03","  88.850311","0.9786582","  62.56","  89.605035","0.9869712","  92.35","  90.317452","0.9948183"
"Bee_Bimpatiens_hv4_1","0","  62.923884","  24.83","  57.215919","0.9092878","  42.76","  61.605915","0.9790546","  51.24","  62.215177","0.9887371","  73.55","  62.756761","0.9973440"
"Bee_Bimpatiens_hv4_2","0","  85.693300","  21.75","  82.301404","0.9604182","  32.67","  85.010460","0.9920316","  37.39","  85.350563","0.9960004","  48.40","  85.623747","0.9991884"
"Bee_Amellifera_hv13_1","0","4262.209968","1373.18","4022.365860","0.9437278","2142.41","4213.530860","0.9885789","2473.90","4237.441568","0.9941888","3244.93","4256.595608","0.9986828"
"Bee_Amellifera_hv13_2","0"," 184.942444","  59.87"," 165.096008","0.8926886"," 120.88"," 179.940269","0.9729528"," 149.83"," 182.021823","0.9842079"," 226.97"," 183.877959","0.9942442"
"Bee_Amellifera_hv15_1","0","  88.837774","  23.54","  84.850040","0.9551122","  36.27","  87.994467","0.9905073","  41.95","  88.403379","0.9951103","  55.75","  88.743160","0.9989350"
"Bee_Amellifera_wild_1","0"," 176.837781","  30.53"," 172.459754","0.9752427","  44.39"," 175.884321","0.9946083","  50.57"," 176.329059","0.9971232","  65.86"," 176.703554","0.9992410"
"Flower_eDNA","1","   6.460332","   0.74","   5.592178","0.8656177","   2.89","   6.072006","0.9398907","   4.50","   6.185679","0.9574863","  11.30","   6.337520","0.9809898"
"Bee_Bimpatiens_hv3_1","1","  21.591329","   3.63","  10.498066","0.4862168","   9.47","  11.764905","0.5448903","  15.37","  12.175391","0.5639019","  58.09","  13.041327","0.6040076"
"Bee_Bimpatiens_hv4_1","1","  11.850189","   3.80","   9.448432","0.7973234","  10.15","  10.871413","0.9174042","  14.68","  11.192439","0.9444946","  31.22","  11.572779","0.9765903"
"Bee_Bimpatiens_hv4_2","1","  12.664882","   4.17","  10.241790","0.8086763","  10.47","  11.668478","0.9213254","  14.85","  11.978912","0.9458369","  31.68","  12.361146","0.9760175"
"Bee_Amellifera_hv13_1","1","   7.060940","   0.06","   6.563599","0.9295644","   0.63","   6.661539","0.9434350","   1.30","   6.708941","0.9501483","   3.41","   6.758284","0.9571365"
"Bee_Amellifera_hv13_2","1","  16.011387","   5.55","  15.027404","0.9385448","   8.70","  15.805877","0.9871648","  10.08","  15.905211","0.9933687","  13.34","  15.985780","0.9984007"
"Bee_Amellifera_hv15_1","1","  12.284182","   3.18","  10.686365","0.8699289","   5.83","  11.330760","0.9223862","   7.21","  11.429028","0.9303857","  15.21","  11.583262","0.9429412"
"Bee_Amellifera_wild_1","1","  14.770762","   0.69","  13.496369","0.9137219","   3.30","  14.028986","0.9497807","   6.20","  14.231198","0.9634708","  21.93","  14.575085","0.9867524"
"Flower_eDNA","2","   4.403753","   0.55","   3.496510","0.7939840","   2.47","   3.924109","0.8910829","   3.93","   4.027194","0.9144913","  10.24","   4.167404","0.9463302"
"Bee_Bimpatiens_hv3_1","2","   8.730062","   2.20","   6.155200","0.7050581","   6.28","   7.060928","0.8088062","   9.45","   7.284508","0.8344165","  23.89","   7.602023","0.8707869"
"Bee_Bimpatiens_hv4_1","2","   8.327909","   3.12","   6.279255","0.7540014","   8.52","   7.496507","0.9001668","  12.30","   7.764304","0.9323234","  26.68","   8.092744","0.9717619"
"Bee_Bimpatiens_hv4_2","2","   7.121633","   2.90","   5.336075","0.7492769","   7.47","   6.382011","0.8961443","  10.58","   6.602036","0.9270395","  23.73","   6.895888","0.9683015"
"Bee_Amellifera_hv13_1","2","   4.846938","   0.02","   4.259832","0.8788708","   0.20","   4.288698","0.8848262","   0.94","   4.337894","0.8949763","   4.27","   4.418104","0.9115248"
"Bee_Amellifera_hv13_2","2","  10.995923","   4.47","  10.151637","0.9232182","   7.20","  10.825895","0.9845372","   8.38","  10.910548","0.9922357","  11.14","  10.978757","0.9984388"
"Bee_Amellifera_hv15_1","2","   8.402465","   3.10","   6.353083","0.7560976","   8.17","   7.486165","0.8909487","  11.97","   7.754626","0.9228990","  27.99","   8.112625","0.9655053"
"Bee_Amellifera_wild_1","2","   9.882085","   0.18","   9.488766","0.9601988","   0.90","   9.632034","0.9746965","   1.73","   9.689578","0.9805196","   6.91","   9.798932","0.9915854"
