"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Aconoidasida"	"Others"	0	0	0	0	0	0	3162	0
"Actinomycetia"	"Bacteria"	43600	1173134	482562	1289420	32352	3980837	186103	8737712
"Agaricomycetes"	"Fungi"	0	102	0	0	0	0	0	0
"Alphaproteobacteria"	"Bacteria"	18486	93434	19160	16088	12846	2216515	32168	4223408
"Arachnida"	"Arthropods"	1707	1832	3123	1561	428	0	166174	2
"Bacilli"	"Bacteria"	102390	357206	96727	320308	27614	3832947	1311632	7419422
"Betaproteobacteria"	"Bacteria"	13192	95978	50118	116025	6302	899895	10775	825758
"Branchiopoda"	"Arthropods"	1	0	0	0	0	2	0	0
"Caudoviricetes"	"Viruses"	1024	2264	0	0	388	61378	0	36184
"Chromadorea"	"Others"	0	0	0	80	0	29	141	0
"Clostridia"	"Bacteria"	0	0	0	0	0	15	0	621
"Coriobacteriia"	"Bacteria"	0	0	0	0	0	282	0	29
"Dothideomycetes"	"Fungi"	0	0	0	43	0	0	0	0
"Enoplea"	"Others"	0	151	227	52	0	1037	116	1555
"Erysipelotrichia"	"Bacteria"	0	12	0	0	0	0	0	0
"Eurotiomycetes"	"Fungi"	0	2872	0	0	0	0	0	0
"Flavobacteriia"	"Bacteria"	1232	2050	0	0	0	11110	0	0
"Gammaproteobacteria"	"Bacteria"	38942	519072	320604	403312	15691	1947630	38476	4367605
"Glomeromycetes"	"Fungi"	0	0	0	0	0	4	8	2
"Insecta"	"Arthropods"	361942	1376696	570335	561091	237639	381269	1147324	425750
"Magnoliopsida"	"Plants"	4153	21142	5563	38475	2576	262392	908	20012
"Malasseziomycetes"	"Fungi"	0	0	0	0	0	0	6844	0
"Mammalia"	"Others"	0	0	0	0	0	0	35410	74
"Phaeophyceae"	"Others"	0	0	0	0	0	483	0	341
"Quintoviricetes"	"Viruses"	13722	0	0	5760	4766	13630	1279352	0
"Saccharomycetes"	"Fungi"	0	12064	3350	38147	490	0	0	0
"Sordariomycetes"	"Fungi"	0	0	0	8	0	1	0	3
"Spirotrichea"	"Others"	17	8	0	0	0	33	380	12
"Ustilaginomycetes"	"Fungi"	0	0	0	4	0	0	0	0
