"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Acetobacteraceae"	"Bacteria"	4986	11514	2036	0	1800	321158	12204	209198
"Acidothermaceae"	"Bacteria"	0	0	0	0	0	0	0	9
"Actinomycetaceae"	"Bacteria"	0	0	0	0	0	0	5786	0
"Aeromonadaceae"	"Bacteria"	0	0	0	0	0	0	0	7423
"Alcaligenaceae"	"Bacteria"	0	0	3904	7640	0	0	0	0
"Angiostrongylidae"	"Others"	0	0	0	0	0	29	0	0
"Apidae"	"Arthropods"	360042	1364181	561769	552615	236913	373452	945156	425312
"Araneidae"	"Arthropods"	1384	0	676	266	418	0	163587	1
"Aspergillaceae"	"Fungi"	0	2542	0	0	0	0	0	0
"Asteraceae"	"Plants"	752	10576	3192	21653	756	406	0	0
"Atopobiaceae"	"Bacteria"	0	0	0	0	0	282	0	0
"Baetidae"	"Arthropods"	0	0	0	0	0	0	6	0
"Bartonellaceae"	"Bacteria"	9978	68124	11460	7700	8326	1722249	5150	3234509
"Bifidobacteriaceae"	"Bacteria"	41674	1130591	453411	1208154	30450	3928023	113999	8631347
"Brassicaceae"	"Plants"	0	0	0	0	0	208	0	17998
"Brucellaceae"	"Bacteria"	0	0	0	0	0	59	0	684
"Burkholderiaceae"	"Bacteria"	0	0	0	0	0	58	0	20
"Calliphoridae"	"Arthropods"	0	0	0	0	0	46	182	0
"Carnobacteriaceae"	"Bacteria"	4	0	0	0	0	0	0	0
"Caulobacteraceae"	"Bacteria"	0	0	0	0	0	0	0	47
"Cellulomonadaceae"	"Bacteria"	0	0	0	0	0	0	72	0
"Chrysomelidae"	"Arthropods"	0	0	377	515	0	0	0	0
"Convolvulaceae"	"Plants"	0	0	0	0	0	69	0	0
"Cordycipitaceae"	"Fungi"	0	0	0	7	0	1	0	2
"Corynebacteriaceae"	"Bacteria"	0	9	13	0	0	0	11278	34
"Daphniidae"	"Arthropods"	1	0	0	0	0	2	0	0
"Dipodascaceae"	"Fungi"	0	0	0	234	0	0	0	0
"Drosophilidae"	"Arthropods"	0	0	0	0	0	0	22596	0
"Ectocarpaceae"	"Others"	0	0	0	0	0	483	0	341
"Eggerthellaceae"	"Bacteria"	0	0	0	0	0	0	0	29
"Elateridae"	"Arthropods"	0	0	0	0	0	0	9	0
"Enterobacteriaceae"	"Bacteria"	48	291	325	396	250	1095	100	1610
"Enterococcaceae"	"Bacteria"	0	2	0	0	0	49	170	45
"Enterocytozoonidae"	"Fungi"	0	0	0	0	0	4	0	0
"Ephemeridae"	"Arthropods"	0	202	0	0	0	76	0	53
"Erwiniaceae"	"Bacteria"	0	3086	5042	10192	160	47	0	0
"Erysipelotrichaceae"	"Bacteria"	0	12	0	0	0	0	0	0
"Fabaceae"	"Plants"	1775	3786	0	794	622	156180	734	1979
"Flavobacteriaceae"	"Bacteria"	224	1996	0	0	0	1810	0	0
"Formicidae"	"Arthropods"	14	840	1312	736	5	189	657	47
"Glomeraceae"	"Fungi"	0	0	0	0	0	4	8	2
"Grifolaceae"	"Fungi"	0	102	0	0	0	0	0	0
"Halictidae"	"Arthropods"	161	455	101	167	42	83	0	0
"Halomonadaceae"	"Bacteria"	0	0	0	0	0	0	0	13
"Hominidae"	"Others"	0	0	0	0	0	0	10196	0
"Hypocreaceae"	"Fungi"	0	0	0	0	0	0	0	1
"Lachnospiraceae"	"Bacteria"	0	0	0	0	0	0	0	14
"Lactobacillaceae"	"Bacteria"	97564	330345	90688	311061	25444	3798978	1094987	7363777
"Lampyridae"	"Arthropods"	0	0	0	0	0	332	0	49
"Lipotidae"	"Others"	0	0	0	0	0	0	0	74
"Listeriaceae"	"Bacteria"	0	0	0	0	0	4	8794	0
"Malasseziaceae"	"Fungi"	0	0	0	0	0	0	6844	0
"Malvaceae"	"Plants"	0	0	0	0	26	0	0	0
"Megachilidae"	"Arthropods"	0	171	94	0	28	536	2902	267
"Methylobacteriaceae"	"Bacteria"	0	0	0	0	0	0	0	35
"Methylococcaceae"	"Bacteria"	0	0	0	0	0	0	0	8
