"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Abrus"	"Plants"	0	0	0	0	0	9847	0	0
"Abscondita"	"Arthropods"	0	0	0	0	0	332	0	49
"Absicoccus"	"Bacteria"	0	12	0	0	0	0	0	0
"Acetilactobacillus"	"Bacteria"	0	0	0	0	0	0	1	0
"Achromobacter"	"Bacteria"	0	0	2958	6152	0	0	0	0
"Acidothermus"	"Bacteria"	0	0	0	0	0	0	0	9
"Acinetobacter"	"Bacteria"	54	15354	14645	13576	263	18163	8715	279
"Actinomyces"	"Bacteria"	0	0	0	0	0	0	5250	0
"Actinoplanes"	"Bacteria"	0	0	0	0	0	0	0	189
"Actinotalea"	"Bacteria"	0	0	0	0	0	0	72	0
"Aeromonas"	"Bacteria"	0	0	0	0	0	0	0	7423
"Agrilactobacillus"	"Bacteria"	0	7	0	5	0	0	0	0
"Agrobacterium"	"Bacteria"	0	0	0	0	0	0	0	146
"Ambidensovirus"	"Viruses"	2624	0	0	0	884	0	116698	0
"Anaerosacchariphilus"	"Bacteria"	0	0	0	0	0	0	0	2
"Ancylobacter"	"Bacteria"	0	0	0	0	0	0	0	17
"Angiostrongylus"	"Others"	0	0	0	0	0	29	0	0
"Aphanomyces"	"Others"	0	0	0	0	0	0	2	0
"Apibacter"	"Bacteria"	984	0	0	0	0	8774	0	0
"Apilactobacillus"	"Bacteria"	0	0	0	0	0	0	15819	0
"Apis"	"Arthropods"	344606	776611	145108	95973	0	66646	0	82703
"Arachis"	"Plants"	0	0	0	0	0	2031	0	0
"Araneus"	"Arthropods"	1384	0	676	266	418	0	163587	1
"Asaia"	"Bacteria"	0	0	0	0	0	12	0	0
"Atta"	"Arthropods"	0	100	0	64	0	0	0	7
"Bactrocera"	"Arthropods"	0	0	0	0	0	28	7877	0
"Bartonella"	"Bacteria"	9978	68124	11460	7700	8326	1722249	5150	3234509
"Beauveria"	"Fungi"	0	0	0	7	0	1	0	2
"Bifidobacterium"	"Bacteria"	36768	925097	315126	912960	24948	3827471	50138	8398763
"Bombilactobacillus"	"Bacteria"	36046	98502	21334	188003	6912	1503167	0	2335384
"Bombiscardovia"	"Bacteria"	0	27348	19306	28614	332	209	11855	222
"Bombus"	"Arthropods"	12541	582677	412261	452614	236727	298570	940416	342154
"Brassica"	"Plants"	0	0	0	0	0	0	0	16634
"Brochothrix"	"Bacteria"	0	0	0	0	0	0	8518	0
"Brucella"	"Bacteria"	0	0	0	0	0	59	0	295
"Brugia"	"Others"	0	0	0	80	0	0	141	0
"Burkholderia"	"Bacteria"	0	0	0	0	0	0	0	8
"Cajanus"	"Plants"	0	0	0	0	0	5135	0	0
"Callosobruchus"	"Arthropods"	0	0	377	515	0	0	0	0
"Candidatus Schmidhempelia"	"Bacteria"	0	183168	111178	112732	1296	0	4430	0
"Capsicum"	"Plants"	0	0	0	308	0	0	0	0
"Ceratina"	"Arthropods"	0	0	0	114	0	0	20	0
"Cercospora"	"Fungi"	0	0	0	1	0	0	0	0
"Cicer"	"Plants"	0	0	0	0	0	4495	0	0
"Clavispora"	"Fungi"	0	3698	0	3382	0	0	0	0
"Cloeon"	"Arthropods"	0	0	0	0	0	0	6	0
"Commensalibacter"	"Bacteria"	4480	10410	1652	0	1620	300833	0	179344
"Companilactobacillus"	"Bacteria"	0	16	0	0	0	0	0	38
"Corchorus"	"Plants"	0	0	0	0	26	0	0	0
"Corynebacterium"	"Bacteria"	0	9	13	0	0	0	11278	34
"Cronobacter"	"Bacteria"	0	0	93	0	0	20	0	31
"Cupriavidus"	"Bacteria"	0	0	0	0	0	58	0	0
"Cutibacterium"	"Bacteria"	0	0	0	0	0	0	6200	553
"Cyphomyrmex"	"Arthropods"	14	0	0	0	0	19	5	0
"Daphnia"	"Arthropods"	1	0	0	0	0	2	0	0
"Digitaria"	"Plants"	0	76	35	0	0	50	0	26
"Drosophila"	"Arthropods"	0	0	0	0	0	0	21382	0
"Dufourea"	"Arthropods"	0	74	101	0	4	26	0	0
"Ectocarpus"	"Others"	0	0	0	0	0	483	0	341
"Eggerthella"	"Bacteria"	0	0	0	0	0	0	0	29
"Ensete"	"Plants"	0	0	0	0	0	19	0	9
"Enterobacter"	"Bacteria"	0	0	143	169	0	0	0	0
"Enterococcus"	"Bacteria"	0	2	0	0	0	49	170	45
"Entomomonas"	"Bacteria"	0	0	0	0	0	0	0	124217
"Ephemera"	"Arthropods"	0	202	0	0	0	76	0	53
"Escherichia"	"Bacteria"	48	71	89	106	14	72	100	32
"Eufriesea"	"Arthropods"	507	715	585	509	90	0	245	258
"Eumeta"	"Arthropods"	272	464	0	426	43	131	9488	0
"Eutrema"	"Plants"	0	0	0	0	0	0	0	72
"Frankliniella"	"Arthropods"	0	0	0	0	0	9	0	1
"Frieseomelitta"	"Arthropods"	109	216	181	188	0	133	0	91
"Frischella"	"Bacteria"	1760	15073	1990	3425	368	157561	0	543419
"Fructilactobacillus"	"Bacteria"	0	0	0	0	0	0	110	0
"Fructobacillus"	"Bacteria"	4898	0	0	0	1808	8954	902121	0
"Gilliamella"	"Bacteria"	23266	157279	79709	121209	7540	1582893	5096	2992782
"Gluconacetobacter"	"Bacteria"	0	0	0	0	0	21	0	36
"Glycine"	"Plants"	0	0	0	0	0	10269	0	0
"Grifola"	"Fungi"	0	102	0	0	0	0	0	0
"Habropoda"	"Arthropods"	0	0	0	0	0	142	177	42
"Haemophilus"	"Bacteria"	0	0	0	0	0	0	0	97
"Halomonas"	"Bacteria"	0	0	0	0	0	0	0	13
"Harpegnathos"	"Arthropods"	0	0	0	0	3	36	0	0
"Helianthus"	"Plants"	0	2388	0	5151	0	0	0	0
"Hepatospora"	"Fungi"	0	0	0	0	0	4	0	0
"Homo"	"Others"	0	0	0	0	0	0	5192	0
"Hortaea"	"Fungi"	0	0	0	2	0	0	0	0
"Ignatzschineria"	"Bacteria"	0	0	0	0	0	0	0	252
"Ignelater"	"Arthropods"	0	0	0	0	0	0	9	0
"Ipomoea"	"Plants"	0	0	0	0	0	69	0	0
"Kaistia"	"Bacteria"	0	0	0	0	0	0	0	12
"Klebsiella"	"Bacteria"	0	168	0	0	0	914	0	1511
"Kosakonia"	"Bacteria"	0	0	0	121	0	59	0	24
"Kuraishia"	"Fungi"	0	0	0	2	0	0	0	0
"Lacticaseibacillus"	"Bacteria"	0	0	0	7	0	8	22	0
"Lactiplantibacillus"	"Bacteria"	0	0	0	0	0	3	0	6
"Lactobacillus"	"Bacteria"	55724	228654	68274	121662	16440	2280221	119300	5016166
"Lasius"	"Arthropods"	0	251	490	296	2	61	652	0
"Lentilactobacillus"	"Bacteria"	0	30	0	14	0	0	83	5
"Leuconostoc"	"Bacteria"	290	0	0	0	0	0	48710	0
"Levilactobacillus"	"Bacteria"	0	13	0	0	0	0	0	0
"Limosilactobacillus"	"Bacteria"	0	0	0	0	0	0	25	868
"Lipotes"	"Others"	0	0	0	0	0	0	0	74
"Liquorilactobacillus"	"Bacteria"	0	0	0	0	0	0	44	42
"Listeria"	"Bacteria"	0	0	0	0	0	4	0	0
"Loigolactobacillus"	"Bacteria"	0	26	0	0	0	0	0	0
"Lotus"	"Plants"	0	0	0	0	0	13636	0	0
"Lucilia"	"Arthropods"	0	0	0	0	0	46	182	0
"Lupinus"	"Plants"	757	1384	0	794	0	8722	734	1979
"Macrococcus"	"Bacteria"	0	0	0	7	0	0	0	0
"Magnetospirillum"	"Bacteria"	0	0	0	0	0	28	0	0
"Malassezia"	"Fungi"	0	0	0	0	0	0	6844	0
"Medicago"	"Plants"	0	0	0	0	0	3986	0	0
"Mediterraneibacter"	"Bacteria"	0	0	0	0	0	0	0	12
"Megachile"	"Arthropods"	0	171	94	0	28	317	2	267
"Megalopta"	"Arthropods"	161	184	0	0	0	0	0	0
"Melipona"	"Arthropods"	2195	2780	2812	2401	20	93	192	64
"Mesorhizobium"	"Bacteria"	0	0	0	0	0	0	0	125
"Methylobacterium"	"Bacteria"	0	0	0	0	0	0	0	35
"Methylomicrobium"	"Bacteria"	0	0	0	0	0	0	0	8
"Mikania"	"Plants"	0	0	0	3982	184	406	0	0
"Moesziomyces"	"Fungi"	0	0	0	4	0	0	0	0
"Monomorium"	"Arthropods"	0	0	0	0	0	4	0	0
"Morganella"	"Bacteria"	0	0	0	0	0	0	0	6593
"Mucuna"	"Plants"	0	0	0	0	0	4639	0	0
"Musca"	"Arthropods"	0	0	0	0	0	0	58	0
"Mycobacterium"	"Bacteria"	0	0	0	0	0	144	0	0
"Nasonia"	"Arthropods"	0	0	0	0	0	10	0	21
"Naumannella"	"Bacteria"	0	4	0	0	0	0	0	0
"Neisseria"	"Bacteria"	0	0	0	0	0	0	0	69
"Nicotiana"	"Plants"	0	0	0	0	0	0	174	0
"Nitrospirillum"	"Bacteria"	0	0	0	0	0	0	0	29
"Nomia"	"Arthropods"	0	197	0	167	38	57	0	0
"Nosema"	"Fungi"	1660	7589	1444	0	2018	217873	0	306037
"Nylanderia"	"Arthropods"	0	0	0	0	0	23	0	15
"Oblitimonas"	"Bacteria"	0	0	0	0	0	0	0	64
"Olsenella"	"Bacteria"	0	0	0	0	0	282	0	0
"Ooceraea"	"Arthropods"	0	163	225	0	0	0	0	0
"Orbus"	"Bacteria"	0	0	958	0	0	0	0	751
"Osmia"	"Arthropods"	0	0	0	0	0	219	2900	0
"Pantoea"	"Bacteria"	0	2752	4324	8986	136	47	0	0
"Parascardovia"	"Bacteria"	0	92	85	154	0	907	0	0
"Patellaria"	"Fungi"	0	0	0	40	0	0	0	0
"Paucimonas"	"Bacteria"	0	0	0	0	0	0	0	12
"Pectobacterium"	"Bacteria"	0	0	0	0	0	0	0	52
