"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Acidothermales"	"Bacteria"	0	0	0	0	0	0	0	9
"Actinomycetales"	"Bacteria"	0	0	0	0	0	0	5790	0
"Aeromonadales"	"Bacteria"	0	0	0	0	0	0	0	7423
"Araneae"	"Arthropods"	1410	0	676	266	422	0	166047	1
"Artiodactyla"	"Others"	0	0	0	0	0	0	0	74
"Asterales"	"Plants"	752	10580	3192	21653	756	406	0	0
"Bacillales"	"Bacteria"	0	0	4	7	0	4	12476	24
"Bifidobacteriales"	"Bacteria"	41838	1140615	459531	1231786	30834	3932947	115705	8641701
"Brassicales"	"Plants"	0	0	0	0	0	208	0	17998
"Burkholderiales"	"Bacteria"	0	0	4486	8732	0	58	5720	46
"Caudovirales"	"Viruses"	1024	2264	0	0	388	61378	0	36184
"Caulobacterales"	"Bacteria"	0	0	0	0	0	0	0	47
"Coleoptera"	"Arthropods"	0	70	589	515	0	332	9	49
"Coriobacteriales"	"Bacteria"	0	0	0	0	0	282	0	0
"Corynebacteriales"	"Bacteria"	0	9	13	0	0	144	16100	34
"Diplostraca"	"Arthropods"	1	0	0	0	0	2	0	0
"Diptera"	"Arthropods"	698	0	0	0	232	221	101078	0
"Ectocarpales"	"Others"	0	0	0	0	0	483	0	341
"Eggerthellales"	"Bacteria"	0	0	0	0	0	0	0	29
"Enterobacterales"	"Bacteria"	590	9816	14230	26684	898	17024	103	31455
"Ephemeroptera"	"Arthropods"	0	202	0	0	0	76	6	53
"Erysipelotrichales"	"Bacteria"	0	12	0	0	0	0	0	0
"Eubacteriales"	"Bacteria"	0	0	0	0	0	15	0	621
"Eurotiales"	"Fungi"	0	2684	0	0	0	0	0	0
"Fabales"	"Plants"	1775	3786	0	794	622	156192	734	1979
"Flavobacteriales"	"Bacteria"	1222	2036	0	0	0	10956	0	0
"Glomerales"	"Fungi"	0	0	0	0	0	4	8	2
"Haemosporida"	"Others"	0	0	0	0	0	0	3162	0
"Hymenoptera"	"Arthropods"	360424	1373646	568372	558604	237152	377506	955215	425647
"Hypocreales"	"Fungi"	0	0	0	7	0	1	0	3
"Lactobacillales"	"Bacteria"	100892	347550	94599	317031	26858	3821369	1260954	7403382
"Lepidoptera"	"Arthropods"	272	464	0	426	43	131	10108	0
"Malasseziales"	"Fungi"	0	0	0	0	0	0	6844	0
"Malpighiales"	"Plants"	0	0	0	0	0	105	0	0
"Malvales"	"Plants"	0	0	0	0	26	0	0	0
"Mesostigmata"	"Arthropods"	287	1832	2447	1295	0	0	27	1
"Methylococcales"	"Bacteria"	0	0	0	0	0	0	0	8
"Micrococcales"	"Bacteria"	0	0	0	0	0	10	5656	0
"Micromonosporales"	"Bacteria"	0	0	0	0	0	0	0	189
"Mycosphaerellales"	"Fungi"	0	0	0	3	0	0	0	0
"Neisseriales"	"Bacteria"	12534	93158	44254	104233	5934	884279	2279	812138
"Oceanospirillales"	"Bacteria"	0	0	0	0	0	0	0	13
"Orbales"	"Bacteria"	29762	406296	226541	277512	10960	1800510	11868	3634412
"Pasteurellales"	"Bacteria"	0	0	0	0	0	0	0	97
"Patellariales"	"Fungi"	0	0	0	40	0	0	0	0
"Piccovirales"	"Viruses"	13722	0	0	5760	4766	13630	1279352	0
"Poales"	"Plants"	0	76	35	0	0	50	0	26
"Polyporales"	"Fungi"	0	102	0	0	0	0	0	0
"Primates"	"Others"	0	0	0	0	0	0	30396	0
"Propionibacteriales"	"Bacteria"	0	4	0	0	0	0	22674	553
"Pseudomonadales"	"Bacteria"	370	18940	15879	14504	311	22866	13233	264849
"Rhabditida"	"Others"	0	0	0	80	0	0	141	0
"Rhizobiales"	"Bacteria"	12144	76622	15246	13140	10106	1823939	11308	3751062
"Rhodospirillales"	"Bacteria"	5074	11714	2106	0	1820	327208	12584	214057
"Rosales"	"Plants"	0	0	0	0	0	380	0	0
"Saccharomycetales"	"Fungi"	0	12064	3350	38147	490	0	0	0
"Saprolegniales"	"Others"	0	0	0	0	0	0	2	0
"Solanales"	"Plants"	0	0	0	308	0	540	174	0
"Sporadotrichida"	"Others"	17	8	0	0	0	33	380	12
"Streptomycetales"	"Bacteria"	0	0	0	0	0	70	0	0
"Strongylida"	"Others"	0	0	0	0	0	29	0	0
"Thysanoptera"	"Arthropods"	0	0	0	0	0	9	0	1
"Trichinellida"	"Others"	0	151	227	52	0	1037	116	1555
"Ustilaginales"	"Fungi"	0	0	0	4	0	0	0	0
"Vibrionales"	"Bacteria"	0	0	0	0	0	0	0	15
"Xanthomonadales"	"Bacteria"	0	0	2748	9098	0	0	0	0
"Xylariales"	"Fungi"	0	0	0	1	0	0	0	0
"Zingiberales"	"Plants"	0	0	0	0	0	19	0	9
