"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Actinobacteria"	"Bacteria"	43976	1181708	488278	1308126	32768	3993171	190091	8756255
"Apicomplexa"	"Others"	0	0	0	0	0	0	3162	0
"Arthropoda"	"Arthropods"	363822	1379104	573770	563000	238177	382339	1327234	425752
"Ascomycota"	"Fungi"	0	19122	4728	55680	694	1	0	3
"Bacteroidetes"	"Bacteria"	1618	2876	1956	2764	172	15988	0	14072
"Basidiomycota"	"Fungi"	0	102	0	4	0	0	8072	0
"Chordata"	"Others"	288	0	0	0	0	0	38206	74
"Ciliophora"	"Others"	17	8	0	0	0	33	380	12
"Cossaviricota"	"Viruses"	13722	0	0	5760	4766	13630	1279360	0
"Firmicutes"	"Bacteria"	103486	365158	98649	324016	28036	3845046	1337552	7436311
"Microsporidia"	"Fungi"	1662	7589	1452	0	2036	217877	0	306037
"Mucoromycota"	"Fungi"	0	0	0	0	0	4	8	2
"Nematoda"	"Others"	0	151	227	132	0	1066	257	1555
"Oomycota"	"Others"	0	0	0	0	0	0	2	0
"Proteobacteria"	"Bacteria"	77024	750200	419252	582805	37603	5217868	92045	9964749
"Streptophyta"	"Plants"	4181	21234	5625	38771	2600	264092	908	20012
"Uroviricota"	"Viruses"	1024	2264	0	0	388	61378	0	36184
