"Name"	"Group"	"Flower_eDNA"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_impatiens_hv4_2"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"
"Abrus precatorius"	"Plants"	0	0	0	0	0	9847	0	0
"Abscondita terminalis"	"Arthropods"	0	0	0	0	0	332	0	49
"Absicoccus porci"	"Bacteria"	0	12	0	0	0	0	0	0
"Acetilactobacillus jinshanensis"	"Bacteria"	0	0	0	0	0	0	1	0
"Acidothermus cellulolyticus"	"Bacteria"	0	0	0	0	0	0	0	9
"Acinetobacter baumannii"	"Bacteria"	54	14958	14597	13556	219	1199	7582	279
"Acinetobacter bereziniae"	"Bacteria"	0	0	0	0	0	0	107	0
"Actinoplanes friuliensis"	"Bacteria"	0	0	0	0	0	0	0	189
"Actinotalea ferrariae"	"Bacteria"	0	0	0	0	0	0	72	0
"Aeromonas hydrophila"	"Bacteria"	0	0	0	0	0	0	0	7423
"Agrilactobacillus composti"	"Bacteria"	0	7	0	0	0	0	0	0
"Agrilactobacillus yilanensis"	"Bacteria"	0	0	0	5	0	0	0	0
"Agrobacterium fabrum"	"Bacteria"	0	0	0	0	0	0	0	66
"Agrobacterium tumefaciens"	"Bacteria"	0	0	0	0	0	0	0	80
"Ambidensovirus sp."	"Viruses"	2624	0	0	0	884	0	116698	0
"Anaerosacchriphilus polymeriproducens"	"Bacteria"	0	0	0	0	0	0	0	2
"Ancylobacter rudongensis"	"Bacteria"	0	0	0	0	0	0	0	17
"Angiostrongylus costaricensis"	"Others"	0	0	0	0	0	29	0	0
"Aphanomyces astaci"	"Others"	0	0	0	0	0	0	2	0
"Apilactobacillus kunkeei"	"Bacteria"	0	0	0	0	0	0	10479	0
"Apilactobacillus micheneri"	"Bacteria"	0	0	0	0	0	0	2276	0
"Apilactobacillus ozensis"	"Bacteria"	0	0	0	0	0	0	738	0
"Apilactobacillus quenuiae"	"Bacteria"	0	0	0	0	0	0	1202	0
"Apilactobacillus timberlakei"	"Bacteria"	0	0	0	0	0	0	1124	0
"Apis cerana"	"Arthropods"	23089	35133	6729	0	0	48283	0	37819
"Apis dorsata"	"Arthropods"	0	0	0	0	0	0	0	33695
"Apis florea"	"Arthropods"	0	12661	2881	2373	0	18363	0	11189
"Apis mellifera"	"Arthropods"	321517	728817	135498	93600	0	0	0	0
"Apis mellifera filamentous virus"	"Viruses"	756	0	0	0	178	73032	0	24222
"Arachis hypogaea"	"Plants"	0	0	0	0	0	2031	0	0
"Araneus ventricosus"	"Arthropods"	1384	0	676	266	418	0	163587	1
"Asaia platycodi"	"Bacteria"	0	0	0	0	0	12	0	0
"Atta cephalotes"	"Arthropods"	0	0	0	0	0	0	0	7
"Atta colombica"	"Arthropods"	0	100	0	64	0	0	0	0
"Bacteriophage sp."	"Viruses"	402	0	0	0	0	23188	0	56506
"Bactrocera latifrons"	"Arthropods"	0	0	0	0	0	0	99	0
"Bactrocera tryoni"	"Arthropods"	0	0	0	0	0	28	1092	0
"Bartonella apis"	"Bacteria"	9050	64150	10352	6914	7644	1681908	4708	2998121
"Bartonella birtlesii"	"Bacteria"	0	0	0	0	0	0	0	329
"Bartonella clarridgeiae"	"Bacteria"	0	0	0	0	0	40	0	0
"Bartonella schoenbuchensis"	"Bacteria"	0	0	0	0	0	18	0	0
"Bartonella tamiae"	"Bacteria"	0	0	0	0	0	189	0	1199
"Beauveria bassiana"	"Fungi"	0	0	0	7	0	1	0	2
"Bifidobacterium actinocoloniiforme"	"Bacteria"	0	686	529	735	0	5070	185	11829
"Bifidobacterium adolescentis"	"Bacteria"	0	345	0	0	0	0	0	1422
"Bifidobacterium aemilianum"	"Bacteria"	0	531	501	999	0	4348	154	10236
"Bifidobacterium aerophilum"	"Bacteria"	0	0	457	0	0	0	0	0
