Name	Group	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
Aconoidasida	Others	0	3162	0	0	0	0	0
Actinomycetia	Bacteria	3980837	186103	8737712	1173134	482562	1289420	43600
Agaricomycetes	Fungi	0	0	0	102	0	0	0
Alphaproteobacteria	Bacteria	2216515	32168	4223408	93434	19160	16088	18486
Arachnida	Arthropods	0	166174	2	1832	3123	1561	1707
Bacilli	Bacteria	3832947	1311632	7419422	357206	96727	320308	102390
Betaproteobacteria	Bacteria	899895	10775	825758	95978	50118	116025	13192
Branchiopoda	Arthropods	2	0	0	0	0	0	1
Caudoviricetes	Viruses	61378	0	36184	2264	0	0	1024
Chromadorea	Others	29	141	0	0	0	80	0
Clostridia	Bacteria	15	0	621	0	0	0	0
Coriobacteriia	Bacteria	282	0	29	0	0	0	0
Dothideomycetes	Fungi	0	0	0	0	0	43	0
Enoplea	Others	1037	116	1555	151	227	52	0
Erysipelotrichia	Bacteria	0	0	0	12	0	0	0
Eurotiomycetes	Fungi	0	0	0	2872	0	0	0
Flavobacteriia	Bacteria	11110	0	0	2050	0	0	1232
Gammaproteobacteria	Bacteria	1947630	38476	4367605	519072	320604	403312	38942
Glomeromycetes	Fungi	4	8	2	0	0	0	0
Insecta	Arthropods	381269	1147324	425750	1376696	570335	561091	361942
Magnoliopsida	Plants	262392	908	20012	21142	5563	38475	4153
Malasseziomycetes	Fungi	0	6844	0	0	0	0	0
Mammalia	Others	0	35410	74	0	0	0	0
Phaeophyceae	Others	483	0	341	0	0	0	0
Quintoviricetes	Viruses	13630	1279352	0	0	0	5760	13722
Saccharomycetes	Fungi	0	0	0	12064	3350	38147	0
Sordariomycetes	Fungi	1	0	3	0	0	8	0
Spirotrichea	Others	33	380	12	8	0	0	17
Ustilaginomycetes	Fungi	0	0	0	0	0	4	0
