"Name"	"Group"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_Bimpatiens_hv4_2"	"Flower_eDNA"
"Acetobacteraceae"	"Bacteria"	1800	321158	12204	209198	11514	2036	0	4986
"Acidothermaceae"	"Bacteria"	0	0	0	9	0	0	0	0
"Actinomycetaceae"	"Bacteria"	0	0	5786	0	0	0	0	0
"Aeromonadaceae"	"Bacteria"	0	0	0	7423	0	0	0	0
"Alcaligenaceae"	"Bacteria"	0	0	0	0	0	3904	7640	0
"Angiostrongylidae"	"Others"	0	29	0	0	0	0	0	0
"Apidae"	"Arthropods"	236913	373452	945156	425312	1364181	561769	552615	360042
"Araneidae"	"Arthropods"	418	0	163587	1	0	676	266	1384
"Aspergillaceae"	"Fungi"	0	0	0	0	2542	0	0	0
"Asteraceae"	"Plants"	756	406	0	0	10576	3192	21653	752
"Atopobiaceae"	"Bacteria"	0	282	0	0	0	0	0	0
"Baetidae"	"Arthropods"	0	0	6	0	0	0	0	0
"Bartonellaceae"	"Bacteria"	8326	1722249	5150	3234509	68124	11460	7700	9978
"Bifidobacteriaceae"	"Bacteria"	30450	3928023	113999	8631347	1130591	453411	1208154	41674
"Brassicaceae"	"Plants"	0	208	0	17998	0	0	0	0
"Brucellaceae"	"Bacteria"	0	59	0	684	0	0	0	0
"Burkholderiaceae"	"Bacteria"	0	58	0	20	0	0	0	0
"Calliphoridae"	"Arthropods"	0	46	182	0	0	0	0	0
"Carnobacteriaceae"	"Bacteria"	0	0	0	0	0	0	0	4
"Caulobacteraceae"	"Bacteria"	0	0	0	47	0	0	0	0
"Cellulomonadaceae"	"Bacteria"	0	0	72	0	0	0	0	0
"Chrysomelidae"	"Arthropods"	0	0	0	0	0	377	515	0
"Convolvulaceae"	"Plants"	0	69	0	0	0	0	0	0
"Cordycipitaceae"	"Fungi"	0	1	0	2	0	0	7	0
"Corynebacteriaceae"	"Bacteria"	0	0	11278	34	9	13	0	0
"Daphniidae"	"Arthropods"	0	2	0	0	0	0	0	1
"Dipodascaceae"	"Fungi"	0	0	0	0	0	0	234	0
"Drosophilidae"	"Arthropods"	0	0	22596	0	0	0	0	0
"Ectocarpaceae"	"Others"	0	483	0	341	0	0	0	0
"Eggerthellaceae"	"Bacteria"	0	0	0	29	0	0	0	0
"Elateridae"	"Arthropods"	0	0	9	0	0	0	0	0
"Enterobacteriaceae"	"Bacteria"	250	1095	100	1610	291	325	396	48
"Enterococcaceae"	"Bacteria"	0	49	170	45	2	0	0	0
"Enterocytozoonidae"	"Fungi"	0	4	0	0	0	0	0	0
"Ephemeridae"	"Arthropods"	0	76	0	53	202	0	0	0
"Erwiniaceae"	"Bacteria"	160	47	0	0	3086	5042	10192	0
"Erysipelotrichaceae"	"Bacteria"	0	0	0	0	12	0	0	0
"Fabaceae"	"Plants"	622	156180	734	1979	3786	0	794	1775
"Flavobacteriaceae"	"Bacteria"	0	1810	0	0	1996	0	0	224
"Formicidae"	"Arthropods"	5	189	657	47	840	1312	736	14
"Glomeraceae"	"Fungi"	0	4	8	2	0	0	0	0
"Grifolaceae"	"Fungi"	0	0	0	0	102	0	0	0
"Halictidae"	"Arthropods"	42	83	0	0	455	101	167	161
"Halomonadaceae"	"Bacteria"	0	0	0	13	0	0	0	0
"Hominidae"	"Others"	0	0	10196	0	0	0	0	0
"Hypocreaceae"	"Fungi"	0	0	0	1	0	0	0	0
"Lachnospiraceae"	"Bacteria"	0	0	0	14	0	0	0	0
"Lactobacillaceae"	"Bacteria"	25444	3798978	1094987	7363777	330345	90688	311061	97564
"Lampyridae"	"Arthropods"	0	332	0	49	0	0	0	0
"Lipotidae"	"Others"	0	0	0	74	0	0	0	0
"Listeriaceae"	"Bacteria"	0	4	8794	0	0	0	0	0
"Malasseziaceae"	"Fungi"	0	0	6844	0	0	0	0	0
"Malvaceae"	"Plants"	26	0	0	0	0	0	0	0
"Megachilidae"	"Arthropods"	28	536	2902	267	171	94	0	0
"Methylobacteriaceae"	"Bacteria"	0	0	0	35	0	0	0	0
"Methylococcaceae"	"Bacteria"	0	0	0	8	0	0	0	0
"Metschnikowiaceae"	"Fungi"	0	0	0	0	3962	0	3540	0
"Microbacteriaceae"	"Bacteria"	0	10	0	0	0	0	0	0
"Micromonosporaceae"	"Bacteria"	0	0	0	189	0	0	0	0
"Moraxellaceae"	"Bacteria"	267	18855	9007	279	15388	14689	13576	54
"Morganellaceae"	"Bacteria"	0	2405	3	10859	105	0	0	0
"Musaceae"	"Plants"	0	19	0	9	0	0	0	0
"Muscidae"	"Arthropods"	0	0	58	0	0	0	0	0
"Mycobacteriaceae"	"Bacteria"	0	144	0	0	0	0	0	0
"Mycosphaerellaceae"	"Fungi"	0	0	0	0	0	0	1	0
"Myoviridae"	"Viruses"	198	21262	0	0	0	0	0	0
"Neisseriaceae"	"Bacteria"	5876	880747	2279	809486	92150	43726	102735	12326
"Nosematidae"	"Fungi"	2018	217873	0	306037	7589	1448	0	1660
"Onchocercidae"	"Others"	0	0	141	0	0	0	80	0
"Orbaceae"	"Bacteria"	10960	1800510	11868	3634412	406296	226541	277512	29762
"Oscillospiraceae"	"Bacteria"	0	15	0	607	0	0	0	0
"Oxytrichidae"	"Others"	0	33	380	12	8	0	0	17
"Parvoviridae"	"Viruses"	4766	13630	1279352	0	0	0	5760	13722
"Pasteurellaceae"	"Bacteria"	0	0	0	97	0	0	0	0
"Patellariaceae"	"Fungi"	0	0	0	0	0	0	40	0
"Pectobacteriaceae"	"Bacteria"	0	0	0	52	0	0	0	0
"Phyllobacteriaceae"	"Bacteria"	0	0	0	125	0	0	0	0
"Plasmodiidae"	"Others"	0	0	3162	0	0	0	0	0
"Poaceae"	"Plants"	0	50	0	26	76	35	0	0
"Propionibacteriaceae"	"Bacteria"	0	0	21240	553	4	0	0	0
"Pseudomonadaceae"	"Bacteria"	0	75	0	236614	3070	0	0	0
"Psychidae"	"Arthropods"	43	131	9488	0	464	0	426	272
"Pteromalidae"	"Arthropods"	0	10	0	21	0	0	0	0
"Rhizobiaceae"	"Bacteria"	0	75	0	194	0	0	0	0
"Rhodospirillaceae"	"Bacteria"	0	28	0	29	0	0	0	0
"Rosaceae"	"Plants"	0	380	0	0	0	0	0	0
"Saccharomycetaceae"	"Fungi"	0	0	0	0	0	0	2632	0
"Salicaceae"	"Plants"	0	105	0	0	0	0	0	0
"Saprolegniaceae"	"Others"	0	0	2	0	0	0	0	0
"Siphoviridae"	"Viruses"	190	38122	0	20792	0	0	0	706
"Solanaceae"	"Plants"	0	471	174	0	0	0	308	0
"Sporolactobacillaceae"	"Bacteria"	0	0	0	24	0	0	0	0
"Staphylococcaceae"	"Bacteria"	0	0	0	0	0	4	7	0
"Streptococcaceae"	"Bacteria"	0	10	459	7404	93	69	6	0
"Streptomycetaceae"	"Bacteria"	0	70	0	0	0	0	0	0
"Tenebrionidae"	"Arthropods"	0	0	0	0	70	212	0	0
"Tephritidae"	"Arthropods"	0	175	28168	0	0	0	0	12
"Teratosphaeriaceae"	"Fungi"	0	0	0	0	0	0	2	0
"Thripidae"	"Arthropods"	0	9	0	1	0	0	0	0
"Trichomonascaceae"	"Fungi"	146	0	0	0	2698	0	14987	0
"Trichuridae"	"Others"	0	1037	116	1555	151	227	52	0
"Ustilaginaceae"	"Fungi"	0	0	0	0	0	0	4	0
"Varroidae"	"Arthropods"	0	0	27	1	1832	2447	1295	287
"Vespidae"	"Arthropods"	0	0	2	0	23	0	0	117
"Vibrionaceae"	"Bacteria"	0	0	0	15	0	0	0	0
"Weeksellaceae"	"Bacteria"	0	8774	0	0	0	0	0	984
"Xanthobacteraceae"	"Bacteria"	0	0	0	17	0	0	0	0
"Xanthomonadaceae"	"Bacteria"	0	0	0	0	0	2722	9038	0
"Xylariaceae"	"Fungi"	0	0	0	0	0	0	1	0
"Yersiniaceae"	"Bacteria"	0	61	0	56	0	105	0	0
