"Name"	"Group"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_Bimpatiens_hv4_2"	"Flower_eDNA"
"Abrus"	"Plants"	0	9847	0	0	0	0	0	0
"Abscondita"	"Arthropods"	0	332	0	49	0	0	0	0
"Absicoccus"	"Bacteria"	0	0	0	0	12	0	0	0
"Acetilactobacillus"	"Bacteria"	0	0	1	0	0	0	0	0
"Achromobacter"	"Bacteria"	0	0	0	0	0	2958	6152	0
"Acidothermus"	"Bacteria"	0	0	0	9	0	0	0	0
"Acinetobacter"	"Bacteria"	263	18163	8715	279	15354	14645	13576	54
"Actinomyces"	"Bacteria"	0	0	5250	0	0	0	0	0
"Actinoplanes"	"Bacteria"	0	0	0	189	0	0	0	0
"Actinotalea"	"Bacteria"	0	0	72	0	0	0	0	0
"Aeromonas"	"Bacteria"	0	0	0	7423	0	0	0	0
"Agrilactobacillus"	"Bacteria"	0	0	0	0	7	0	5	0
"Agrobacterium"	"Bacteria"	0	0	0	146	0	0	0	0
"Ambidensovirus"	"Viruses"	884	0	116698	0	0	0	0	2624
"Anaerosacchariphilus"	"Bacteria"	0	0	0	2	0	0	0	0
"Ancylobacter"	"Bacteria"	0	0	0	17	0	0	0	0
"Angiostrongylus"	"Others"	0	29	0	0	0	0	0	0
"Aphanomyces"	"Others"	0	0	2	0	0	0	0	0
"Apibacter"	"Bacteria"	0	8774	0	0	0	0	0	984
"Apilactobacillus"	"Bacteria"	0	0	15819	0	0	0	0	0
"Apis"	"Arthropods"	0	66646	0	82703	776611	145108	95973	344606
"Arachis"	"Plants"	0	2031	0	0	0	0	0	0
"Araneus"	"Arthropods"	418	0	163587	1	0	676	266	1384
"Asaia"	"Bacteria"	0	12	0	0	0	0	0	0
"Atta"	"Arthropods"	0	0	0	7	100	0	64	0
"Bactrocera"	"Arthropods"	0	28	7877	0	0	0	0	0
"Bartonella"	"Bacteria"	8326	1722249	5150	3234509	68124	11460	7700	9978
"Beauveria"	"Fungi"	0	1	0	2	0	0	7	0
"Bifidobacterium"	"Bacteria"	24948	3827471	50138	8398763	925097	315126	912960	36768
"Bombilactobacillus"	"Bacteria"	6912	1503167	0	2335384	98502	21334	188003	36046
"Bombiscardovia"	"Bacteria"	332	209	11855	222	27348	19306	28614	0
"Bombus"	"Arthropods"	236727	298570	940416	342154	582677	412261	452614	12541
"Brassica"	"Plants"	0	0	0	16634	0	0	0	0
"Brochothrix"	"Bacteria"	0	0	8518	0	0	0	0	0
"Brucella"	"Bacteria"	0	59	0	295	0	0	0	0
"Brugia"	"Others"	0	0	141	0	0	0	80	0
"Burkholderia"	"Bacteria"	0	0	0	8	0	0	0	0
"Cajanus"	"Plants"	0	5135	0	0	0	0	0	0
"Callosobruchus"	"Arthropods"	0	0	0	0	0	377	515	0
"Candidatus Schmidhempelia"	"Bacteria"	1296	0	4430	0	183168	111178	112732	0
"Capsicum"	"Plants"	0	0	0	0	0	0	308	0
"Ceratina"	"Arthropods"	0	0	20	0	0	0	114	0
"Cercospora"	"Fungi"	0	0	0	0	0	0	1	0
"Cicer"	"Plants"	0	4495	0	0	0	0	0	0
"Clavispora"	"Fungi"	0	0	0	0	3698	0	3382	0
"Cloeon"	"Arthropods"	0	0	6	0	0	0	0	0
"Commensalibacter"	"Bacteria"	1620	300833	0	179344	10410	1652	0	4480
"Companilactobacillus"	"Bacteria"	0	0	0	38	16	0	0	0
"Corchorus"	"Plants"	26	0	0	0	0	0	0	0
"Corynebacterium"	"Bacteria"	0	0	11278	34	9	13	0	0
"Cronobacter"	"Bacteria"	0	20	0	31	0	93	0	0
"Cupriavidus"	"Bacteria"	0	58	0	0	0	0	0	0
"Cutibacterium"	"Bacteria"	0	0	6200	553	0	0	0	0
"Cyphomyrmex"	"Arthropods"	0	19	5	0	0	0	0	14
"Daphnia"	"Arthropods"	0	2	0	0	0	0	0	1
"Digitaria"	"Plants"	0	50	0	26	76	35	0	0
"Drosophila"	"Arthropods"	0	0	21382	0	0	0	0	0
"Dufourea"	"Arthropods"	4	26	0	0	74	101	0	0
"Ectocarpus"	"Others"	0	483	0	341	0	0	0	0
"Eggerthella"	"Bacteria"	0	0	0	29	0	0	0	0
"Ensete"	"Plants"	0	19	0	9	0	0	0	0
"Enterobacter"	"Bacteria"	0	0	0	0	0	143	169	0
"Enterococcus"	"Bacteria"	0	49	170	45	2	0	0	0
"Entomomonas"	"Bacteria"	0	0	0	124217	0	0	0	0
"Ephemera"	"Arthropods"	0	76	0	53	202	0	0	0
"Escherichia"	"Bacteria"	14	72	100	32	71	89	106	48
"Eufriesea"	"Arthropods"	90	0	245	258	715	585	509	507
"Eumeta"	"Arthropods"	43	131	9488	0	464	0	426	272
"Eutrema"	"Plants"	0	0	0	72	0	0	0	0
"Frankliniella"	"Arthropods"	0	9	0	1	0	0	0	0
"Frieseomelitta"	"Arthropods"	0	133	0	91	216	181	188	109
"Frischella"	"Bacteria"	368	157561	0	543419	15073	1990	3425	1760
"Fructilactobacillus"	"Bacteria"	0	0	110	0	0	0	0	0
"Fructobacillus"	"Bacteria"	1808	8954	902121	0	0	0	0	4898
"Gilliamella"	"Bacteria"	7540	1582893	5096	2992782	157279	79709	121209	23266
"Gluconacetobacter"	"Bacteria"	0	21	0	36	0	0	0	0
"Glycine"	"Plants"	0	10269	0	0	0	0	0	0
"Grifola"	"Fungi"	0	0	0	0	102	0	0	0
"Habropoda"	"Arthropods"	0	142	177	42	0	0	0	0
"Haemophilus"	"Bacteria"	0	0	0	97	0	0	0	0
"Halomonas"	"Bacteria"	0	0	0	13	0	0	0	0
"Harpegnathos"	"Arthropods"	3	36	0	0	0	0	0	0
"Helianthus"	"Plants"	0	0	0	0	2388	0	5151	0
"Hepatospora"	"Fungi"	0	4	0	0	0	0	0	0
"Homo"	"Others"	0	0	5192	0	0	0	0	0
"Hortaea"	"Fungi"	0	0	0	0	0	0	2	0
"Ignatzschineria"	"Bacteria"	0	0	0	252	0	0	0	0
"Ignelater"	"Arthropods"	0	0	9	0	0	0	0	0
"Ipomoea"	"Plants"	0	69	0	0	0	0	0	0
"Kaistia"	"Bacteria"	0	0	0	12	0	0	0	0
"Klebsiella"	"Bacteria"	0	914	0	1511	168	0	0	0
"Kosakonia"	"Bacteria"	0	59	0	24	0	0	121	0
"Kuraishia"	"Fungi"	0	0	0	0	0	0	2	0
"Lacticaseibacillus"	"Bacteria"	0	8	22	0	0	0	7	0
"Lactiplantibacillus"	"Bacteria"	0	3	0	6	0	0	0	0
"Lactobacillus"	"Bacteria"	16440	2280221	119300	5016166	228654	68274	121662	55724
"Lasius"	"Arthropods"	2	61	652	0	251	490	296	0
"Lentilactobacillus"	"Bacteria"	0	0	83	5	30	0	14	0
"Leuconostoc"	"Bacteria"	0	0	48710	0	0	0	0	290
"Levilactobacillus"	"Bacteria"	0	0	0	0	13	0	0	0
"Limosilactobacillus"	"Bacteria"	0	0	25	868	0	0	0	0
"Lipotes"	"Others"	0	0	0	74	0	0	0	0
"Liquorilactobacillus"	"Bacteria"	0	0	44	42	0	0	0	0
"Listeria"	"Bacteria"	0	4	0	0	0	0	0	0
"Loigolactobacillus"	"Bacteria"	0	0	0	0	26	0	0	0
"Lotus"	"Plants"	0	13636	0	0	0	0	0	0
"Lucilia"	"Arthropods"	0	46	182	0	0	0	0	0
"Lupinus"	"Plants"	0	8722	734	1979	1384	0	794	757
"Macrococcus"	"Bacteria"	0	0	0	0	0	0	7	0
"Magnetospirillum"	"Bacteria"	0	28	0	0	0	0	0	0
"Malassezia"	"Fungi"	0	0	6844	0	0	0	0	0
"Medicago"	"Plants"	0	3986	0	0	0	0	0	0
"Mediterraneibacter"	"Bacteria"	0	0	0	12	0	0	0	0
"Megachile"	"Arthropods"	28	317	2	267	171	94	0	0
"Megalopta"	"Arthropods"	0	0	0	0	184	0	0	161
"Melipona"	"Arthropods"	20	93	192	64	2780	2812	2401	2195
"Mesorhizobium"	"Bacteria"	0	0	0	125	0	0	0	0
"Methylobacterium"	"Bacteria"	0	0	0	35	0	0	0	0
"Methylomicrobium"	"Bacteria"	0	0	0	8	0	0	0	0
"Mikania"	"Plants"	184	406	0	0	0	0	3982	0
"Moesziomyces"	"Fungi"	0	0	0	0	0	0	4	0
"Monomorium"	"Arthropods"	0	4	0	0	0	0	0	0
"Morganella"	"Bacteria"	0	0	0	6593	0	0	0	0
"Mucuna"	"Plants"	0	4639	0	0	0	0	0	0
"Musca"	"Arthropods"	0	0	58	0	0	0	0	0
"Mycobacterium"	"Bacteria"	0	144	0	0	0	0	0	0
"Nasonia"	"Arthropods"	0	10	0	21	0	0	0	0
"Naumannella"	"Bacteria"	0	0	0	0	4	0	0	0
"Neisseria"	"Bacteria"	0	0	0	69	0	0	0	0
"Nicotiana"	"Plants"	0	0	174	0	0	0	0	0
"Nitrospirillum"	"Bacteria"	0	0	0	29	0	0	0	0
"Nomia"	"Arthropods"	38	57	0	0	197	0	167	0
"Nosema"	"Fungi"	2018	217873	0	306037	7589	1444	0	1660
"Nylanderia"	"Arthropods"	0	23	0	15	0	0	0	0
"Oblitimonas"	"Bacteria"	0	0	0	64	0	0	0	0
"Olsenella"	"Bacteria"	0	282	0	0	0	0	0	0
"Ooceraea"	"Arthropods"	0	0	0	0	163	225	0	0
"Orbus"	"Bacteria"	0	0	0	751	0	958	0	0
"Osmia"	"Arthropods"	0	219	2900	0	0	0	0	0
"Pantoea"	"Bacteria"	136	47	0	0	2752	4324	8986	0
"Parascardovia"	"Bacteria"	0	907	0	0	92	85	154	0
"Patellaria"	"Fungi"	0	0	0	0	0	0	40	0
"Paucimonas"	"Bacteria"	0	0	0	12	0	0	0	0
"Pectobacterium"	"Bacteria"	0	0	0	52	0	0	0	0
"Pediococcus"	"Bacteria"	0	0	0	36	29	0	0	0
"Pefuambidensovirus"	"Viruses"	0	0	5284	0	0	0	0	0
"Penicillium"	"Fungi"	0	0	0	0	2056	0	0	0
"Phenylobacterium"	"Bacteria"	0	0	0	47	0	0	0	0
"Photobacterium"	"Bacteria"	0	0	0	15	0	0	0	0
"Plasmodium"	"Others"	0	0	3162	0	0	0	0	0
"Polistes"	"Arthropods"	0	0	2	0	23	0	0	117
"Populus"	"Plants"	0	105	0	0	0	0	0	0
"Proteus"	"Bacteria"	0	350	0	163	105	0	0	0
"Providencia"	"Bacteria"	0	2055	0	4103	0	0	0	0
"Pseudochrobactrum"	"Bacteria"	0	0	0	389	0	0	0	0
"Pseudomonas"	"Bacteria"	0	75	0	83561	2718	0	0	0
"Pseudoscardovia"	"Bacteria"	0	332	0	0	0	0	0	0
"Pyrus"	"Plants"	0	380	0	0	0	0	0	0
"Raphanus"	"Plants"	0	208	0	1292	0	0	0	0
"Rathayibacter"	"Bacteria"	0	10	0	0	0	0	0	0
"Rhagoletis"	"Arthropods"	0	147	15579	0	0	0	0	12
"Rhizophagus"	"Fungi"	0	4	8	2	0	0	0	0
"Rouxiella"	"Bacteria"	0	0	0	0	0	105	0	0
"Ruminococcus"	"Bacteria"	0	15	0	0	0	0	0	0
"Saccharibacter"	"Bacteria"	0	0	0	62	0	0	0	0
"Saezia"	"Bacteria"	0	0	0	26	0	0	0	0
"Salmonella"	"Bacteria"	0	30	0	12	52	0	0	0
"Saprochaete"	"Fungi"	0	0	0	0	0	0	234	0
"Schleiferilactobacillus"	"Bacteria"	0	0	0	68	0	0	0	0
"Scindoambidensovirus"	"Viruses"	1320	0	278980	0	0	0	0	3870
"Secundilactobacillus"	"Bacteria"	0	91	0	0	0	0	0	0
"Serratia"	"Bacteria"	0	61	0	56	0	0	0	0
"Sinorhizobium"	"Bacteria"	0	75	0	36	0	0	0	0
