"Name"	"Group"	"Bee_Amellifera_hv13_1"	"Bee_Amellifera_hv13_2"	"Bee_Amellifera_hv15_1"	"Bee_Amellifera_wild_1"	"Bee_Bimpatiens_hv3_1"	"Bee_Bimpatiens_hv4_1"	"Bee_Bimpatiens_hv4_2"	"Flower_eDNA"
"Abrus precatorius"	"Plants"	0	9847	0	0	0	0	0	0
"Abscondita terminalis"	"Arthropods"	0	332	0	49	0	0	0	0
"Absicoccus porci"	"Bacteria"	0	0	0	0	12	0	0	0
"Acetilactobacillus jinshanensis"	"Bacteria"	0	0	1	0	0	0	0	0
"Acidothermus cellulolyticus"	"Bacteria"	0	0	0	9	0	0	0	0
"Acinetobacter baumannii"	"Bacteria"	219	1199	7582	279	14958	14597	13556	54
"Acinetobacter bereziniae"	"Bacteria"	0	0	107	0	0	0	0	0
"Actinoplanes friuliensis"	"Bacteria"	0	0	0	189	0	0	0	0
"Actinotalea ferrariae"	"Bacteria"	0	0	72	0	0	0	0	0
"Aeromonas hydrophila"	"Bacteria"	0	0	0	7423	0	0	0	0
"Agrilactobacillus composti"	"Bacteria"	0	0	0	0	7	0	0	0
"Agrilactobacillus yilanensis"	"Bacteria"	0	0	0	0	0	0	5	0
"Agrobacterium fabrum"	"Bacteria"	0	0	0	66	0	0	0	0
"Agrobacterium tumefaciens"	"Bacteria"	0	0	0	80	0	0	0	0
"Ambidensovirus sp."	"Viruses"	884	0	116698	0	0	0	0	2624
"Anaerosacchriphilus polymeriproducens"	"Bacteria"	0	0	0	2	0	0	0	0
"Ancylobacter rudongensis"	"Bacteria"	0	0	0	17	0	0	0	0
"Angiostrongylus costaricensis"	"Others"	0	29	0	0	0	0	0	0
"Aphanomyces astaci"	"Others"	0	0	2	0	0	0	0	0
"Apilactobacillus kunkeei"	"Bacteria"	0	0	10479	0	0	0	0	0
"Apilactobacillus micheneri"	"Bacteria"	0	0	2276	0	0	0	0	0
"Apilactobacillus ozensis"	"Bacteria"	0	0	738	0	0	0	0	0
"Apilactobacillus quenuiae"	"Bacteria"	0	0	1202	0	0	0	0	0
"Apilactobacillus timberlakei"	"Bacteria"	0	0	1124	0	0	0	0	0
"Apis cerana"	"Arthropods"	0	48283	0	37819	35133	6729	0	23089
"Apis dorsata"	"Arthropods"	0	0	0	33695	0	0	0	0
"Apis florea"	"Arthropods"	0	18363	0	11189	12661	2881	2373	0
"Apis mellifera"	"Arthropods"	0	0	0	0	728817	135498	93600	321517
"Apis mellifera filamentous virus"	"Viruses"	178	73032	0	24222	0	0	0	756
"Arachis hypogaea"	"Plants"	0	2031	0	0	0	0	0	0
"Araneus ventricosus"	"Arthropods"	418	0	163587	1	0	676	266	1384
"Asaia platycodi"	"Bacteria"	0	12	0	0	0	0	0	0
"Atta cephalotes"	"Arthropods"	0	0	0	7	0	0	0	0
"Atta colombica"	"Arthropods"	0	0	0	0	100	0	64	0
"Bacteriophage sp."	"Viruses"	0	23188	0	56506	0	0	0	402
"Bactrocera latifrons"	"Arthropods"	0	0	99	0	0	0	0	0
"Bactrocera tryoni"	"Arthropods"	0	28	1092	0	0	0	0	0
"Bartonella apis"	"Bacteria"	7644	1681908	4708	2998121	64150	10352	6914	9050
"Bartonella birtlesii"	"Bacteria"	0	0	0	329	0	0	0	0
"Bartonella clarridgeiae"	"Bacteria"	0	40	0	0	0	0	0	0
"Bartonella schoenbuchensis"	"Bacteria"	0	18	0	0	0	0	0	0
"Bartonella tamiae"	"Bacteria"	0	189	0	1199	0	0	0	0
"Beauveria bassiana"	"Fungi"	0	1	0	2	0	0	7	0
