PathwayID	Description	Bee_Amellifera_hv13_2	Bee_Amellifera_hv15_1	Bee_Amellifera_wild_1	Bee_Bimpatiens_hv3_1	Bee_Bimpatiens_hv4_1	Bee_Bimpatiens_hv4_2	Flower_eDNA
map00010	Glycolysis / Gluconeogenesis	0.733333333333333	0.742857142857143	0.666666666666667	0.619047619047619	0.571428571428571	0.628571428571429	0.504761904761905
map00020	Citrate cycle (TCA cycle)	0.725806451612903	0.725806451612903	0.693548387096774	0.693548387096774	0.67741935483871	0.693548387096774	0.5
map00030	Pentose phosphate pathway	0.678571428571429	0.630952380952381	0.678571428571429	0.630952380952381	0.607142857142857	0.619047619047619	0.476190476190476
map00040	Pentose and glucuronate interconversions	0.729411764705882	0.647058823529412	0.670588235294118	0.564705882352941	0.482352941176471	0.576470588235294	0.494117647058824
map00051	Fructose and mannose metabolism	0.756756756756757	0.738738738738739	0.738738738738739	0.684684684684685	0.558558558558559	0.63963963963964	0.504504504504504
map00052	Galactose metabolism	0.805194805194805	0.623376623376623	0.649350649350649	0.597402597402597	0.532467532467532	0.597402597402597	0.532467532467532
map00053	Ascorbate and aldarate metabolism	0.639344262295082	0.524590163934426	0.524590163934426	0.491803278688525	0.39344262295082	0.508196721311475	0.39344262295082
map00500	Starch and sucrose metabolism	0.771428571428571	0.742857142857143	0.628571428571429	0.647619047619048	0.59047619047619	0.676190476190476	0.495238095238095
map00520	Amino sugar and nucleotide sugar metabolism	0.727891156462585	0.63265306122449	0.646258503401361	0.585034013605442	0.54421768707483	0.537414965986395	0.414965986394558
map00620	Pyruvate metabolism	0.722222222222222	0.722222222222222	0.666666666666667	0.626984126984127	0.595238095238095	0.626984126984127	0.468253968253968
map00630	Glyoxylate and dicarboxylate metabolism	0.76	0.69	0.65	0.58	0.54	0.64	0.46
map00640	Propanoate metabolism	0.663636363636364	0.636363636363636	0.645454545454546	0.581818181818182	0.518181818181818	0.581818181818182	0.454545454545455
map00650	Butanoate metabolism	0.666666666666667	0.696969696969697	0.595959595959596	0.535353535353535	0.535353535353535	0.555555555555556	0.343434343434343
map00660	C5-Branched dibasic acid metabolism	0.655172413793103	0.448275862068966	0.448275862068966	0.448275862068966	0.413793103448276	0.413793103448276	0
map00562	Inositol phosphate metabolism	0.578947368421053	0.486842105263158	0.486842105263158	0.368421052631579	0.328947368421053	0.460526315789474	0.197368421052632
