Sample	RawRead	CleanRead	MetagenomicRead	SubsamplePercent	AnnotatedRead	GenusRead	SpeciesRead	AssemblyGenusRichness	GenusRichness	AssemblySpeciesRichness	SpeciesRichness	Group	GenusHill_0.0	GenusHill_0.1	GenusHill_0.2	GenusHill_0.3	GenusHill_0.4	GenusHill_0.5	GenusHill_0.6	GenusHill_0.7	GenusHill_0.8	GenusHill_0.9	GenusHill_1.0	GenusHill_1.1	GenusHill_1.2	GenusHill_1.3	GenusHill_1.4	GenusHill_1.5	GenusHill_1.6	GenusHill_1.7	GenusHill_1.8	GenusHill_1.9	GenusHill_2.0	GenusHill_2.1	GenusHill_2.2	GenusHill_2.3	GenusHill_2.4	GenusHill_2.5	GenusHill_2.6	GenusHill_2.7	GenusHill_2.8	GenusHill_2.9	GenusHill_3.0	GenusHill_3.1	GenusHill_3.2	GenusHill_3.3	GenusHill_3.4	GenusHill_3.5	GenusHill_3.6	GenusHill_3.7	GenusHill_3.8	GenusHill_3.9	GenusHill_4.0	SpeciesHill_0.0	SpeciesHill_0.1	SpeciesHill_0.2	SpeciesHill_0.3	SpeciesHill_0.4	SpeciesHill_0.5	SpeciesHill_0.6	SpeciesHill_0.7	SpeciesHill_0.8	SpeciesHill_0.9	SpeciesHill_1.0	SpeciesHill_1.1	SpeciesHill_1.2	SpeciesHill_1.3	SpeciesHill_1.4	SpeciesHill_1.5	SpeciesHill_1.6	SpeciesHill_1.7	SpeciesHill_1.8	SpeciesHill_1.9	SpeciesHill_2.0	SpeciesHill_2.1	SpeciesHill_2.2	SpeciesHill_2.3	SpeciesHill_2.4	SpeciesHill_2.5	SpeciesHill_2.6	SpeciesHill_2.7	SpeciesHill_2.8	SpeciesHill_2.9	SpeciesHill_3.0	SpeciesHill_3.1	SpeciesHill_3.2	SpeciesHill_3.3	SpeciesHill_3.4	SpeciesHill_3.5	SpeciesHill_3.6	SpeciesHill_3.7	SpeciesHill_3.8	SpeciesHill_3.9	SpeciesHill_4.0
LF_F18	1443107	882436	882436	0.1	41393.0	27059.0	13213.0	5	21	6	29	All	21.0	18.879941389080376	17.15021433883616	15.71734047136152	14.516169596761436	13.499988199543353	12.634107509602446	11.89187433709303	11.252229024485215	10.698195682049258	10.215914215169027	9.793983268944153	9.422984726601914	9.095119870469805	8.803919909560323	8.544010473296769	8.310918061228673	8.100910526503524	7.910865721020824	7.738163574251596	7.580597638180249	7.436302727343951	7.303695796699019	7.181427655472459	7.068343517230652	6.963450735844066	6.865892375453168	6.774925513396287	6.689903383186011	6.610260635518115	6.535501134519298	6.465187819194976	6.398934250978113	6.336397541421017	6.277272412800477	6.22128619152776	6.16819457206344	6.1177780193924765	6.069838702514156	6.024197871043886	5.980693602866441	29.0	26.562710960458684	24.400836855753074	22.473706598970473	20.752501250723512	19.215701299842717	17.845974268735468	16.62822179813444	15.548492074702638	14.593486812354795	13.750434821250915	13.007156725650043	12.352199251020615	11.774965463423957	11.265804758220847	10.816051853690375	10.418018792838492	10.064950640953713	9.750957067814198	9.470930719856513	9.22046088422503	8.995748406625639	8.793525626523172	8.610983397577609	8.445706059687163	8.295614439905014	8.158916482887468	8.034064855669728	7.919720762596416	7.814723189302364	7.718062831306672	7.628860027388843	7.546346094108565	7.4698475357179905	7.398772677713214	7.332600339564625	7.270870221647606	7.2131747329662455	7.159152030374712	7.10848007737362	7.060871562007637
LF_F18	1443107	882436	882436	0.1	41393.0	27059.0	13213.0	5	21	6	29	Bacteria	10.0	9.3325666585747	8.753757598919972	8.250787635860489	7.812301459245274	7.4284565684760535	7.09087248457346	6.792501077265806	6.527460676352571	6.290862911676901	6.07864943563972	5.8874470219307	5.714443888185848	5.557286809382146	5.413996942892686	5.28290166304611	5.1625796594518825	5.0518167986237295	4.949570607272312	4.854941611157839	4.767150107957508	4.685517247382278	4.609449533511762	4.538426057266871	4.471987918306814	4.409729413128438	4.351290656829151	4.2963513758585075	4.244625662969779	4.195857527290451	4.149817104881295	4.106297420565691	4.065111611855762	4.026090541733576	3.989080739805161	3.953942621639261	3.9205489444655037	3.8887834642432515	3.8585397647330875	3.829720233847079	3.8022351664080456	13.0	12.186370388436318	11.426348209202171	10.719660121834854	10.065434322358971	9.462249601660117	8.908203968157515	8.400997730928992	7.938024993154199	7.516467301087939	7.1333837086158915	6.785792599776178	6.470742026913607	6.185366816673759	5.926932054167965	5.692863634822724	5.48076731283329	5.28843808298268	5.113861862494645	4.95521136582168	4.810837863084265	4.679260246425591	4.55915254571403	4.449330767239653	4.348739693848044	4.256440089566371	4.171596596628683	4.093466494384514	4.021389402505937	3.9547779493295674	3.8931093845233504	3.835918088695843	3.7827889170497038	3.7333513065291957	3.68727407366858	3.644260831677868	3.6040459588645266	3.566391055330691	3.53108183034413	3.4979253684130076	3.466747727611753
LF_F18	1443107	882436	882436	0.1	41393.0	27059.0	13213.0	5	21	6	29	Viruses	2.0	1.9962068561686892	1.99242714956991	1.9886622576522652	1.9849135356889547	1.9811823141748313	1.9774698963243826	1.973777555681718	1.9701065338527948	1.9664580383691284	1.9628332406912532	1.9592332743591148	1.955659233295409	1.952112170266883	1.9485930955072963	1.9451029755047318	1.9416427319547114	1.9382132408795265	1.9348153319130614	1.9314497877493986	1.9281173437525017	1.9248186877233486	1.9215544598200645	1.9183252526258174	1.9151316113585664	1.9119740342161229	1.908852972849487	1.9057688329569602	1.9027219749911974	1.8997127149710702	1.8967413253900356	1.8938080362125758	1.890913035950233	1.8880564728087839	1.8852384558981838	1.8824590564970538	1.8797183093636678	1.8770162140856557	1.8743527364608883	1.8717278099023553	1.8691413368601606	5.0	4.857785995860976	4.721113696213617	4.590445021141481	4.466138281906917	4.348443466664028	4.237502701688333	4.133355427492321	4.0359474566534965	3.9451428512609708	3.860737483487375	3.782473205050547	3.71005171326166	3.643147418731717	3.5814188514604735	3.5245183564370306	3.472100007594532	3.423825801804003	3.379370282984406	3.3384237961494967	3.300694590612503	3.2659099893121804	3.233816825078222	3.204181320866498	3.1767885641625777	3.1514416989786866	3.127960934046183	3.1061824439215737	3.0859572211433273	3.0671499222661387	3.0496377382964797	3.0333093103845328	3.0180637041851774	3.0038094506883293	2.9904636571778074	2.9779511889966637	2.966203920714813	2.9551600538982394	2.9447634977969197	2.9349633087659988	2.925713184006609
LF_F18	1443107	882436	882436	0.1	41393.0	27059.0	13213.0	5	21	6	29	Arthropods	6.0	5.23262625951424	4.68322109766398	4.2739048732198865	3.9565291398795255	3.701790577789215	3.491710343824992	3.3149449862245164	3.164024383420096	3.033774467421922	2.9204283444157704	2.8211239775488157	2.7336146117296702	2.6560953467958104	2.5870935010949427	2.5253948407502356	2.4699908723676756	2.4200392923721696	2.3748332546374136	2.333776953716429	2.2963659731285393	2.2621713570790463	2.2308266522812494	2.2020173442466797	2.175472232846371	2.1509563806468006	2.128265336721316	2.1072203943827224	2.0876646868217215	2.0694599619608907	2.052483908363533	2.036627928901229	2.021795279036939	2.007899502841207	1.9948631129294156	1.9826164709833525	1.9710968338989647	1.9602475372962656	1.950017293474128	1.9403595851655455	1.931232139867711	8.0	7.18647797520674	6.570974981070285	6.0901533742310425	5.703191707922455	5.3839801960401665	5.115620375671121	4.886860668920443	4.689899836456712	4.519074128515097	4.370085218947221	4.239547281192329	4.124717722293119	4.023331967496837	3.933496936765032	3.8536179928947516	3.7823455851191747	3.718534125369552	3.661209027628846	3.609539625444388	3.5628166077255585	3.520433091886547	3.481868707146332	3.446676203671651	3.4144701923933582	3.3849176832575294	3.3577301390834564	3.332656803677504	3.3094790987536	3.2880059155399834	3.268069654206394	3.2495228877783973	3.2322355473513613	3.216092542523973	3.200991745396898	3.186842278576052	3.17356305771222	3.1610815475008742	3.149332697026155	3.138258026095181	3.1278048389738613
LF_F18	1443107	882436	882436	0.1	41393.0	27059.0	13213.0	5	21	6	29	Others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LF_F18	1443107	882436	882436	0.1	41393.0	27059.0	13213.0	5	21	6	29	Fungi	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
LF_F18	1443107	882436	882436	0.2	137316.0	115754.0	90456.0	10	26	12	33	All	26.0	20.337819349229623	16.116073044883038	12.941687163640344	10.536966643564556	8.70391912932269	7.299169544804499	6.217196546039311	5.379352195960984	4.726586485759663	4.214443538937516	3.809456691302309	3.4864543821215364	3.226509676865586	3.0153757902204044	2.84229991434932	2.699132011858489	2.5796607744927935	2.4791217848934513	2.393834382456093	2.3209337078406773	2.2581726574304284	2.2037750146783828	2.1563260239441093	2.114690403256389	2.077950531567365	2.045359536436556	2.0163054461210357	1.990283606640538	1.9668753117752318	1.945731133953159	1.9265578354853923	1.909108024699272	1.8931719301825498	1.8785708199215008	1.865151705800264	1.8527830585918708	1.8413513220052011	1.8307580621686323	1.820917625192446	1.811755203113531	33.0	25.234585817927744	19.094404235499365	14.299938033182185	10.639227299601222	7.925761730054772	5.976880547213202	4.614425712800345	3.6781763181423193	3.038144685167898	2.598084657394175	2.291311688775796	2.073435068517851	1.9154356131660115	1.7983900289380135	1.7098655786235102	1.6415848108643356	1.5879468368680603	1.5450954873052005	1.5103289291565458	1.4817214805524106	1.4578779635123151	1.4377717046633005	1.4206360278223389	1.4058904508160783	1.3930897333115073	1.3818881935095335	1.3720143743403033	1.3632528220832878	1.3554308177781293	1.348408601310105	1.342072088293924	1.3363273866160121	1.331096626476923	1.3263147591151196	1.3219270770149651	1.3178872765677088	1.3141559322523975	1.3106992856833324	1.3074882775374481	1.304497768288436
LF_F18	1443107	882436	882436	0.2	137316.0	115754.0	90456.0	10	26	12	33	Bacteria	12.0	10.85634736237799	9.909941126112198	9.127673013529082	8.479653920755524	7.940160694578913	7.4878275799326754	7.1053517548770575	6.778956472008707	6.497784058720034	6.253318959663937	6.038887147587962	5.849244861716415	5.680252116187188	5.528619039973208	5.391711356975617	5.267402262748841	5.153959928811312	5.04996201245091	4.954230491011001	4.865781747932515	4.783788106420798	4.707547977691403	4.636462520264576	4.570017248508466	4.507767428265595	4.449326391329336	4.394356116674282	4.342559585578799	4.293674535512766	4.24746832514348	4.203733688200673	4.1622852031462285	4.122956342890159	4.0855969972787545	4.050071383003278	4.0162562725795175	3.98403948733315	3.9533186097807342	3.923999879080306	3.895997239831464	15.0	13.572320366704568	12.358618185299056	11.319176993315432	10.42254567455817	9.644049642723823	8.964335489191676	8.368111461062718	7.843138058388327	7.379460607137104	6.968846789247683	6.60438397169765	6.2801940067899	5.991230643033329	5.733133146500228	5.502117361759846	5.294891534498768	5.108588694395068	4.940710475092396	4.789079247070195	4.651796670719758	4.527207498521507	4.413867858175287	4.310517464136227	4.21605531745913	4.129518513828738	4.050063815654599	3.9769516709111508	3.9095323858113455	3.847234182925514	3.789552901407785	3.7360431211157006	3.6863105169219916	3.640005272802553	3.596816406894492	3.5564668783900433	3.51870936476122	3.48332261341024	3.4501082855068983	3.4188882216501595	3.3895020692466926
LF_F18	1443107	882436	882436	0.2	137316.0	115754.0	90456.0	10	26	12	33	Viruses	2.0	1.9975842106450292	1.9951738704519975	1.9927695471808495	1.9903718028270188	1.9879811929203464	1.9855982658408908	1.9832235621536394	1.9808576139640122	1.9785009442959576	1.9761540664943567	1.9738174836532327	1.9714916880712876	1.9691771607359816	1.9668743708373788	1.9645837753127307	1.9623058184226945	1.9600409313598908	1.9577895318903795	1.9555520240284725	1.9533287977451648	1.9511202287103082	1.9489266780685228	1.9467484922486982	1.9445860028068058	1.9424395263016172	1.9403093642028024	1.9381958028307733	1.9360991133275296	1.934019551657663	1.931957358638595	1.9299127599990342	1.9278859664645729	1.925877173869274	1.923886563292048	1.921914301216571	1.9199605397134536	1.9180254166433552	1.9161090558796883	1.9142115675495741	1.912333048291683	5.0	4.816396145763184	4.64181564095165	4.47696420173875	4.3223318851857595	4.178188686801872	4.044593416668298	3.9214137261395963	3.8083541462536474	3.70498861271542	3.6107941436296707	3.5251829416062956	3.447531003144897	3.377202146267907	3.313567080295038	3.25601767377809	3.20397691741525	3.1569052530304313	3.114303988219755	3.075716481641039	3.040727702546444	3.0089626671459158	2.9800841516662593	2.9537899879144662	2.9298101666670293	2.907903908624344	2.887856811251544	2.8694781408086865	2.8525983101315586	2.8370665621663638	2.8227488650187276	2.809526014780455	2.797291936383306	2.785952169212584	2.775422522445433	2.765627884501525	2.7565011711999015	2.7479823979127116	2.7400178619886923	2.7325594228446564	2.7255638682964465
LF_F18	1443107	882436	882436	0.2	137316.0	115754.0	90456.0	10	26	12	33	Arthropods	11.0	7.224301456563386	4.85758228799938	3.4204593257005182	2.5624134621137626	2.0490371208096523	1.7360442290822213	1.5395240308198457	1.411885644576939	1.3261116344069344	1.26659167777364	1.224066459992382	1.192878861195532	1.1694677060727774	1.151526129827127	1.1375194557471193	1.12640151597812	1.117443194417616	1.110126075501579	1.104074839076346	1.0990132897301226	1.094735145032597	1.091084246035774	1.0879409084867053	1.0852123535835536	1.0828258974900888	1.08072403725089	1.078860860130036	1.0771993894250322	1.0757096014635108	1.0743669293367213	1.0731511234634343	1.0720453763896733	1.0710356450905891	1.0701101221836193	1.069258820334364	1.068473243365482	1.067746124260237	1.0670712151332733	1.066443117837161	1.0658571465434614	12.0	8.163993786563363	5.639294710324963	4.011743589515602	2.9795201776250853	2.3298554963301825	1.9196753423001995	1.6573570356853957	1.4863272621296224	1.3722754103397183	1.294415885510567	1.2400233177907507	1.2011734353641137	1.1728334602919697	1.1517418655590244	1.1357433223514393	1.123387034107477	1.1136794535474916	1.1059290827914678	1.099647254251358	1.0944835985734573	1.0901833996377746	1.0865589958436463	1.083470337599926	1.0808115996906489	1.0785018510540423	1.0764784771420812	1.0746924913281828	1.0731051569729653	1.0716855283850804	1.0704086425167396	1.0692541759977314	1.068205438101129	1.067248608477931	1.0663721548619802	1.065566384281984	1.064823094178462	1.0641352989196506	1.063497013696247	1.0629030824363999	1.0623490397590183
