PathwayID	Naive	MinPath	TotalGene	GeneFound	Coverage	Description
map00072	1	1	8	8	1.0	Synthesis and degradation of ketone bodies
map02060	1	1	71	70	0.9859154929577465	Phosphotransferase system (PTS)
map03430	1	1	44	38	0.8636363636363636	Mismatch repair
map03010	1	1	143	123	0.8601398601398601	Ribosome
map00290	1	1	19	16	0.8421052631578947	Valine, leucine and isoleucine biosynthesis
map04112	1	1	31	26	0.8387096774193549	Cell cycle - Caulobacter
map00473	1	1	6	5	0.8333333333333334	D-Alanine metabolism
map04122	1	1	29	24	0.8275862068965517	Sulfur relay system
map02040	1	1	55	45	0.8181818181818182	Flagellar assembly
map00550	1	1	51	40	0.7843137254901961	Peptidoglycan biosynthesis
map00250	1	1	70	54	0.7714285714285715	Alanine, aspartate and glutamate metabolism
map03022	1	1	36	27	0.75	Basal transcription factors
map00780	1	1	23	17	0.7391304347826086	Biotin metabolism
map00051	1	1	111	82	0.7387387387387387	Fructose and mannose metabolism
map00710	1	1	36	26	0.7222222222222222	Carbon fixation in photosynthetic organisms
map03060	1	1	39	28	0.717948717948718	Protein export
map00240	1	1	102	73	0.7156862745098039	Pyrimidine metabolism
map03050	1	1	49	35	0.7142857142857143	Proteasome
map00540	1	1	62	43	0.6935483870967742	Lipopolysaccharide biosynthesis
map00020	1	1	62	43	0.6935483870967742	Citrate cycle (TCA cycle)
map02010	1	1	512	353	0.689453125	ABC transporters
map00983	1	1	32	22	0.6875	Drug metabolism - other enzymes
map03420	1	1	47	32	0.6808510638297872	Nucleotide excision repair
map00030	1	1	84	57	0.6785714285714286	Pentose phosphate pathway
map00260	1	1	99	67	0.6767676767676768	Glycine, serine and threonine metabolism
map00040	1	1	85	57	0.6705882352941176	Pentose and glucuronate interconversions
map00450	1	1	33	22	0.6666666666666666	Selenocompound metabolism
map03030	1	1	60	40	0.6666666666666666	DNA replication
map00010	1	1	105	70	0.6666666666666666	Glycolysis / Gluconeogenesis
map01503	1	1	54	36	0.6666666666666666	Cationic antimicrobial peptide (CAMP) resistance
map00430	1	1	24	16	0.6666666666666666	Taurine and hypotaurine metabolism
map00620	1	1	126	84	0.6666666666666666	Pyruvate metabolism
map00061	1	1	39	26	0.6666666666666666	Fatty acid biosynthesis
map02030	1	1	26	17	0.6538461538461539	Bacterial chemotaxis
map00630	1	1	100	65	0.65	Glyoxylate and dicarboxylate metabolism
map00052	1	1	77	50	0.6493506493506493	Galactose metabolism
map00520	1	1	147	95	0.6462585034013606	Amino sugar and nucleotide sugar metabolism
map00640	1	1	110	71	0.6454545454545455	Propanoate metabolism
map00770	1	1	44	28	0.6363636363636364	Pantothenate and CoA biosynthesis
map03070	1	1	74	47	0.6351351351351351	Bacterial secretion system
map00500	1	1	105	66	0.6285714285714286	Starch and sucrose metabolism
map00670	1	1	37	23	0.6216216216216216	One carbon pool by folate
map01053	1	1	37	23	0.6216216216216216	Biosynthesis of siderophore group nonribosomal peptides
map00400	1	1	71	44	0.6197183098591549	Phenylalanine, tyrosine and tryptophan biosynthesis
map00340	1	1	47	29	0.6170212765957447	Histidine metabolism
map00220	1	1	59	36	0.6101694915254238	Arginine biosynthesis
map00230	1	1	213	129	0.6056338028169014	Purine metabolism
map00521	1	1	20	12	0.6	Streptomycin biosynthesis
map00270	1	1	117	70	0.5982905982905983	Cysteine and methionine metabolism
map03440	1	1	72	43	0.5972222222222222	Homologous recombination
map00650	1	1	99	59	0.5959595959595959	Butanoate metabolism
map00300	1	1	47	28	0.5957446808510638	Lysine biosynthesis
map03018	1	1	79	47	0.5949367088607594	RNA degradation
map00511	1	1	22	13	0.5909090909090909	Other glycan degradation
map00730	1	1	36	21	0.5833333333333334	Thiamine metabolism
map03410	1	1	43	25	0.5813953488372093	Base excision repair
map03008	1	1	82	47	0.573170731707317	Ribosome biogenesis in eukaryotes
map00790	1	1	82	47	0.573170731707317	Folate biosynthesis
map00280	1	1	70	40	0.5714285714285714	Valine, leucine and isoleucine degradation
map03020	1	1	51	29	0.5686274509803921	RNA polymerase
map00130	1	1	59	33	0.559322033898305	Ubiquinone and other terpenoid-quinone biosynthesis
map01502	1	1	22	12	0.5454545454545454	Vancomycin resistance
map00410	1	1	44	24	0.5454545454545454	beta-Alanine metabolism
map00900	1	1	59	32	0.5423728813559322	Terpenoid backbone biosynthesis
map02020	1	1	495	267	0.5393939393939394	Two-component system
map00480	1	1	56	30	0.5357142857142857	Glutathione metabolism
map00531	1	1	15	8	0.5333333333333333	Glycosaminoglycan degradation
map04966	1	1	17	9	0.5294117647058824	Collecting duct acid secretion
map00330	1	1	112	59	0.5267857142857143	Arginine and proline metabolism
map00860	1	1	131	69	0.5267175572519084	Porphyrin and chlorophyll metabolism
map00053	1	1	61	32	0.5245901639344263	Ascorbate and aldarate metabolism
map00564	1	1	113	58	0.5132743362831859	Glycerophospholipid metabolism
map00791	1	1	16	8	0.5	Atrazine degradation
map00261	1	1	28	14	0.5	Monobactam biosynthesis
map05017	1	1	116	58	0.5	Spinocerebellar ataxia
map01058	1	1	2	1	0.5	Acridone alkaloid biosynthesis
map00970	1	1	66	33	0.5	Aminoacyl-tRNA biosynthesis
map00471	1	1	10	5	0.5	D-Glutamine and D-glutamate metabolism
map00281	1	1	16	8	0.5	Geraniol degradation
map00920	1	1	109	54	0.4954128440366973	Sulfur metabolism
map00910	1	1	65	32	0.49230769230769234	Nitrogen metabolism
map00562	1	1	76	37	0.4868421052631579	Inositol phosphate metabolism
map00360	1	1	77	37	0.4805194805194805	Phenylalanine metabolism
map03015	1	1	63	30	0.47619047619047616	mRNA surveillance pathway
map04070	1	1	55	26	0.4727272727272727	Phosphatidylinositol signaling system
map00720	1	1	106	50	0.4716981132075472	Carbon fixation pathways in prokaryotes
map00984	1	1	15	7	0.4666666666666667	Steroid degradation
map04341	1	1	26	12	0.46153846153846156	Hedgehog signaling pathway - fly
map01523	1	0	26	12	0.46153846153846156	Antifolate resistance
map02026	1	1	61	28	0.45901639344262296	Biofilm formation - Escherichia coli
map00350	1	1	81	37	0.4567901234567901	Tyrosine metabolism
map00561	1	1	90	41	0.45555555555555555	Glycerolipid metabolism
map00930	1	1	22	10	0.45454545454545453	Caprolactam degradation
map05110	1	1	49	22	0.4489795918367347	Vibrio cholerae infection
map00660	1	1	29	13	0.4482758620689655	C5-Branched dibasic acid metabolism
map02025	1	1	90	40	0.4444444444444444	Biofilm formation - Pseudomonas aeruginosa
map00760	1	1	97	43	0.44329896907216493	Nicotinate and nicotinamide metabolism
map00190	1	1	218	96	0.44036697247706424	Oxidative phosphorylation
map04110	1	1	110	48	0.43636363636363634	Cell cycle
map04721	1	1	55	24	0.43636363636363634	Synaptic vesicle cycle
map05012	1	0	194	84	0.4329896907216495	Parkinson disease
map00071	1	0	58	25	0.43103448275862066	Fatty acid degradation
map04114	1	1	79	34	0.43037974683544306	Oocyte meiosis
map00965	1	1	7	3	0.42857142857142855	Betalain biosynthesis
map04146	1	1	73	31	0.4246575342465753	Peroxisome
map00940	1	1	38	16	0.42105263157894735	Phenylpropanoid biosynthesis
map00572	1	1	12	5	0.4166666666666667	Arabinogalactan biosynthesis - Mycobacterium
map00903	1	0	12	5	0.4166666666666667	Limonene and pinene degradation
map00750	1	1	24	10	0.4166666666666667	Vitamin B6 metabolism
map04391	1	1	53	22	0.41509433962264153	Hippo signaling pathway - fly
map04139	1	1	34	14	0.4117647058823529	Mitophagy - yeast
map05016	1	0	229	94	0.4104803493449782	Huntington disease
map05230	1	0	49	20	0.40816326530612246	Central carbon metabolism in cancer
map00740	1	1	49	20	0.40816326530612246	Riboflavin metabolism
map03460	1	1	54	22	0.4074074074074074	Fanconi anemia pathway
map04914	1	1	64	26	0.40625	Progesterone-mediated oocyte maturation
map00310	1	1	89	36	0.4044943820224719	Lysine degradation
map00643	1	1	25	10	0.4	Styrene degradation
map00982	1	1	25	10	0.4	Drug metabolism - cytochrome P450
map04962	1	1	33	13	0.3939393939393939	Vasopressin-regulated water reabsorption
map01524	1	1	46	18	0.391304347826087	Platinum drug resistance
map04745	1	1	18	7	0.3888888888888889	Phototransduction - fly
map04111	1	1	126	49	0.3888888888888889	Cell cycle - yeast
map05020	1	1	209	81	0.3875598086124402	Prion disease
map00380	1	1	80	31	0.3875	Tryptophan metabolism
map00565	1	1	31	12	0.3870967741935484	Ether lipid metabolism
map04212	1	1	57	22	0.38596491228070173	Longevity regulating pathway - worm
map00541	1	1	96	37	0.3854166666666667	O-Antigen nucleotide sugar biosynthesis
map00785	1	1	13	5	0.38461538461538464	Lipoic acid metabolism
map00960	1	1	26	10	0.38461538461538464	Tropane, piperidine and pyridine alkaloid biosynthesis
map04213	1	1	58	22	0.3793103448275862	Longevity regulating pathway - multiple species
map05171	1	0	205	77	0.375609756097561	Coronavirus disease - COVID-19
map04120	1	1	131	49	0.37404580152671757	Ubiquitin mediated proteolysis
map04361	1	1	59	22	0.3728813559322034	Axon regeneration
map04922	1	1	57	21	0.3684210526315789	Glucagon signaling pathway
map04145	1	0	95	35	0.3684210526315789	Phagosome
map04614	1	1	22	8	0.36363636363636365	Renin-angiotensin system
map00460	1	1	36	13	0.3611111111111111	Cyanoamino acid metabolism
map05014	1	1	280	101	0.3607142857142857	Amyotrophic lateral sclerosis
map00592	1	1	25	9	0.36	alpha-Linolenic acid metabolism
map04392	1	0	25	9	0.36	Hippo signaling pathway - multiple species
map02024	1	1	282	100	0.3546099290780142	Quorum sensing
map00100	1	1	34	12	0.35294117647058826	Steroid biosynthesis
map03013	1	1	142	50	0.352112676056338	RNA transport
map00333	1	1	20	7	0.35	Prodigiosin biosynthesis
map03040	1	1	123	43	0.34959349593495936	Spliceosome
map01501	1	1	112	39	0.3482142857142857	beta-Lactam resistance
map01040	1	1	32	11	0.34375	Biosynthesis of unsaturated fatty acids
map04970	1	1	64	22	0.34375	Salivary secretion
map04066	1	0	76	26	0.34210526315789475	HIF-1 signaling pathway
map04138	1	1	82	28	0.34146341463414637	Autophagy - yeast
map04710	1	1	24	8	0.3333333333333333	Circadian rhythm
map04141	1	1	144	48	0.3333333333333333	Protein processing in endoplasmic reticulum
map00362	1	1	106	35	0.330188679245283	Benzoate degradation
map04113	1	1	103	34	0.3300970873786408	Meiosis - yeast
map05010	1	1	287	94	0.32752613240418116	Alzheimer disease
map00680	1	1	190	62	0.3263157894736842	Methane metabolism
map04350	1	1	83	27	0.3253012048192771	TGF-beta signaling pathway
map05415	1	1	160	52	0.325	Diabetic cardiomyopathy
map04931	1	1	74	24	0.32432432432432434	Insulin resistance
map05022	1	1	368	119	0.3233695652173913	Pathways of neurodegeneration - multiple diseases
map04976	1	0	62	20	0.3225806451612903	Bile secretion
map04320	1	1	28	9	0.32142857142857145	Dorso-ventral axis formation
map04975	1	1	28	9	0.32142857142857145	Fat digestion and absorption
map05134	1	1	69	22	0.3188405797101449	Legionellosis
map04973	1	1	22	7	0.3181818181818182	Carbohydrate digestion and absorption
map04910	1	1	88	28	0.3181818181818182	Insulin signaling pathway
map04540	1	0	60	19	0.31666666666666665	Gap junction
map04142	1	1	105	33	0.3142857142857143	Lysosome
map00405	1	1	16	5	0.3125	Phenazine biosynthesis
map04340	1	0	45	14	0.3111111111111111	Hedgehog signaling pathway
map04211	1	0	68	21	0.3088235294117647	Longevity regulating pathway
map04919	1	1	91	28	0.3076923076923077	Thyroid hormone signaling pathway
map05031	1	0	46	14	0.30434782608695654	Amphetamine addiction
map05410	1	0	79	24	0.3037974683544304	Hypertrophic cardiomyopathy
map04720	1	0	43	13	0.3023255813953488	Long-term potentiation
map04913	1	0	40	12	0.3	Ovarian steroidogenesis
map04611	1	0	90	27	0.3	Platelet activation
map00908	1	1	10	3	0.3	Zeatin biosynthesis
map00401	1	0	30	9	0.3	Novobiocin biosynthesis
map00600	1	1	47	14	0.2978723404255319	Sphingolipid metabolism
map04152	1	1	84	25	0.2976190476190476	AMPK signaling pathway
map04022	1	0	121	36	0.2975206611570248	cGMP-PKG signaling pathway
map04930	1	1	37	11	0.2972972972972973	Type II diabetes mellitus
map04912	1	0	64	19	0.296875	GnRH signaling pathway
map00563	1	1	27	8	0.2962962962962963	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map05033	1	0	27	8	0.2962962962962963	Nicotine addiction
map05231	1	1	61	18	0.29508196721311475	Choline metabolism in cancer
map04261	1	0	95	28	0.29473684210526313	Adrenergic signaling in cardiomyocytes
map04921	1	0	112	33	0.29464285714285715	Oxytocin signaling pathway
map05412	1	1	68	20	0.29411764705882354	Arrhythmogenic right ventricular cardiomyopathy
map00980	1	1	34	10	0.29411764705882354	Metabolism of xenobiotics by cytochrome P450
map05166	1	1	184	54	0.29347826086956524	Human T-cell leukemia virus 1 infection
map05111	1	1	106	31	0.29245283018867924	Biofilm formation - Vibrio cholerae
map05034	1	1	86	25	0.29069767441860467	Alcoholism
map05414	1	1	87	25	0.28735632183908044	Dilated cardiomyopathy
map04011	1	1	91	26	0.2857142857142857	MAPK signaling pathway - yeast
map00571	1	1	14	4	0.2857142857142857	Lipoarabinomannan (LAM) biosynthesis
map04964	1	0	14	4	0.2857142857142857	Proximal tubule bicarbonate reclamation
map04918	1	1	53	15	0.2830188679245283	Thyroid hormone synthesis
map05030	1	0	39	11	0.28205128205128205	Cocaine addiction
map04714	1	1	188	53	0.28191489361702127	Thermogenesis
map00591	1	1	25	7	0.28	Linoleic acid metabolism
