PathwayID	Naive	MinPath	TotalGene	GeneFound	Coverage	Description
map03022	1	1	36	34	0.9444444444444444	Basal transcription factors
map03010	1	1	143	129	0.9020979020979021	Ribosome
map00072	1	1	8	7	0.875	Synthesis and degradation of ketone bodies
map03430	1	1	44	38	0.8636363636363636	Mismatch repair
map04139	1	1	34	29	0.8529411764705882	Mitophagy - yeast
map02030	1	1	26	22	0.8461538461538461	Bacterial chemotaxis
map02060	1	1	71	60	0.8450704225352113	Phosphotransferase system (PTS)
map00473	1	1	6	5	0.8333333333333334	D-Alanine metabolism
map03420	1	1	47	39	0.8297872340425532	Nucleotide excision repair
map00563	1	1	27	22	0.8148148148148148	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
map03060	1	1	39	31	0.7948717948717948	Protein export
map04122	1	1	29	23	0.7931034482758621	Sulfur relay system
map00290	1	1	19	15	0.7894736842105263	Valine, leucine and isoleucine biosynthesis
map03030	1	1	60	47	0.7833333333333333	DNA replication
map04136	1	1	23	18	0.782608695652174	Autophagy - other
map00710	1	1	36	28	0.7777777777777778	Carbon fixation in photosynthetic organisms
map04112	1	1	31	24	0.7741935483870968	Cell cycle - Caulobacter
map03018	1	1	79	61	0.7721518987341772	RNA degradation
map04138	1	1	82	62	0.7560975609756098	Autophagy - yeast
map03008	1	1	82	62	0.7560975609756098	Ribosome biogenesis in eukaryotes
map04011	1	1	91	68	0.7472527472527473	MAPK signaling pathway - yeast
map00550	1	1	51	38	0.7450980392156863	Peptidoglycan biosynthesis
map03410	1	1	43	32	0.7441860465116279	Base excision repair
map00250	1	1	70	51	0.7285714285714285	Alanine, aspartate and glutamate metabolism
map02040	1	1	55	40	0.7272727272727273	Flagellar assembly
map00983	1	1	32	23	0.71875	Drug metabolism - other enzymes
map00240	1	1	102	73	0.7156862745098039	Pyrimidine metabolism
map03050	1	1	49	35	0.7142857142857143	Proteasome
map00020	1	1	62	43	0.6935483870967742	Citrate cycle (TCA cycle)
map04111	1	1	126	86	0.6825396825396826	Cell cycle - yeast
map00770	1	1	44	30	0.6818181818181818	Pantothenate and CoA biosynthesis
map00500	1	1	105	71	0.6761904761904762	Starch and sucrose metabolism
map03070	1	1	74	50	0.6756756756756757	Bacterial secretion system
map00400	1	1	71	47	0.6619718309859155	Phenylalanine, tyrosine and tryptophan biosynthesis
map00220	1	1	59	39	0.6610169491525424	Arginine biosynthesis
map00300	1	1	47	31	0.6595744680851063	Lysine biosynthesis
map00780	1	1	23	15	0.6521739130434783	Biotin metabolism
map03015	1	1	63	41	0.6507936507936508	mRNA surveillance pathway
map01503	1	1	54	35	0.6481481481481481	Cationic antimicrobial peptide (CAMP) resistance
map04146	1	1	73	47	0.6438356164383562	Peroxisome
map00630	1	1	100	64	0.64	Glyoxylate and dicarboxylate metabolism
map00051	1	1	111	71	0.6396396396396397	Fructose and mannose metabolism
map00730	1	1	36	23	0.6388888888888888	Thiamine metabolism
map01502	1	1	22	14	0.6363636363636364	Vancomycin resistance
map00260	1	1	99	63	0.6363636363636364	Glycine, serine and threonine metabolism
map00450	1	1	33	21	0.6363636363636364	Selenocompound metabolism
map00410	1	1	44	28	0.6363636363636364	beta-Alanine metabolism
map00270	1	1	117	74	0.6324786324786325	Cysteine and methionine metabolism
map00540	1	1	62	39	0.6290322580645161	Lipopolysaccharide biosynthesis
map00010	1	1	105	66	0.6285714285714286	Glycolysis / Gluconeogenesis
map00620	1	1	126	79	0.626984126984127	Pyruvate metabolism
map03440	1	1	72	45	0.625	Homologous recombination
map00670	1	1	37	23	0.6216216216216216	One carbon pool by folate
map00030	1	1	84	52	0.6190476190476191	Pentose phosphate pathway
map05012	1	1	194	120	0.6185567010309279	Parkinson disease
map00061	1	1	39	24	0.6153846153846154	Fatty acid biosynthesis
map05016	1	1	229	140	0.611353711790393	Huntington disease
map03020	1	1	51	31	0.6078431372549019	RNA polymerase
map02026	1	1	61	37	0.6065573770491803	Biofilm formation - Escherichia coli
map00471	1	1	10	6	0.6	D-Glutamine and D-glutamate metabolism
map00790	1	1	82	49	0.5975609756097561	Folate biosynthesis
map00052	1	1	77	46	0.5974025974025974	Galactose metabolism
map00340	1	1	47	28	0.5957446808510638	Histidine metabolism
map00900	1	1	59	35	0.5932203389830508	Terpenoid backbone biosynthesis
map00190	1	1	218	129	0.591743119266055	Oxidative phosphorylation
map00511	1	1	22	13	0.5909090909090909	Other glycan degradation
map04966	1	1	17	10	0.5882352941176471	Collecting duct acid secretion
map02010	1	1	512	301	0.587890625	ABC transporters
map00230	1	1	213	125	0.5868544600938967	Purine metabolism
map00640	1	1	110	64	0.5818181818181818	Propanoate metabolism
map03450	1	1	19	11	0.5789473684210527	Non-homologous end-joining
map00510	1	1	45	26	0.5777777777777777	N-Glycan biosynthesis
map00040	1	1	85	49	0.5764705882352941	Pentose and glucuronate interconversions
map00740	1	1	49	28	0.5714285714285714	Riboflavin metabolism
map00564	1	1	113	64	0.5663716814159292	Glycerophospholipid metabolism
map05014	1	1	280	158	0.5642857142857143	Amyotrophic lateral sclerosis
map04113	1	1	103	58	0.5631067961165048	Meiosis - yeast
map03040	1	1	123	69	0.5609756097560976	Spliceosome
map00130	1	1	59	33	0.559322033898305	Ubiquinone and other terpenoid-quinone biosynthesis
map00100	1	1	34	19	0.5588235294117647	Steroid biosynthesis
map00650	1	1	99	55	0.5555555555555556	Butanoate metabolism
map00480	1	1	56	31	0.5535714285714286	Glutathione metabolism
map00521	1	1	20	11	0.55	Streptomycin biosynthesis
map05020	1	1	209	114	0.5454545454545454	Prion disease
map00960	1	1	26	14	0.5384615384615384	Tropane, piperidine and pyridine alkaloid biosynthesis
map00520	1	1	147	79	0.5374149659863946	Amino sugar and nucleotide sugar metabolism
map04714	1	1	188	100	0.5319148936170213	Thermogenesis
map00280	1	1	70	37	0.5285714285714286	Valine, leucine and isoleucine degradation
map03013	1	1	142	75	0.528169014084507	RNA transport
map00330	1	1	112	59	0.5267857142857143	Arginine and proline metabolism
map05415	1	1	160	83	0.51875	Diabetic cardiomyopathy
map04141	1	1	144	74	0.5138888888888888	Protein processing in endoplasmic reticulum
map00561	1	1	90	46	0.5111111111111111	Glycerolipid metabolism
map05110	1	1	49	25	0.5102040816326531	Vibrio cholerae infection
map05017	1	1	116	59	0.5086206896551724	Spinocerebellar ataxia
map00053	1	1	61	31	0.5081967213114754	Ascorbate and aldarate metabolism
map00760	1	1	97	49	0.5051546391752577	Nicotinate and nicotinamide metabolism
map00750	1	1	24	12	0.5	Vitamin B6 metabolism
map01058	1	1	2	1	0.5	Acridone alkaloid biosynthesis
map00970	1	1	66	33	0.5	Aminoacyl-tRNA biosynthesis
map01523	1	1	26	13	0.5	Antifolate resistance
map00430	1	1	24	12	0.5	Taurine and hypotaurine metabolism
map02020	1	1	495	247	0.498989898989899	Two-component system
map00350	1	1	81	40	0.49382716049382713	Tyrosine metabolism
map00513	1	1	52	25	0.4807692307692308	Various types of N-glycan biosynthesis
map00360	1	1	77	37	0.4805194805194805	Phenylalanine metabolism
map00600	1	1	47	22	0.46808510638297873	Sphingolipid metabolism
map00562	1	1	76	35	0.4605263157894737	Inositol phosphate metabolism
