PathwayID	Naive	MinPath	TotalGene	GeneFound	Coverage	Description
map02060	1	1	71	62	0.8732394366197183	Phosphotransferase system (PTS)
map00550	1	1	51	39	0.7647058823529411	Peptidoglycan biosynthesis
map00290	1	1	19	13	0.6842105263157895	Valine, leucine and isoleucine biosynthesis
map02040	1	1	55	37	0.6727272727272727	Flagellar assembly
map00473	1	1	6	4	0.6666666666666666	D-Alanine metabolism
map00780	1	1	23	15	0.6521739130434783	Biotin metabolism
map00072	1	1	8	5	0.625	Synthesis and degradation of ketone bodies
map04112	1	1	31	19	0.6129032258064516	Cell cycle - Caulobacter
map04122	1	1	29	17	0.5862068965517241	Sulfur relay system
map00240	1	1	102	59	0.5784313725490197	Pyrimidine metabolism
map03430	1	1	44	25	0.5681818181818182	Mismatch repair
map00710	1	1	36	20	0.5555555555555556	Carbon fixation in photosynthetic organisms
map00511	1	1	22	12	0.5454545454545454	Other glycan degradation
map00052	1	1	77	41	0.5324675324675324	Galactose metabolism
map00250	1	1	70	37	0.5285714285714286	Alanine, aspartate and glutamate metabolism
map00670	1	1	37	19	0.5135135135135135	One carbon pool by folate
map00010	1	1	105	53	0.5047619047619047	Glycolysis / Gluconeogenesis
map00051	1	1	111	56	0.5045045045045045	Fructose and mannose metabolism
map00983	1	1	32	16	0.5	Drug metabolism - other enzymes
map00770	1	1	44	22	0.5	Pantothenate and CoA biosynthesis
map00020	1	1	62	31	0.5	Citrate cycle (TCA cycle)
map00521	1	1	20	10	0.5	Streptomycin biosynthesis
map00363	1	1	2	1	0.5	Bisphenol degradation
map00500	1	1	105	52	0.49523809523809526	Starch and sucrose metabolism
map00260	1	1	99	49	0.494949494949495	Glycine, serine and threonine metabolism
map00040	1	1	85	42	0.49411764705882355	Pentose and glucuronate interconversions
map00220	1	1	59	29	0.4915254237288136	Arginine biosynthesis
map00061	1	1	39	19	0.48717948717948717	Fatty acid biosynthesis
map03060	1	1	39	19	0.48717948717948717	Protein export
map00970	1	1	66	32	0.48484848484848486	Aminoacyl-tRNA biosynthesis
map00450	1	1	33	16	0.48484848484848486	Selenocompound metabolism
map00540	1	1	62	30	0.4838709677419355	Lipopolysaccharide biosynthesis
map01503	1	1	54	26	0.48148148148148145	Cationic antimicrobial peptide (CAMP) resistance
map00400	1	1	71	34	0.4788732394366197	Phenylalanine, tyrosine and tryptophan biosynthesis
map00030	1	1	84	40	0.47619047619047616	Pentose phosphate pathway
map00620	1	1	126	59	0.46825396825396826	Pyruvate metabolism
map00630	1	1	100	46	0.46	Glyoxylate and dicarboxylate metabolism
map00640	1	1	110	50	0.45454545454545453	Propanoate metabolism
map01502	1	0	22	10	0.45454545454545453	Vancomycin resistance
map00340	1	1	47	21	0.44680851063829785	Histidine metabolism
map00300	1	1	47	21	0.44680851063829785	Lysine biosynthesis
map03070	1	1	74	33	0.44594594594594594	Bacterial secretion system
map00730	1	1	36	16	0.4444444444444444	Thiamine metabolism
map00900	1	1	59	26	0.4406779661016949	Terpenoid backbone biosynthesis
map00790	1	1	82	36	0.43902439024390244	Folate biosynthesis
map01053	1	1	37	16	0.43243243243243246	Biosynthesis of siderophore group nonribosomal peptides
map00230	1	1	213	92	0.431924882629108	Purine metabolism
map02010	1	1	512	220	0.4296875	ABC transporters
map03010	1	1	143	60	0.4195804195804196	Ribosome
map03440	1	1	72	30	0.4166666666666667	Homologous recombination
