"ID","AIC","BIC","B0","T0","Tm"
"1"," 2.339275e+01"," 2.183050e+01"," 6.823903e-06","-1.567980e+04"," 4.030501e+01"
"10","6.743761e+01","6.902920e+01","1.801177e-02","4.866010e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865967e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801172e-02","4.865960e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865968e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865995e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865970e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865977e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865972e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801176e-02","4.866000e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865988e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865961e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865966e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801176e-02","4.866001e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865962e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865971e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865969e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801172e-02","4.865952e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801172e-02","4.865956e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865986e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801172e-02","4.865954e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801172e-02","4.865957e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801177e-02","4.866013e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801177e-02","4.866019e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865992e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865974e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801173e-02","4.865963e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865996e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801177e-02","4.866020e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865993e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865975e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865978e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801176e-02","4.866002e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801172e-02","4.865959e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865994e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865995e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865976e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865973e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801178e-02","4.866026e+00","4.269018e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865991e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865979e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801175e-02","4.865987e+00","4.269019e+01"
"10","6.743761e+01","6.902920e+01","1.801174e-02","4.865982e+00","4.269019e+01"
