"ID","AIC","BIC","T0","Tm","a","b"
"1","-7.821219e+00","-9.383468e+00"," 5.428119e+00"," 4.532400e+01"," 1.492423e+01"," 5.768140e-04"
"10","3.592592e+01","3.751751e+01","1.451724e+01","5.323754e+01","1.400435e+03","1.392400e-05"
"10","3.592593e+01","3.751751e+01","1.451844e+01","5.323794e+01","4.469935e+03","4.362191e-06"
"100"," 1.935097e+01"," 1.778872e+01","-2.700933e+02"," 3.069119e+01"," 2.770816e-02"," 5.595329e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936230e+01"," 3.045424e+01"," 9.808824e-02"," 5.335044e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936231e+01"," 3.046043e+01"," 9.808823e-02"," 5.263535e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936233e+01"," 3.042109e+01"," 9.808821e-02"," 5.755179e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936230e+01"," 3.046955e+01"," 9.808824e-02"," 5.161086e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936232e+01"," 3.045420e+01"," 9.808822e-02"," 5.335687e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936232e+01"," 3.044538e+01"," 9.808822e-02"," 5.441382e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936231e+01"," 3.041892e+01"," 9.808823e-02"," 5.784862e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936233e+01"," 3.042018e+01"," 9.808821e-02"," 5.767739e+00"
"101"," 2.303458e+01"," 2.147233e+01","-6.936232e+01"," 3.046899e+01"," 9.808822e-02"," 5.167458e+00"
"102"," 3.084521e+01"," 2.928296e+01","-2.071867e+03"," 1.504999e+02"," 3.362181e-02"," 9.119001e-04"
"103"," 2.864800e+01"," 2.708575e+01","-4.742816e+01"," 3.642862e+01"," 1.219457e-01"," 3.465407e-01"
"104","15.86766500","14.30541665","-0.92653693","45.31483973"," 1.32840653"," 0.01313214"
"105"," 2.261658e+01"," 2.105433e+01","-1.750216e+02"," 3.021035e+01"," 4.559406e-02"," 5.406682e+00"
