"ID","bestAIC","bestBIC","SampleSize"
99,"Briere","Ratkowsky",5
105,"Ratkowsky","cubic",5
232,"Ratkowsky","Briere",8
318,"Ratkowsky","Briere",359
330,"Briere","Ratkowsky",7
351,"Briere","Ratkowsky",5
426,"Ratkowsky","Briere",12
496,"Briere","Ratkowsky",5
569,"Ratkowsky","Briere",23
635,"quadratic","cubic",6
644,"quadratic","cubic",6
669,"Ratkowsky","Briere",19
681,"Ratkowsky","Briere",12
737,"Briere","Ratkowsky",5
745,"Ratkowsky","Briere",16
765,"Briere","Ratkowsky",5
827,"Ratkowsky","Briere",9
879,"Briere","Ratkowsky",5
