"ID","AIC","BIC","B0","B1","B2"
55,16.73497,15.902,6.595533,1.135902,-0.02970118
64,-6.2083716119,-7.0413337349,0.2201443211,0.0540790575,-0.0023075438
66,-0.08038049,-0.9133426,5.466973,0.6566805,-0.0201451
69,14.97024,14.13728,4.049847,0.7886103,-0.02687974
108,6.058412873,5.22545075,1.071805732,-0.072260837,0.002545249
196,-10.00302,-10.83598,-0.06684125,0.01356469,0.0005527743
214,-21.39001,-19.13022,0.6525456,-0.05266371,0.002073442
225,-11.15942,-11.99238,0.6658715,-0.02714431,0.001190853
226,-5.7133592417,-6.5463213648,0.2277000043,-0.0012960827,0.0007729869
236,-0.1642014905,-0.9971636135,0.426073231,0.0440502748,-0.0001747221
266,51.71667867,50.88371654,-864.27449559,70.68674196,-1.19312364
268,17.24381843,16.41085631,-2.36401993,1.53716896,-0.02370657
274,59.0870777,58.2541156,43.5815021,-3.6837471,0.458944
310,55.47093,60.50331,-11.78239,1.91448,-0.03340626
350,41.80238081,40.96941869,-45.24573705,2.8303964,0.0220013
379,43.89864692,43.0656848,4.78360621,2.8203205,-0.10655649
383,30.6972270736,29.8642649505,34.3631048234,0.7858587982,-0.0672250702
387,36.285684472,35.452722349,-18.982444192,4.107575764,-0.044969344
390,24.451220148,23.618258025,-3.968305397,1.221494265,0.002365725
396,18.753732605,17.920770482,-6.093220528,1.158877708,-0.005174835
420,31.507969297,30.675007174,-19.1479803,3.931384858,-0.058536593
435,-30.08934,-27.82955,0.1831656,0.03014164,-0.0004345922
447,80.75739208,79.92442996,2160.23628503,-138.17417201,2.57396698
449,58.564142712,57.731180589,284.405890532,-23.223279907,0.646864966
450,73.4758767,72.6429145,224.4716467,-7.6189389,0.2103992
456,59.118375811,58.285413688,830.237061197,-54.226158351,1.076619797
457,77.4272971,76.5943349,-112.3690289,24.6291181,-0.2423726
460,-1.8051718764,-2.6381339995,1.1713477663,0.1363243993,0.0118279206
507,36.6014989,35.7685368,-6.5185758,1.2652,-0.0141697
522,66.3622069,65.52924477,32.87273233,2.49182169,1.34790927
535,309.987864004,319.414699311,-1.475793254,0.294899637,0.007957012
557,-15.21298,-16.04594,0.1742492,0.09928524,-0.0008596031
563,12.269643551,11.436681427,-0.897585675,0.189033181,-0.002518113
587,-22.5589,-23.39186,0.1335956,0.02341733,-0.0008701711
599,-0.2227168121,-1.0556789352,0.424298285,0.0456885832,-0.0002236838
609,20.507390535,19.674428412,3.37117917,-0.232977299,0.010709014
610,24.471574728,23.638612605,-1.35246697,0.36271542,-0.007544231
611,-3.398359128,-4.231321251,0.5483253,0.093650049,-0.001291867
614,21.949017136,21.116055013,5.62800996,-0.21663513,0.010559099
616,17.780017774,16.947055651,4.2101374,-0.056602866,0.015379003
617,35.63997332,34.8070112,4.38982105,1.67994667,-0.0564127
623,20.6765789055,19.8436167824,11.89750225,2.0576892593,-0.0603284021
629,7.4365241122,6.6035619891,3.0442708857,1.1865247857,-0.0048429343
631,18.928989597,18.096027474,2.516276036,1.176627618,-0.011523438
633,16.430084571,15.597122448,2.265624907,0.947135456,-0.009114585
634,26.229019149,25.396057026,2.412439029,0.790464918,-0.009069558
635,14.961004479,14.128042355,1.156430625,0.357632284,0.002247048
641,-11.11275,-11.94571,0.6356538,-0.02384766,0.001122989
642,-4.764753075,-5.597715198,0.1351813366,0.0065860016,0.0006234444
644,30.48035792,29.6473958,-12.39322098,1.49065737,-0.02977746
645,19.44828173,18.615319607,3.38725775,-0.01322517,-0.001543332
647,27.910653348,27.077691225,1.0562662,0.317884502,-0.002539275
662,27.4491661,26.61620398,-4.123457,1.98111952,-0.0260436
751,-9.135479,-9.968441,-2.949184,0.827957,-0.01755611
753,-1.165039,-1.998001,-0.7949475,0.6746729,-0.01274091
759,25.836979748,25.004017625,-5.394831087,2.658420797,-0.053433498
767,16.649198622,15.816236499,-0.237904773,1.134038826,-0.02374902
841,1.353431534,0.520469411,4.282385024,-0.346316802,0.008904841
900,-4.749234,-5.582196,11.62612,0.1575299,-0.007163059
903,2.946418992,2.113456869,0.889580204,0.026280726,0.002543781
