"ID","AIC","BIC","T0","Tm","a","b"
1,-7.821219,-9.383468,5.428119,45.324,14.92423,0.000576814
2,-17.32232,-18.88457,-27.51724,45.63904,0.08141697,0.07779352
3,-35.54902,-34.33868,-41.39735,31.58031,0.02114078,147.2054
3,-35.54902,-34.33868,-41.39735,31.58031,0.02114079,147.2054
3,-35.54902,-34.33868,-41.39736,31.58031,0.02114078,147.2054
4,-34.4116877,-34.6280471,10.29856699,44.28050355,0.14707837,0.04406141
5,-58.19557,-56.25595,0.186345,31.57172,0.03584988,367.2298
5,-58.19557,-56.25595,0.1863484,31.57149,0.03584988,378.6997
6,-47.12153,-46.80377,10.87944,52.01747,382.8428,3.812773e-06
7,-26.86052,-27.07688,-83.38943,40.03701,0.0227667,0.1137698
8,-25.84582,-25.52805,-14.14362,70.21325,0.4683898,0.006285309
9,21.68762,23.2792,7.906768,54.14081,1160.81,8.979968e-06
10,35.92592,37.51751,14.51724,53.23754,1400.435,1.3924e-05
10,35.92593,37.51751,14.51844,53.23794,4469.935,4.362191e-06
11,-31.787568739,-31.469802572,-13.285473901,41.78346393,0.026511748,0.149909762
12,-44.13819,-43.82043,-6.190037,254.3216,362.9837,1.651842e-07
13,35.47965,38.03587,-15.5866,69.21743,0.2565427,0.04233108
13,35.47964,38.03587,-15.5866,69.21743,0.2565428,0.04233106
14,17.62084,18.83118,-30.12049,-29.31604,0.7472483,-0.001101467
15,18.07237,21.16272,-17.38902,65.4327,0.2660684,0.02529579
15,18.07237,21.16272,-17.38901,65.43271,0.2660687,0.02529575
15,18.07237,21.16272,-17.38903,65.4327,0.2660682,0.02529582
15,18.07237,21.16272,-17.38901,65.43271,0.2660686,0.02529577
15,18.07237,21.16272,-17.38902,65.4327,0.2660685,0.02529578
15,18.07237,21.16272,-17.38904,65.43269,0.2660681,0.02529583
15,18.07237,21.16272,-17.389,65.43271,0.2660687,0.02529575
15,18.07237,21.16272,-17.38902,65.4327,0.2660684,0.0252958
15,18.07237,21.16272,-17.38903,65.4327,0.2660682,0.02529581
16,17.07185,18.28219,-4.332739,226.8754,871.7818,7.101095e-07
17,-17.16724,-17.3836,-20.42458,43.84055,0.04962347,0.2225684
18,-25.04832,-25.26468,-9.847313,243.5545,12.26546,1.21101e-05
19,-11.780465587,-11.996824991,-17.295330464,43.034778823,0.075270866,0.054467079
20,-32.57738,-32.25961,-37.55449,-45.81759,0.4490552,-0.0008356272
21,-26.72588,-26.40812,-98.62562,35.08715,0.01513638,0.2416671
21,-26.72588,-26.40812,-98.62558,35.08715,0.01513639,0.2416671
21,-26.72588,-26.40812,-98.62609,35.08715,0.01513632,0.2416679
21,-26.72588,-26.40812,-98.62618,35.08715,0.0151363,0.241668
21,-26.72588,-26.40812,-98.6256,35.08715,0.01513639,0.2416671
21,-26.72588,-26.40812,-98.62621,35.08715,0.0151363,0.2416681
21,-26.72588,-26.40812,-98.62608,35.08715,0.01513632,0.2416679
21,-26.72588,-26.40812,-98.62591,35.08715,0.01513634,0.2416676
21,-26.72588,-26.40812,-98.62568,35.08715,0.01513638,0.2416672
21,-26.72588,-26.40812,-98.62567,35.08715,0.01513638,0.2416672
21,-26.72588,-26.40812,-98.62569,35.08715,0.01513637,0.2416672
21,-26.72588,-26.40812,-98.62611,35.08715,0.01513631,0.2416679
21,-26.72588,-26.40812,-98.62562,35.08715,0.01513639,0.2416671
21,-26.72588,-26.40812,-98.62566,35.08715,0.01513638,0.2416672
21,-26.72588,-26.40812,-98.62564,35.08715,0.01513638,0.2416672
21,-26.72588,-26.40812,-98.62565,35.08715,0.01513638,0.2416672
21,-26.72588,-26.40812,-98.62563,35.08715,0.01513638,0.2416671
22,-36.72286,-36.93922,-13.67387,36.52647,0.03894705,2.187445
22,-36.72286,-36.93922,-13.67387,36.59285,0.03894705,2.094259
22,-36.72286,-36.93922,-13.67387,36.56407,0.03894705,2.133676
22,-36.72286,-36.93922,-13.67387,36.49567,0.03894705,2.233551
22,-36.72286,-36.93922,-13.67387,36.60535,0.03894705,2.077539
22,-36.72286,-36.93922,-13.67387,36.48073,0.03894705,2.2566
22,-36.72286,-36.93922,-13.67387,36.49024,0.03894705,2.241885
22,-36.72286,-36.93922,-13.67387,36.53285,0.03894705,2.178122
22,-36.72286,-36.93922,-13.67387,36.57571,0.03894705,2.117563
22,-36.72287,-36.93922,-13.67387,36.40986,0.03894705,2.372919
22,-36.72286,-36.93922,-13.67387,36.59018,0.03894705,2.097862
22,-36.72286,-36.93922,-13.67387,36.41577,0.03894705,2.362764
23,7.28198,7.065621,-33.29014,47.92351,0.1492474,0.02766706
24,-11.36888,-11.58524,-11.64678,57.87613,0.3147845,0.01891998
24,-11.36888,-11.58524,-11.64679,57.87612,0.3147841,0.01892001
24,-11.36888,-11.58524,-11.64678,57.87612,0.3147844,0.01891999
24,-11.36888,-11.58524,-11.64678,57.87613,0.3147847,0.01891996
24,-11.36888,-11.58524,-11.64679,57.87612,0.3147842,0.01892
24,-11.36888,-11.58524,-11.64678,57.87613,0.3147846,0.01891997
24,-11.36888,-11.58524,-11.64678,57.87613,0.3147848,0.01891996
24,-11.36888,-11.58524,-11.64679,57.87612,0.314784,0.01892001
24,-11.36888,-11.58524,-11.64679,57.87612,0.3147844,0.01891999
25,45.8902,47.82982,-8.46942,40.99561,0.4418613,0.07552008
26,-64.76095,-64.44318,-9.191689,35.76217,0.005284956,2.653304
26,-64.76095,-64.44318,-9.191667,35.90583,0.005284962,2.232461
26,-64.76095,-64.44318,-9.191676,35.86949,0.005284959,2.325808
26,-64.76095,-64.44318,-9.191679,35.86276,0.005284959,2.343824
26,-64.76095,-64.44318,-9.191676,35.87353,0.00528496,2.31516
26,-64.76095,-64.44318,-9.191667,35.90773,0.005284962,2.227757
26,-64.76095,-64.44318,-9.19169,35.75368,0.005284955,2.682731
26,-64.76095,-64.44318,-9.19168,35.85442,0.005284959,2.366937
26,-64.76095,-64.44318,-9.191679,35.85023,0.005284958,2.378611
26,-64.76095,-64.44318,-9.191692,35.65103,0.005284955,3.106412
26,-64.76095,-64.44318,-9.191675,35.87255,0.00528496,2.31777
26,-64.76095,-64.44318,-9.191689,35.76077,0.005284956,2.657729
26,-64.76095,-64.44318,-9.191692,35.77525,0.005284955,2.608549
26,-64.76095,-64.44318,-9.191689,35.7591,0.005284956,2.663581
26,-64.76095,-64.44318,-9.191691,35.78225,0.005284955,2.585219
26,-64.76095,-64.44318,-9.191689,35.75368,0.005284956,2.683198
26,-64.76095,-64.44318,-9.191691,35.78288,0.005284955,2.583122
26,-64.76095,-64.44318,-9.191689,35.75637,0.005284956,2.673173
26,-64.76095,-64.44318,-9.191692,35.78315,0.005284955,2.582254
26,-64.76095,-64.44318,-9.191668,35.90121,0.005284962,2.243854
26,-64.76095,-64.44318,-9.191692,35.78103,0.005284955,2.589239
27,-71.7293,-71.41154,-39.86304,38.3991,2162.125,5.486943e-08
28,-62.93092,-62.61316,-34.10855,35.76814,0.004662848,3.121446
28,-62.93092,-62.61316,-34.10855,35.76462,0.004662848,3.135845
28,-62.93092,-62.61316,-34.10856,35.84237,0.004662848,2.846405
28,-62.93092,-62.61316,-34.10856,35.82263,0.004662847,2.914782
28,-62.93092,-62.61316,-34.10856,35.77523,0.004662848,3.093022
28,-62.93092,-62.61316,-34.10856,35.7682,0.004662848,3.121231
28,-62.93092,-62.61316,-34.10856,35.76452,0.004662848,3.136266
28,-62.93092,-62.61316,-34.10856,35.80239,0.004662847,2.98832
28,-62.93092,-62.61316,-34.10855,35.78488,0.004662848,3.054714
28,-62.93092,-62.61316,-34.10855,35.7869,0.004662848,3.046876
28,-62.93092,-62.61316,-34.10855,35.78897,0.004662848,3.038887
28,-62.93092,-62.61316,-34.10855,35.80555,0.004662848,2.976375
29,-70.808403221,-70.490637054,-27.011326485,41.621697954,0.004519836,0.220538507
30,-69.01339,-68.69562,-6055.436,35.0269,5.504265e-05,0.2466181
31,-73.59259,-73.27482,-45.87337,-47.69186,931.3813,-6.346371e-08
32,-48.87122,-48.55345,-0.2223906,61.22955,-0.0007807184,-0.07925339
33,-45.83537,-45.5176,-8.343614,35.81572,-0.9831456,-0.001104701
34,-52.13289,-51.81512,-31.70898,4529.025,0.005935812,0.003404909
34,-52.13289,-51.81512,-31.70898,1739.208,0.005935811,0.01014984
34,-52.13289,-51.81512,-31.70898,642.5336,0.005935811,0.02991229
34,-52.13289,-51.81512,-31.70898,803.2106,0.005935811,0.02344446
34,-52.13289,-51.81512,-31.70898,355.4312,0.005935811,0.06069645
35,-38.27496,-37.95719,-5.939905,41.72742,-10.52795,-8.067635e-05
36,-44.43008,-44.11231,-6.067218,36.2249,0.0789972,0.01478331
37,-54.06133,-53.74357,-90.25263,35.68403,0.002962785,3.213344
37,-54.06133,-53.74357,-90.25263,35.67171,0.002962785,3.27216
37,-54.06133,-53.74357,-90.25263,35.68365,0.002962785,3.215017
37,-54.06133,-53.74357,-90.25263,35.68528,0.002962785,3.207216
37,-54.06133,-53.74357,-90.25262,35.67004,0.002962785,3.280347
37,-54.06133,-53.74357,-90.25263,35.66984,0.002962785,3.281331
37,-54.06133,-53.74357,-90.25263,35.67031,0.002962785,3.279017
37,-54.06133,-53.74357,-90.25263,35.65522,0.002962785,3.354571
37,-54.06133,-53.74357,-90.25263,35.65523,0.002962785,3.354482
38,-39.872787694,-39.555021527,-4.895687718,42.067170744,0.086019458,0.012463848
39,-47.10785,-46.79008,-45.74814,35.00491,0.006984491,0.3860127
40,-49.82751538,-49.50974921,-33.14616334,100.69345845,0.01031025,0.01159369
41,-43.18928,-42.87151,-2.180444,39.90742,-36.90669,-3.38978e-05
42,-40.60292,-40.28516,-120.5984,35.00635,0.004504723,0.3551247
43,-45.96236,-45.6446,-24.21255,1561.332,0.008638062,0.009755201
43,-45.96236,-45.6446,-24.21255,602.8607,0.008638062,0.03232864
43,-45.96237,-45.6446,-24.21255,287.1,0.008638063,0.0782451
44,-38.12542,-37.80765,-14.52285,35.1669,0.02354215,0.06994959
44,-38.12542,-37.80765,-14.52311,35.16689,0.02354168,0.06995111
44,-38.12542,-37.80765,-14.52311,35.16689,0.02354169,0.06995109
44,-38.12542,-37.80765,-14.52316,35.16689,0.0235416,0.06995138
44,-38.12541,-37.80765,-14.52349,35.16688,0.02354101,0.06995333
44,-38.12541,-37.80765,-14.52342,35.16688,0.02354114,0.06995288
44,-38.12542,-37.80765,-14.52287,35.1669,0.02354211,0.0699497
44,-38.12541,-37.80765,-14.52343,35.16688,0.02354112,0.06995295
44,-38.12541,-37.80765,-14.52349,35.16688,0.02354101,0.06995331
44,-38.12542,-37.80765,-14.52285,35.1669,0.02354216,0.06994955
44,-38.12541,-37.80765,-14.52345,35.16688,0.02354109,0.06995307
44,-38.12541,-37.80765,-14.52349,35.16688,0.02354102,0.0699533
44,-38.12541,-37.80765,-14.52347,35.16688,0.02354104,0.06995322
44,-38.12542,-37.80765,-14.52283,35.1669,0.02354219,0.06994945
44,-38.12541,-37.80765,-14.52336,35.16688,0.02354124,0.06995257
45,-55.72452,-55.40676,-28.99956,35.1714,0.01734677,0.08386498
46,-40.41417,-40.0964,-60.28881,4753.803,0.004895635,0.003337084
46,-40.41417,-40.0964,-60.28882,1452.32,0.004895635,0.01174919
46,-40.41417,-40.0964,-60.28881,1623.058,0.004895635,0.01152561
46,-40.41417,-40.0964,-60.28882,1987.407,0.004895634,0.008361936
46,-40.41417,-40.0964,-60.28882,223.2708,0.004895635,0.1141789
