"ID","AIC","BIC","B0","B1","B2","B3"
53,-4.676001,-5.717203,4.995568,0.9654792,-0.0006896474,-0.0007444219
54,16.005191845,14.9639891911,3.6895315434,0.7579367292,-0.0045951024,-0.0004029343
56,8.7032012927,7.6619986388,2.6502988078,0.5653637882,0.0217576329,-0.0011243232
57,5.711441,4.670239,2.00363,0.5096402,0.04400785,-0.001705196
62,2.5470673623,1.5058647084,2.4929976445,0.5261859945,0.008283971,-0.0008373317
67,-27.84797,-29.80078,4.187056,0.6674684,-0.002162571,-0.0006741258
68,-0.4750765,-1.516279,5.425317,0.8346326,-0.01677988,-0.0005369752
70,15.41887261,14.3776699562,3.1797017905,0.7361194096,0.0121841231,-0.0010497441
75,4.059627,3.018424,3.954983,0.585197,-0.02720245,0.0002274321
105,22.90936135,20.95655091,2705.22506943,-351.78719877,15.47647373,-0.2236991
109,12.7850233351,11.7438206813,2.8520917619,0.4114438534,0.0273220414,-0.0009226539
113,-28.49345,-29.53466,0.411287,-0.02118666,0.00441678,4.841594e-05
115,-41.25229,-42.29349,-0.07207841,0.07530717,-0.003798786,0.0001428753
127,-6.435594,-8.388405,-99.4,10.23833,-0.29225,0.002616667
130,-321.2685,-323.2213,5.6,0.2091667,0.015,-0.0003666667
150,3.797828,6.622574,0.4681613,-0.03383985,0.004392323,-4.583303e-05
194,-14.19235,-15.23355,0.310957,0.01388181,-8.539799e-05,7.371447e-05
195,-15.54553,-16.58673,-0.4454539,0.1018155,-0.006034188,0.0001761065
197,-20.98269,-22.02389,0.4672395,-0.1010796,0.008795535,-0.0001820317
198,-12.61965,-13.66085,0.5316643,-0.0819057,0.007149616,-0.0001541278
199,-10.0006,-11.0418,0.2796462,-0.01969526,0.003817731,-0.0001028048
200,-22.64764,-23.68884,-0.2664449,0.08028567,0.0001850789,-6.977195e-05
202,-31.11114,-32.15234,-2.08639,0.3961033,-0.009633473,5.716248e-05
210,57.51862015,56.4774175,31.39751894,-2.89809891,0.7341599,-0.01882494
211,36.404885071,35.363682417,20.0819237,-1.424385383,0.259253725,-0.006362747
212,17.285834808,16.244632154,-5.084812981,3.946294011,-0.268674666,0.005749129
213,11.3288894438,10.2876867899,-1.4494916108,1.4805930243,-0.0892216886,0.0018340342
216,-5.7286544376,-6.7698570915,1.8130312277,-0.2130273405,0.0157700077,-0.0003155404
223,-10.03292,-11.07412,0.5513833,-0.1113772,0.008063301,-0.0001279649
224,-10.95287,-11.99407,1.820583,-0.2824014,0.01530049,-0.0002021263
227,22.816132272,21.774929618,15.443004828,-2.641994012,0.161382446,-0.002809796
235,-47.81512,-48.85633,0.07112092,0.1247725,-0.008216211,0.0001694049
240,-1.73308859,-2.7742912438,-7.4982890768,0.8736727828,-0.02792434,0.0004562996
244,7.345736,6.304533,-21.52565,10.78111,-0.3619634,0.004018998
246,-7.112483,-9.065293,-58.05698,12.77379,-0.4326832,0.00525138
248,-7.455534,-8.496737,-15.72235,2.247601,-0.06843989,0.0007938965
252,-38.82229,-40.7751,0.232682,0.0137429,0.0005562611,9.84596e-06
253,-85.01174,-86.96455,0.1659742,0.04900409,-0.001487511,3.829116e-05
267,13.98967,12.94846,-341.4182,33.85053,-0.9394433,0.008048114
275,32.07783433,31.03663168,-670.26447854,76.39762103,-2.42395017,0.03249054
282,38.9941168963,41.8188636836,-0.2476553892,-0.0492277853,0.0346327879,-0.0010224522
284,26.078191403,28.90293819,1.31924028,-0.618196119,0.080069203,-0.002267277
290,18.0701112554,17.0289086016,-5.5228246993,0.9967233723,0.0942650815,-0.0027539278
293,18.414778553,17.373575899,7.149795897,-1.239198232,0.081003491,-0.001344531
305,19.3612281783,18.3200255244,3.5057926901,-0.4877396352,0.0653833672,-0.0008944705
306,14.360837128,13.319634474,13.75833999,-1.923595753,0.087689412,-0.001182465
307,-6.6631355061,-7.70433816,-0.2905787944,0.1808401917,-0.0116030978,0.0002386334
309,40.94948,47.23996,-8.171442,1.603965,-0.04895806,0.0003947538
311,77.94093,84.23141,-3.08095,0.05347704,0.0807257,-0.001690716
315,-19.94479,-21.8976,241.2048,-24.69619,0.9357761,-0.01123567
329,-16.73064,-16.33343,-7.068461,2.873672,-0.09406129,0.001214425
349,50.156994926,49.115792272,-27.002511508,3.485114978,0.119435973,-0.003593266
377,30.902572366,29.861369712,21.109017375,-0.421645036,0.145048806,-0.005222302
378,-10.37101,-11.41221,0.5234832,0.4223757,-0.03703332,0.001233682
380,5.7007977829,4.659595129,0.5731989209,-0.2056181719,0.0342879481,-0.00078666
381,26.204977433,25.163774779,23.139187104,-1.083100366,0.201630684,-0.006450899
382,23.2991328212,22.2579301673,-0.6255446759,1.0517707226,-0.0868953904,0.0022730885
385,35.502090406,34.460887752,36.145340106,1.612412976,0.128199338,-0.003245844
386,12.94336,11.90216,50.08504,-1.548402,0.124135,-0.002532523
388,39.05322169,38.012019036,40.183430093,-0.718437526,0.123571098,-0.002343434
389,34.374989253,33.333786599,43.052838371,-1.859934902,0.118386215,-0.002310527
391,38.88175229,37.840549636,38.403459987,-1.84058673,0.211121725,-0.003787242
392,37.113167472,36.071964818,40.396256726,-2.915386669,0.198892233,-0.003541739
393,9.3336708079,8.2924681541,-2.3125618297,1.0546255119,0.0107154774,-0.0001971796
394,24.2568346187,23.2156319649,20.9556298292,0.2832962179,0.072450921,-0.0016258993
395,14.6967346046,13.6555319507,25.4104372144,-0.8117977516,0.0770333274,-0.0016426178
412,53.021419168,51.980216514,124.268717081,-10.816287613,0.840523663,-0.015414021
413,48.000329001,46.959126348,113.225841887,-9.474285696,0.61906866,-0.011279859
414,42.460335332,41.419132679,7.470362765,-0.368457336,0.166091964,-0.003284001
415,49.431623275,48.390420621,62.097705149,-4.066860497,0.415638747,-0.007785868
416,48.218099917,47.176897263,59.840250433,-4.624484646,0.305460536,-0.005432392
417,25.4796629354,24.4384602815,-0.4337137824,0.5865414644,0.1103687324,-0.0023896041
418,44.947616068,43.906413414,45.020172763,0.124245259,0.210715069,-0.004911144
419,38.723173783,37.681971129,53.529818926,-2.638489778,0.221556924,-0.004307912
421,51.554082507,50.512879853,86.417430938,-1.179987794,0.259661926,-0.005425929
422,51.152990396,50.111787742,110.227398703,-7.735013539,0.472308801,-0.008230086
423,29.0086,27.96739,-25.38809,6.459186,-0.2056445,0.002701335
430,-21.33604,-18.51129,0.5708998,0.006715625,0.003480514,-6.926182e-05
431,-24.67479,-21.85004,0.3344201,0.03359438,0.001408219,-4.62471e-05
